timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,
1529459855000,,,665.02,
1529534480000,,,4088.88,
1529607759000,,,2155.32,
1529682434000,,,191.47,
1529756296000,,,398.86,
1529828276000,,,753.77,
1529902416000,,,46.26,
1529979078000,,,230.62,
1530054421000,,,1267.38,
1530128282000,,,402.02,
1530203197000,,,,
1530278431000,,,1262.33,
1530351013000,,,946.76,
1530426268000,,,76.87,
1530499615000,,,501.25,
1530572217000,,,1081.42,
1530646642000,,,1441.60,
1530720604000,,,605.45,
1530794550000,,,844.03,
1530868977000,,,557.05,
1530942968000,,,336.32,
1531017892000,,,,
1531093254000,,,65.38,
1531167486000,,,,
1531241905000,,,,
1531316279000,,,,
1531387780000,,,1177.38,
1531459813000,,,353.55,
1531532086000,,,2624.08,
1531603912000,,,1346.34,
1531675397000,,,,
1531748307000,,,1714.53,
1531822417000,,,2394.89,
1531896343000,,,233.14,
1531971151000,,,359.99,
1532045631000,,,1043.77,
1532118564000,,,617.69,
1532191928000,,,,
1532264894000,,,2219.02,
1532336677000,,,,
1532411124000,,,651.29,
1532485297000,,,185.83,
1532558514000,,,186.99,
1532632522000,,,353.05,
1532706031000,,,4153.09,
1532778335000,,,1305.47,
1532849626000,,,8700.77,
1532921962000,,,1464.02,
1532994160000,,,904.94,
1533067467000,,,544.63,
1533141286000,,,79.20,
1533214941000,,,,
1533288091000,,,491.47,
1533360489000,,,886.44,
1533432998000,,,328.00,
1533505953000,,,80.03,
1533578575000,,,216.70,
1533651925000,,,449.72,
1533724916000,,,2137.39,
1533797508000,,,493.34,
1533870537000,,,1053.93,
1533943288000,,,450.18,
1534016212000,,,144.33,
1534090711000,,,382.69,
1534163628000,,,356.53,
1534236905000,,,743.55,
1534309134000,,,279.53,
1534381971000,,,444.75,
1534454722000,,,329.02,
1534527690000,,,323.09,
1534602524000,,,935.23,
1534675224000,,,220.31,
1534747701000,,,114.33,
1534820720000,,,146.90,
1534892931000,,,4081.01,
1534965694000,,,296.39,
1535039951000,,,,
1535112747000,,,13.70,
1535185292000,,,68.63,
1535257864000,,,51.95,
1535331135000,,,348.21,
1535403660000,,,205.95,
1535477339000,,,418.94,
1535550907000,,,618.96,
1535623054000,,,140.13,
1535695540000,,,365.86,
1535768227000,,,30.61,
1535842094000,,,234.03,
1535914482000,,,407.76,
1535987210000,,,134.16,
1536059758000,,,,
1536132247000,,,4037.44,
1536204432000,,,33.10,
1536276091000,,,482.49,
1536348963000,,,3623.25,
1536421628000,,,21.99,
1536495403000,,,1352.22,
1536568351000,,,60.42,
1536639507000,,,303.02,
1536711510000,,,1586.52,
1536783125000,,,,
1536854753000,,,32.78,
1536925887000,,,3048.94,
1536997175000,,,378.74,
1537069009000,,,115.65,
1537139381000,,,320.81,
1537210708000,,,4770.05,
1537282705000,,,362.63,
1537353835000,,,184.33,
1537424834000,,,1338.45,
1537497361000,,,161.81,
1537568218000,,,,
1537639728000,,,612.57,
1537710354000,,,27.29,
1537781366000,,,178.27,
1537852317000,,,,
1537922897000,,,5813.26,
1537993834000,,,23.97,
1538065170000,,,,
1538135659000,,,153.02,
1538207020000,,,408.51,
1538277094000,,,8.13,
1538348235000,,,51.02,
1538418856000,,,137.80,
1538489640000,,,1215.05,
1538560179000,,,945.16,
1538631256000,,,475.19,
1538700722000,,,308.35,
1538771727000,,,,
1538841320000,,,4.28,
1538911026000,,,135.18,
1538980216000,,,888.61,
1539049430000,,,25.79,
1539120813000,,,168.05,
1539190730000,,,1109.69,
1539260859000,,,,
1539330275000,,,378.62,
1539400992000,,,,
1539470509000,,,1224.80,
1539541019000,,,,
1539611779000,,,169.84,
1539682267000,,,188.20,
1539752649000,,,190.33,
1539822973000,,,159.96,
1539893301000,,,321.21,
1539964665000,,,547.07,
1540035461000,,,109.75,
1540105380000,,,199.95,
1540175783000,,,158.50,
1540247628000,,,,
1540317582000,,,17.85,
1540388140000,,,8.00,
1540458691000,,,30.17,
1540528530000,,,,
1540599331000,,,37.79,
1540669979000,,,16.16,
1540740577000,,,77.79,
1540812281000,,,,
1540882459000,,,1069.45,
1540953530000,,,,
1541023512000,,,35005.57,
1541094934000,,,2480.84,
1541166376000,,,,
1541237446000,,,,
1541307140000,,,,
1541378245000,,,,
1541449770000,,,2.49,
1541521033000,,,65.71,
1541592294000,,,,
1541662439000,,,133.46,
1541733218000,,,,
