timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,,
1529459855000,,,,,157.92,
1529534480000,,,,,287.02,
1529607759000,,,,,43.34,
1529682434000,,,,,7.41,
1529756296000,,,,,128.34,
1529828276000,,,,,176.84,
1529902416000,,,,,164.54,
1529979078000,,,,,527.65,
1530054421000,,,,,1173.01,
1530128282000,,,,,448.15,
1530203197000,,,,,168.96,
1530278431000,,,,,2070.97,
1530351013000,,,,,1113.80,
1530426268000,,,,,,
1530499615000,,,,,45.59,
1530572217000,,,,,,
1530646642000,,,,,204.73,
1530720604000,,,,,,
1530794550000,,,,,401.28,
1530868977000,,,,,,
1530942968000,,,,,741.68,
1531017892000,,,,,,
1531093254000,,,,,21.93,
1531167486000,,,,,987.06,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,952.69,
1531459813000,,,,,384.17,
1531532086000,,,,,270.85,
1531603912000,,,,,299.57,
1531675397000,,,,,500.72,
1531748307000,,,,,324.61,
1531822417000,,,,,942.12,
1531896343000,,,,,589.83,
1531971151000,,,,,252.58,
1532045631000,,,,,1872.35,
1532118564000,,,,,954.48,
1532191928000,,,,,81.70,
1532264894000,,,,,12.52,
1532336677000,,,,,149.40,
1532411124000,,,,,2029.90,
1532485297000,,,,,2518.09,
1532558514000,,,,,,
1532632522000,,,,,,
1532706031000,,,,,740.59,
1532778335000,,,,,1.22,
1532849626000,,,,,307.88,
1532921962000,,,,,,
1532994160000,,,,,10.69,
1533067467000,,,,,,
1533141286000,,,,,731.80,
1533214941000,,,,,692.63,
1533288091000,,,,,1846.71,
1533360489000,,,,,203.51,
1533432998000,,,,,291.20,
1533505953000,,,,,,
1533578575000,,,,,,
1533651925000,,,,,105.07,
1533724916000,,,,,,
1533797508000,,,,,162.87,
1533870537000,,,,,131.70,
1533943288000,,,,,124.56,
1534016212000,,,,,103.84,
1534090711000,,,,,127.40,
1534163628000,,,,,100.21,
1534236905000,,,,,1434.68,
1534309134000,,,,,527.31,
1534381971000,,,,,147.37,
1534454722000,,,,,1287.17,
1534527690000,,,,,1055.04,
1534602524000,,,,,2307.71,
1534675224000,,,,,786.50,
1534747701000,,,,,512.96,
1534820720000,,,,,1206.84,
1534892931000,,,,,237.57,
1534965694000,,,,,1045.80,
1535039951000,,,,,518.75,
1535112747000,,,,,3344.24,
1535185292000,,,,,235.12,
1535257864000,,,,,208.30,
1535331135000,,,,,652.04,
1535403660000,,,,,206.68,
1535477339000,,,,,488.12,
1535550907000,,,,,570.61,
1535623054000,,,,,1347.79,
1535695540000,,,,,392.83,
1535768227000,,,,,29.41,
1535842094000,,,,,,
1535914482000,,,,,443.28,
1535987210000,,,,,788.21,
1536059758000,,,,,379.87,
1536132247000,,,,,952.87,
1536204432000,,,,,34.94,
1536276091000,,,,,548.61,
1536348963000,,,,,852.82,
1536421628000,,,,,493.10,
1536495403000,,,,,872.27,
1536568351000,,,,,1446.04,
1536639507000,,,,,1390.06,
