timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,Other
1529312622000,,,,,
1529385239000,,,1975.66,,
1529459855000,,,3207.59,,
1529534480000,,,7004.94,,
1529607759000,,,2272.70,,
1529682434000,,,1729.51,,
1529756296000,,,10301.96,,
1529828276000,,,3234.82,,
1529902416000,,,820.92,,
1529979078000,,,1206.14,,
1530054421000,,,2561.56,,
1530128282000,,,9424.76,,
1530203197000,,,881.57,,
1530278431000,,,1245.02,,
1530351013000,,,4233.64,,
1530426268000,,,1635.79,,
1530499615000,,,1979.25,,
1530572217000,,,704.23,,
1530646642000,,,166.85,,
1530720604000,,,134.91,,
1530794550000,,,2222.11,,
1530868977000,,,3461.14,,
1530942968000,,,1440.60,,
1531017892000,,,908.27,,
1531093254000,,,2583.27,,
1531167486000,,,37.56,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,5121.78,,
1531459813000,,,6620.60,,
1531532086000,,,3749.42,,
1531603912000,,,590.09,,
1531675397000,,,1737.70,,
1531748307000,,,2581.02,,
1531822417000,,,5362.54,,
1531896343000,,,1968.38,,
1531971151000,,,1125.30,,
1532045631000,,,4589.98,,
1532118564000,,,4231.70,,
1532191928000,,,1504.13,,
1532264894000,,,789.80,,
1532336677000,,,1712.31,,
1532411124000,,,2681.62,,
1532485297000,,,1680.18,,
1532558514000,,,3086.89,,
1532632522000,,,3268.58,,
1532706031000,,,3726.44,,
1532778335000,,,349.08,,
1532849626000,,,2665.91,,
1532921962000,,,3067.23,,
1532994160000,,,4068.29,,
1533067467000,,,4168.00,,
1533141286000,,,1656.48,,
1533214941000,,,266.35,,
1533288091000,,,1940.91,,
1533360489000,,,1753.40,,
1533432998000,,,1829.65,,
1533505953000,,,248.83,,
1533578575000,,,320.69,,
1533651925000,,,1223.70,,
1533724916000,,,174.67,,
1533797508000,,,239.98,,
1533870537000,,,85.69,,
1533943288000,,,754.70,,
1534016212000,,,702.37,,
1534090711000,,,897.81,,
1534163628000,,,496.95,,
1534236905000,,,813.71,,
1534309134000,,,1309.88,,
1534381971000,,,675.80,,
1534454722000,,,557.27,,
1534527690000,,,50.00,,
1534602524000,,,199.93,,
1534675224000,,,212.86,,
1534747701000,,,391.21,,
1534820720000,,,521.30,,
1534892931000,,,586.30,,
1534965694000,,,191.33,,
1535039951000,,,23.13,,
1535112747000,,,555.02,,
1535185292000,,,93.12,,
1535257864000,,,13.52,,
1535331135000,,,,,
1535403660000,,,61.60,,
1535477339000,,,87.95,,
1535550907000,,,208.02,,
1535623054000,,,1002.38,,
1535695540000,,,235.59,,
1535768227000,,,149.11,,
1535842094000,,,22.21,,
1535914482000,,,193.15,,
1535987210000,,,563.07,,
1536059758000,,,619.71,,
1536132247000,,,1337.63,,
1536204432000,,,843.33,,
1536276091000,,,70.81,,
1536348963000,,,47.30,,
1536421628000,,,263.43,,
1536495403000,,,459.08,,
1536568351000,,,1768.96,,
1536639507000,,,51.55,,
1536711510000,,,2392.23,,
1536783125000,,,530.07,,
1536854753000,,,876.84,,
1536925887000,,,783.81,,
1536997175000,,,587.00,,
1537069009000,,,332.09,,
1537139381000,,,829.16,,
1537210708000,,,92.37,,
1537282705000,,,18.14,,
1537353835000,,,120.48,,
1537424834000,,,527.30,,
1537497361000,,,154.25,,
1537568218000,,,13.00,,
1537639728000,,,258.02,,
1537710354000,,,159.82,,
1537781366000,,,,,
1537852317000,,,,,
1537922897000,,,118.62,,
1537993834000,,,14.94,,
1538065170000,,,,,
1538135659000,,,12.27,,
1538207020000,,,208.54,,
1538277094000,,,,,
1538348235000,,,3038.59,,
1538418856000,,,1849.48,,
1538489640000,,,229.11,,
1538560179000,,,,,
1538631256000,,,45.71,,
1538700722000,,,33.85,,
1538771727000,,,28.59,,
1538841320000,,,89.87,,
1538911026000,,,1.61,,
1538980216000,,,,,
1539049430000,,,74.03,,
1539120813000,,,,,
1539190730000,,,46.71,,
1539260859000,,,280.71,,
1539330275000,,,,,
1539400992000,,,,,
1539470509000,,,174.55,,
1539541019000,,,1580.66,,
1539611779000,,,82.72,,
1539682267000,,,23.29,,
1539752649000,,,,,
1539822973000,,,80.43,,
1539893301000,,,231.24,,
1539964665000,,,41.30,,
1540035461000,,,58.93,,
1540105380000,,,,,
1540175783000,,,378.96,,
1540247628000,,,340.94,,
1540317582000,,,356.39,,
1540388140000,,,6.69,,
1540458691000,,,53.60,,
1540528530000,,,235.85,,
1540599331000,,,961.97,,
1540669979000,,,982.65,,
1540740577000,,,650.28,,
1540812281000,,,62.19,,
1540882459000,,,473.31,,
1540953530000,,,630.66,,
1541023512000,,,692.60,,
1541094934000,,,,,
1541166376000,,,158.27,,
1541237446000,,,347.56,,
1541307140000,,,,,
1541378245000,,,2.26,,
1541449770000,,,64.27,,
1541521033000,,,152.87,,
1541592294000,,,221.42,,
1541662439000,,,616.29,,
1541733218000,,,159.00,,
1541804044000,,,135.28,,
1541874538000,,,,,
1541945087000,,,2.43,,
1542016384000,,,538.89,,
1542085646000,,,33.40,,
1542156560000,,,59.40,,
1542228035000,,,74.66,,
1542298725000,,,516.82,,
1542368660000,,,284.06,,
1542440006000,,,118.28,,
1542510859000,,,180.51,,
1542580287000,,,46.23,,
1542652239000,,,302.03,,
1542723747000,,,550.56,,
1542795271000,,,1135.37,,
1542866477000,,,286.76,,
1542936877000,,,,,
1543007269000,,,134.35,,
1543077801000,,,315.48,,
1543148698000,,,,,
1543218413000,,,693.05,,
1543289948000,,,123.55,,
1543362296000,,,123.28,,
1543434172000,,,,,
1543504581000,,,509.41,,
1543575859000,,,23.97,,
1543646812000,,,20.85,,
1543718667000,,,1781.20,,
1543789997000,,,395.46,,
1543862329000,,,58.65,,
1543932926000,,,1295.31,,
1544005220000,,,2029.25,,
1544076879000,,,1624.34,,
1544148198000,,,310.00,,
1544220287000,,,,,
1544291964000,,,604.27,,
1544363331000,,,,,
1544433268000,,,69.71,,
1544503865000,,,,,
1544576147000,,,55916.92,,
1544647316000,,,225.82,,
1544718309000,,,,,
1544789693000,,,819.23,,
1544860802000,,,273.16,,
1544931651000,,,158.49,,
1545003100000,,,,,
1545076575000,,,730.82,,
1545151038000,,,259.48,,
1545224266000,,,335.00,,
1545298309000,,,935.60,,
1545371765000,,,1853.15,,
1545444975000,,,425.32,,
1545518580000,,,1.95,,
1545592165000,,,2040.36,,
1545664945000,,,204.92,,
1545737520000,,,104.85,,
1545810031000,,,309.16,,
1545883479000,,,145.97,,
1545956158000,,,593.50,,
1546029906000,,,424.91,,
1546103201000,,,1095.39,,
1546175667000,,,1447.68,,
1546247915000,,,997.38,,
1546320878000,,,59.24,,
1546394518000,,,33.83,,
1546466952000,,,70.80,,
1546544000000,,,691.40,,
1546622719000,,,574.93,,
1546699391000,,,825.46,,
1546776424000,,,87.44,,
1546854270000,,,26.37,,
1546931422000,,,3143.45,,
1547008514000,,,1357.30,,
1547086233000,,,881.68,,
1547163262000,,,1156.03,,
1547240860000,,,1464.91,,
1547318473000,,,1850.46,,
1547396030000,,,1021.05,,
1547472692000,,,3045.93,,
1547549533000,,,1326.12,,
1547626847000,,,,,
1547704633000,,,,,
1547781728000,,,4278.25,,
1547859045000,,,742.74,,
1547934719000,,,108.70,,
1548012002000,,,466.66,,
1548095978000,,,110.41,,
1548180548000,,,672.32,,
1548266597000,,,65.06,,
1548351788000,,,38.60,,
1548436981000,,,727.72,,
1548521909000,,,1376.92,,
1548607305000,,,113.87,,
1548695090000,,145.56,,,
1548784331000,,1288.17,,,
1548872168000,,,,,
1548959406000,1883.49,,,,
1549048111000,399.54,,,,
1549136870000,733.59,,,,
1549225465000,96.76,,,,
1549312025000,529.21,,,,
1549400397000,54.10,,,,
1549488758000,,,,,
1549576572000,120.59,,,,
1549664587000,155.57,,,,
1549752194000,60.05,,,,
1549853106000,,,,,
1549954624000,400.47,,,,
1550057114000,1521.69,,,,
1550160727000,112.25,,,,
1550264379000,,,,,
1550367666000,,,,,
1550471025000,243.04,,,,
1550573262000,330.78,,,,
1550675116000,153.54,,,,
1550776436000,296.76,,,,
1550878296000,160.14,,,,
1550978228000,3526.48,,,,
1551078586000,526.16,,,,
1551181750000,80.02,,,,
1551281880000,55.62,,,,
1551383524000,866.71,,,,
1551459490000,26.71,,,,
1551527005000,259.47,,,,
1551595407000,45.16,,,,
1551662535000,402.60,,,,
1551730739000,6.46,,,,
1551798808000,439.72,,,,
1551865512000,2841.64,,,,
1551932302000,828.76,,,,
1551999434000,44.29,,,,
1552066766000,245.93,,,,
1552134613000,729.86,,,,
1552201544000,103.49,,,,
1552268725000,23.63,,,,
1552336045000,73.80,,,,
1552403003000,,,,,
1552470545000,755.18,,,,
1552537130000,37.71,,,,
1552605435000,28.43,,,,
1552671597000,,,,,
1552738081000,,,,,
1552805598000,45.79,,,,
1552872817000,2790.91,,,,
1552940619000,34.77,,,,
1553008742000,,,,,
1553075047000,233.86,,,,
1553142018000,163.27,,,,
1553209653000,23.09,,,,
1553277395000,,,,,
1553344849000,1658.05,,,,
1553411888000,14.21,,,,
1553478679000,,,,,
1553546051000,99.71,,,,
1553614241000,,,,,
1553681868000,,,,,
1553749152000,0.01,,,,
1553816450000,128.30,,,,
1553884334000,,,,,
1553953102000,,,,,
1554019932000,4.45,,,,
1554086578000,252.51,,,,
1554153946000,,,,,
1554222678000,122.49,,,,
1554290288000,45.35,,,,
1554358137000,114.01,,,,
1554425436000,37.64,,,,
1554493384000,44.74,,,,
1554559454000,,,,,
1554626505000,11.86,,,,
1554693632000,0.28,,,,
1554760411000,892.70,,,,
1554827345000,,,,,
1554894627000,14.99,,,,
1554961787000,104.60,,,,
1555029655000,65.87,,,,
1555096914000,,,,,
1555163830000,82.36,,,,
1555230712000,28.71,,,,
1555297496000,1287.47,,,,
1555364629000,196.84,,,,
1555431616000,1239.22,,,,
1555500111000,250.16,,,,
1555566912000,997.75,,,,
1555634415000,,,,,
1555701653000,134.55,,,,
1555769476000,15200.21,,,,
1555837014000,9670.29,,,,
1555904097000,3038.49,,,,
1555970540000,719.43,,,,
1556038531000,1189.87,,,,
1556107407000,1444.04,,,,
1556173928000,74.81,,,,
1556241200000,,,,,
1556308450000,199.04,,,,
1556374991000,46.88,,,,
1556442410000,,,,,
1556509346000,,,,,
1556576806000,323.13,,,,
1556643967000,35.73,,,,
1556711534000,66.59,,,,
1556778136000,29.72,,,,
1556845234000,,,,,
1556913235000,105.26,,,,
1556979262000,198.00,,,,
1557047080000,148.74,,,,
1557114439000,14.60,,,,
1557182260000,3.02,,,,
1557249608000,8.57,,,,
1557318081000,1697.75,,,,
1557385675000,147.95,,,,
1557453624000,38.84,,,,
1557521031000,301.71,,,,
1557588222000,1892.66,,,,
1557655069000,915.54,,,,
1557722567000,33.36,,,,
1557790675000,122.93,,,,
1557857642000,355.19,,,,
1557924398000,1452.90,,,,
1557992058000,1211.41,,,,
1558059268000,2313.37,,,,
1558126732000,415.69,,,,
1558194179000,307.20,,,,
1558262228000,,,,,
1558329711000,93.85,,,,
1558397321000,,,,,
1558466162000,8.80,,,,
1558533192000,272.46,,,,
1558601405000,,,,,
1558669169000,963.43,,,,
1558736680000,,,,,
1558803191000,,,,,
1558871016000,424.78,,,,
1558937464000,433.46,,,,
1559004601000,9.42,,,,
1559072957000,,,,,
1559139434000,475.06,,,,
1559206701000,1972.53,,,,
1559274975000,1257.03,,,,
1559341699000,1594.08,,,,
1559409902000,1071.52,,,,
1559477256000,612.22,,,,
1559545066000,1954.82,,,,
1559613008000,2260.52,,,,
1559680478000,161.78,,,,
1559748180000,169.91,,,,
1559815480000,3921.23,,,,
1559882780000,1711.12,,,,
1559950737000,7968.13,,,,
1560018665000,967.77,,,,
1560086804000,104.74,,,,
1560153643000,,,,,
1560221421000,,,,,
1560289199000,104.77,,,,
1560356878000,188.76,,,,
1560423930000,29.18,,,,
1560491307000,290.49,,,,
1560558991000,281.46,,,,
1560626789000,134.69,,,,
1560694377000,267.11,,,,
1560761916000,,,,,
1560829590000,558.14,,,,
1560897457000,29.42,,,,
1560964413000,10.59,,,,
1561032579000,,,,,
1561100149000,782.93,,,,
1561168282000,,,,,
1561234762000,486.08,,,,
1561302398000,,,,,
1561369418000,,,,,
1561436953000,,,,,
1561504004000,0.01,,,,
1561570799000,,,,,
1561638755000,540.60,,,,
