timestamp,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xe1248d1A8129493825bfF36a68E549798911DFB0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1542368660000,,,,,
1542440006000,4173.62,,,,
1542510859000,940.14,,,,
1542580287000,3190.07,,,,
1542652239000,38720.11,,,,
1542723747000,52980.06,,,,
1542795271000,80012.08,,,,
1542866477000,6139.04,,,,
1542936877000,19173.85,,,,
1543007269000,14259.93,,,,
1543077801000,10802.78,,,,
1543148698000,81462.26,,,,
1543218413000,23867.97,,,,
1543289948000,43889.10,,,,
1543362296000,14698.29,,,,
1543434172000,49331.46,,,,
1543504581000,30403.57,,,,
1543575859000,20682.78,,,,
1543646812000,15011.12,,,,
1543718667000,19930.88,,,,
1543789997000,7245.73,,,,
1543862329000,28335.85,,,,
1543932926000,19962.20,,,,
1544005220000,13137.98,,,,
1544076879000,46143.23,,,,
1544148198000,65061.06,,,,
1544220287000,165708.07,,,,
1544291964000,32402.83,,,,
1544363331000,20340.65,,,,
1544433268000,17221.38,,,,
1544503865000,18293.94,,,,
1544576147000,16626.35,,,,
1544647316000,4628.23,,,,
1544718309000,1985.74,,,,
1544789693000,9380.54,,,,
1544860802000,46068.45,,,,
1544931651000,30489.81,,,,
1545003100000,4978.81,,,,
1545076575000,24914.38,,,,
1545151038000,8731.48,,,,
1545224266000,27951.19,,,,
1545298309000,8008.75,,,,
1545371765000,38932.12,,,,
1545444975000,20870.19,,,,
1545518580000,20591.00,,,,
1545592165000,45990.11,,,,
1545664945000,55710.25,,,,
1545737520000,99745.91,,,,
1545810031000,22002.91,,,,
1545883479000,11781.57,,,,
1545956158000,37197.56,,,,
1546029906000,43093.90,,,,
1546103201000,14339.36,,,,
1546175667000,29712.31,,,,
1546247915000,4497.49,,,,
1546320878000,16648.94,,,,
1546394518000,9055.78,,,,
1546466952000,17322.66,,,,
1546544000000,25052.38,,,,
1546622719000,12723.87,,,,
1546699391000,10427.43,,,,
1546776424000,2199.98,,,,
1546854270000,4637.23,,,,
1546931422000,12648.12,,,,
1547008514000,5327.43,,,,
1547086233000,174.13,,,,
1547163262000,60680.25,,,,
1547240860000,3496.49,,,,
1547318473000,1825.61,,,,
1547396030000,3077.56,,,,
1547472692000,22599.41,,,,
1547549533000,31862.25,,,,
1547626847000,28858.99,,,,
1547704633000,14004.89,,,,
1547781728000,3661.44,,,,
1547859045000,3548.34,,,,
1547934719000,5042.79,,,,
1548012002000,9920.96,,,,
1548095978000,3340.99,,,,
1548180548000,37.39,,,,
1548266597000,1032.82,,,,
1548351788000,11763.40,,,,
1548436981000,931.90,,,,
1548521909000,11811.86,,,,
1548607305000,20320.98,,,,
1548695090000,930.14,,,,
1548784331000,,,,,
1548872168000,165.54,,,,
1548959406000,,,,,
1549048111000,,,,7302.57,
1549136870000,,,,10358.47,
1549225465000,,,,1662.60,
1549312025000,,,,1723.23,
1549400397000,,,,1222.13,
1549488758000,,,,3446.60,
1549576572000,,,,1262.89,
1549664587000,,,,16874.48,
1549752194000,,,,2171.82,
1549853106000,,,,1450.79,
1549954624000,,,,402.67,
1550057114000,,,,98.30,
1550160727000,,,,970.62,
1550264379000,,,,661.10,
1550367666000,,,,,
1550471025000,,,,,
1550573262000,,,,25697.20,
1550675116000,,,,8563.58,
1550776436000,,,,17634.37,
1550878296000,,,,5528.67,
1550978228000,,,,4589.85,
1551078586000,,,,16030.48,
1551181750000,,,,10710.36,
1551281880000,,,,3835.57,
1551383524000,,,,10769.93,
1551459490000,,,,222.20,
1551527005000,,,,5839.36,
1551595407000,,,,891.46,
1551662535000,,,,1451.99,
1551730739000,,,,6222.70,
1551798808000,,,,6637.78,
1551865512000,,,,16106.57,
1551932302000,,,,5953.38,
1551999434000,,,,2446.55,
1552066766000,,,,10408.29,
1552134613000,,,,30512.28,
1552201544000,,,,12937.80,
1552268725000,,,,5237.05,
1552336045000,,,,9538.09,
1552403003000,,,,11086.19,
1552470545000,,,,1491.94,
1552537130000,,,,6555.46,
1552605435000,,,,178.65,
1552671597000,,,,3255.89,
1552738081000,,,,5479.13,
1552805598000,,,,2910.03,
1552872817000,,,,8272.89,
1552940619000,,,,2152.48,
1553008742000,,,,4172.06,
1553075047000,,,,4584.15,
1553142018000,,,,1778.69,
1553209653000,,,,10963.50,
1553277395000,,,,1881.16,
1553344849000,,,,1066.62,
1553411888000,,,,897.15,
1553478679000,,,,2618.73,
1553546051000,,,,3381.81,
1553614241000,,,,1107.25,
1553681868000,,,,2509.19,
1553749152000,,,,1248.00,
1553816450000,,,,1108.93,
1553884334000,,,,4692.57,
1553953102000,,,,1992.74,
1554019932000,,,,,
1554086578000,,,,,
1554153946000,,,,481.70,
1554222678000,,,,,
1554290288000,,,,23939.04,
1554358137000,,,,19028.93,
1554425436000,,,,6020.69,
1554493384000,,,,4295.54,
1554559454000,,,,2900.63,
1554626505000,,,,4296.67,
1554693632000,,,,4235.81,
1554760411000,,,,1916.59,
1554827345000,,,,562.93,
1554894627000,,,,483.41,
1554961787000,,,,2556.65,
1555029655000,,,,5314.89,
1555096914000,,,,1118.01,
1555163830000,,,,198.95,
1555230712000,,,,,
1555297496000,,,,1678.65,
1555364629000,,,,4055.64,
1555431616000,,,,731.67,
1555500111000,,,,3059.46,
1555566912000,,,,2613.87,
1555634415000,,,,99.15,
1555701653000,,,,459.34,
1555769476000,,,,,
1555837014000,,,,,
1555904097000,,,,4396.87,
1555970540000,,,,2496.86,
1556038531000,,,,703.55,
1556107407000,,,,8243.07,
1556173928000,,,,6770.63,
1556241200000,,,,8708.60,
1556308450000,,,,4426.09,
1556374991000,,,,4312.49,
1556442410000,,,,1296.72,
1556509346000,,,,8601.15,
1556576806000,,,,4480.38,
1556643967000,,,,1674.55,
1556711534000,,,,3254.18,
1556778136000,,,,449.54,
1556845234000,,,,,
1556913235000,,,,526.91,
1556979262000,,,,1972.76,
1557047080000,,,,3441.99,
1557114439000,,,,1748.03,
1557182260000,,,,17594.02,
1557249608000,,,,3872.42,
1557318081000,,,,3306.03,
1557385675000,,,,524.65,
1557453624000,,,,2621.49,
1557521031000,,,,1069.99,
1557588222000,,,,1273.61,
1557655069000,,,,15380.55,
1557722567000,,,,10655.23,
1557790675000,,,,10247.50,
1557857642000,,,,13952.61,
1557924398000,,,,14204.96,
1557992058000,,,,20398.34,
1558059268000,,,,19522.85,
1558126732000,,,,20208.96,
1558194179000,,,,6155.68,
1558262228000,,,,9807.89,
1558329711000,,,,7740.03,
1558397321000,,,,7008.69,
1558466162000,,,,2048.51,
1558533192000,,,,4879.72,
1558601405000,,,,3826.62,
1558669169000,,,,2990.15,
1558736680000,,,,,
1558803191000,,,,,
1558871016000,,,,1409.08,
1558937464000,,,,176.60,
1559004601000,,,,1983.18,
1559072957000,,,,,
1559139434000,,,,,
1559206701000,,,,,
1559274975000,,,,843.89,
1559341699000,,,,843.39,
1559409902000,,,,1423.88,
1559477256000,,,,,
1559545066000,,,,,
1559613008000,,,,,
1559680478000,,,,9874.46,
1559748180000,,,,8757.09,
1559815480000,,,,1957.60,
1559882780000,,,,5068.59,
1559950737000,,,,2153.41,
1560018665000,,,,719.29,
1560086804000,,,,723.53,
1560153643000,,,,1690.41,
1560221421000,,,,,
1560289199000,,,,1456.83,
1560356878000,,,,3107.43,
1560423930000,,,,625.75,
1560491307000,,,,55.05,
1560558991000,,,,595.29,
1560626789000,,,,113.61,
1560694377000,,,,6221.61,
1560761916000,,,,3408.64,
1560829590000,,,,,
1560897457000,,,,4403.72,
1560964413000,,,,1633.25,
1561032579000,,,,2094.16,
1561100149000,,,,2150.70,
1561168282000,,,,5248.04,
1561234762000,,,,5736.44,
1561302398000,,,,2848.26,
1561369418000,,,,4447.32,
1561436953000,,,,4334.19,
1561504004000,,,,2590.63,
1561570799000,,,,3418.58,
1561638755000,,,,3682.87,
1561706755000,,,,6937.96,
1561774045000,,,,3136.00,
1561840989000,,,,415.33,
1561907952000,,,,,
1561975491000,,,,8556.04,
1562042620000,,,,6982.46,
1562110262000,,,,6421.15,
1562178137000,,,,2760.14,
1562245083000,,,,2046.43,
1562312263000,,,,3510.70,
1562380043000,,,,1819.79,
1562446275000,,,,708.96,
1562513829000,,,,2161.84,
1562580710000,,,,5959.13,
1562647935000,,,,2037.48,
1562714668000,,,,4100.20,
1562782053000,,,,6459.28,
1562848961000,,,,7029.03,
1562916876000,,,,1362.71,
1562984792000,,,,1550.46,
1563051887000,,,,4766.32,
1563118325000,,,,2636.02,
1563185341000,,,,21967.60,
1563253666000,,,,9266.54,
1563322130000,,,,27726.66,
1563390506000,,,,13815.50,
1563456683000,,,,8248.49,
1563524083000,,,,8061.87,
1563591824000,,,,5045.75,
1563657984000,,,,2944.19,
1563725454000,,,,3990.34,
1563792449000,,,,3531.55,
1563858874000,,,,2060.28,
1563925785000,,1036.61,,1046.76,
1563992752000,,10721.12,,,
1564060720000,,4131.01,,,
1564128623000,,3332.48,,,
1564194770000,,3076.78,,,
1564261351000,,6313.23,,,
1564329190000,,1067.92,,,
1564395991000,,6604.99,,,
1564463477000,,1052.69,,,
1564530020000,,2350.55,,,
1564597821000,,2075.35,,,
1564665039000,,,,,
1564732022000,,,,,
1564799107000,,,,,
1564865751000,,,,,
1564932781000,,1041.52,,,
1564999286000,,2066.64,,,
1565066439000,,2030.97,,,
1565133760000,,5160.15,,,
1565200774000,,947.91,,,
1565267861000,,,,,
1565334762000,,2155.93,,,
1565401917000,,,,,
1565468754000,,4483.57,,,
1565536629000,,,,,
1565603145000,,1119.38,,,
1565669720000,,,,,
1565737101000,,,,,
1565803734000,,1923.27,,,
1565871010000,,40781.03,,,
1565938594000,,3948.95,,,
1566005643000,,1307.79,,,
1566071734000,,1319.80,,,
1566139968000,,3875.61,,,
1566206924000,,2505.68,,,
1566273958000,,,,,
1566340899000,,,,,
1566408719000,,1258.00,,,
1566474986000,,6848.79,,,
1566542876000,,2662.45,,,
1566609532000,,1292.08,,,
1566677699000,,1300.88,,,
1566744845000,,2593.22,,,
1566811311000,,2626.72,,,
1566879172000,,,,,
1566946162000,,,,,
1567013670000,,,,,
1567080503000,,7119.21,,,
1567147214000,,10981.15,,,
1567214663000,,384.93,,,
1567281961000,,,,,
1567349460000,,1440.76,,,
1567416716000,,,,,
1567484031000,,3234.54,,,
1567551463000,,,,,
1567619231000,,4279.52,,,
1567685589000,,1467.86,,,
1567753902000,,9232.05,,,
1567820847000,,2952.42,,,
1567887785000,,2915.15,,,
1567955110000,,2863.48,,,
1568023141000,,2835.09,,,
1568089878000,,3116.99,,,
1568157833000,,1376.62,,,
1568225074000,,2830.33,,,
1568292523000,,,,,
1568360055000,,,,,
1568427970000,,,,,
1568495114000,,2787.08,,,
1568562808000,,,,,
1568630407000,,,,,
1568696458000,,102.95,,,
1568764187000,,10416.20,,,
1568830698000,,2437.88,,,
1568898597000,,3719.06,,,
1568967137000,,3681.90,,,
1569034094000,,,,,
1569100750000,,,,,
1569168482000,,,,,
1569236030000,,505.65,,,
1569303544000,,504.74,,,
1569371996000,,24494.21,,,
1569439704000,,,,,
1569507924000,,,,,
1569575662000,,,,,1277.15
1569642495000,,,,,
1569709939000,,,,,
1569777994000,,,,,
1569845721000,,,,,
1569912741000,,,,,1538.97
1569979950000,,,,,
1570047984000,,,,,
1570116154000,,,,,
