timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1534892931000,,,,,
1534965694000,,3568.60,,,
1535039951000,,12493.09,,,
1535112747000,,3117.64,,,
1535185292000,,29256.12,,,
1535257864000,,5180.72,,,
1535331135000,,423.66,,,
1535403660000,,1066.40,,,
1535477339000,,678.39,,,
1535550907000,,1964.20,,,
1535623054000,,287.80,,,
1535695540000,,,,,
1535768227000,,674.49,,,
1535842094000,,1456.95,,,
1535914482000,,1334.82,,,
1535987210000,,,,,
1536059758000,,,,,
1536132247000,,1229.48,,,
1536204432000,,4798.34,,,
1536276091000,,747.30,,,
1536348963000,,,,,
1536421628000,,870.08,,,
1536495403000,,650.23,,,
1536568351000,,,,,
1536639507000,,,,,
1536711510000,,,,,
1536783125000,,,,,
1536854753000,,942.75,,,
1536925887000,,2365.75,,,
1536997175000,,278.74,,,
1537069009000,,153.18,,,
1537139381000,,921.73,,,
1537210708000,,2050.50,,,
1537282705000,,2160.36,,,
1537353835000,,880.89,,,
1537424834000,,376.60,,,
1537497361000,,945.65,,,
1537568218000,,6537.97,,,
1537639728000,,,,,
1537710354000,,939.15,,,
1537781366000,,2214.24,,,
1537852317000,,2949.85,,,
1537922897000,,2642.41,,,
1537993834000,,981.31,,,
1538065170000,,3881.84,,,
1538135659000,,11438.97,,,
1538207020000,,528.60,,,
1538277094000,,,,,
1538348235000,,1469.12,,,
1538418856000,,372.29,,,
1538489640000,,276.95,,,
1538560179000,,579.30,,,
1538631256000,,,,,
1538700722000,,302.85,,,
1538771727000,,151.93,,,
1538841320000,,1093.53,,,
1538911026000,,458.07,,,
1538980216000,,368.77,,,
1539049430000,,1001.69,,,
1539120813000,,,,,
1539190730000,,908.11,,,
1539260859000,,3742.32,,,
1539330275000,,832.43,,,
1539400992000,,712.06,,,
1539470509000,,152.45,,,
1539541019000,,152.89,,,
1539611779000,,2215.11,,,
1539682267000,,1565.09,,,
1539752649000,,379.82,,,
1539822973000,,,,,
1539893301000,,321.83,,,
1539964665000,,158.75,,,
1540035461000,,1784.42,,,
1540105380000,,317.75,,,
1540175783000,,,,,
1540247628000,,598.55,,,
1540317582000,,1589.14,,,
1540388140000,,1604.49,,,
1540458691000,,1086.46,,,
1540528530000,,2454.31,,,
1540599331000,,2649.51,,,
1540669979000,,2891.26,,,
1540740577000,,,,,
1540812281000,,309.44,,,
1540882459000,,1113.29,,,
1540953530000,,419.47,,,
1541023512000,,,,,
1541094934000,,649.07,,,
1541166376000,,737.63,,,
1541237446000,,152.52,,,
1541307140000,,299.01,,,
1541378245000,,452.05,,,
1541449770000,,2773.81,,,
1541521033000,,431.12,,,
1541592294000,,429.16,,,
1541662439000,,693.55,,,
1541733218000,,844.70,,,
1541804044000,,4215.57,,,
1541874538000,,721.98,,,
1541945087000,,,,,
1542016384000,,1201.67,,,
1542085646000,,,,,
1542156560000,,394.54,,,
1542228035000,,,,,
1542298725000,,166.08,,,
1542368660000,,463.27,,,
1542440006000,,,,,
1542510859000,,1079.20,,,
1542580287000,,,,,
1542652239000,,1849.31,,,
1542723747000,,315.65,,,
1542795271000,,3233.79,,,
1542866477000,,801.67,,,
1542936877000,,1062.53,,,
1543007269000,,,,,
1543077801000,,,,,
1543148698000,,918.62,,,
1543218413000,,170.10,,,
1543289948000,,1169.44,,,
1543362296000,,767.93,,,
1543434172000,,1766.35,,,
1543504581000,,545.59,,,
1543575859000,,,,,
1543646812000,,,,,
1543718667000,,,,,
1543789997000,,1503.40,,,
1543862329000,,,,,
1543932926000,,,,,
1544005220000,,,,,
1544076879000,,8277.39,,,
1544148198000,,9104.50,,,
