timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,,
1529459855000,,,,,376.95,
1529534480000,,,,,3062.91,
1529607759000,,,,,9081.80,
1529682434000,,,,,,
1529756296000,,,,,338.99,
1529828276000,,,,,88.91,
1529902416000,,,,,607.33,
1529979078000,,,,,152.56,
1530054421000,,,,,1185.12,
1530128282000,,,,,178.64,
1530203197000,,,,,254.35,
1530278431000,,,,,51.32,
1530351013000,,,,,38.31,
1530426268000,,,,,,
1530499615000,,,,,1238.79,
1530572217000,,,,,1775.14,
1530646642000,,,,,211.05,
1530720604000,,,,,75.39,
1530794550000,,,,,201.01,
1530868977000,,,,,305.08,
1530942968000,,,,,26.28,
1531017892000,,,,,,
1531093254000,,,,,1570.01,
1531167486000,,,,,146.83,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,208.50,
1531459813000,,,,,21.89,
1531532086000,,,,,158.15,
1531603912000,,,,,,
1531675397000,,,,,,
1531748307000,,,,,455.20,
1531822417000,,,,,3157.62,
1531896343000,,,,,1606.06,
1531971151000,,,,,62.54,
1532045631000,,,,,,
1532118564000,,,,,20.56,
1532191928000,,,,,,
1532264894000,,,,,45.66,
1532336677000,,,,,95.91,
1532411124000,,,,,18.88,
1532485297000,,,,,5754.38,
1532558514000,,,,,116.80,
1532632522000,,,,,5203.41,
1532706031000,,,,,1694.29,
1532778335000,,,,,434.51,
1532849626000,,,,,216.87,
1532921962000,,,,,299.69,
1532994160000,,,,,6100.52,
1533067467000,,,,,1161.92,
1533141286000,,,,,,
1533214941000,,,,,2296.19,
1533288091000,,,,,607.15,
1533360489000,,,,,396.43,
1533432998000,,,,,,
1533505953000,,,,,26.24,
1533578575000,,,,,123.24,
1533651925000,,,,,,
1533724916000,,,,,444.48,
1533797508000,,,,,1320.10,
1533870537000,,,,,594.89,
1533943288000,,,,,251.37,
1534016212000,,,,,,
1534090711000,,,,,295.66,
1534163628000,,,,,633.52,
1534236905000,,,,,6799.63,
1534309134000,,,,,1085.61,
1534381971000,,,,,223.84,
1534454722000,,,,,940.84,
1534527690000,,,,,2278.29,
1534602524000,,,,,373.61,
1534675224000,,,,,58.11,
1534747701000,,,,,379.41,
1534820720000,,,,,,
1534892931000,,,,,123.58,
1534965694000,,,,,,
1535039951000,,,,,,
1535112747000,,,,,239.47,
1535185292000,,,,,1.39,
1535257864000,,,,,29.47,
1535331135000,,,,,224.08,
1535403660000,,,,,174.08,
1535477339000,,,,,76.38,
1535550907000,,,,,297.61,
1535623054000,,,,,,
1535695540000,,,,,10897.83,
1535768227000,,,,,2142.05,
1535842094000,,,,,842.27,
1535914482000,,,,,451.10,
1535987210000,,,,,817.75,
1536059758000,,,,,239.06,
1536132247000,,,,,1903.47,
1536204432000,,,,,1346.18,
1536276091000,,,,,1175.74,
1536348963000,,,,,12.94,
1536421628000,,,,,559.04,
1536495403000,,,,,25.18,
1536568351000,,,,,537.69,
1536639507000,,,,,32.46,
1536711510000,,,,,865.48,
1536783125000,,,,,3296.53,
1536854753000,,,,,2371.20,
1536925887000,,,,,1882.43,
1536997175000,,,,,226.70,
1537069009000,,,,,891.17,
1537139381000,,,,,108.08,
1537210708000,,,,,273.94,
1537282705000,,,,,,
1537353835000,,,,,451.95,
1537424834000,,,,,461.95,
1537497361000,,,,,,
1537568218000,,,,,99.24,
1537639728000,,,,,1.18,
1537710354000,,,,,,
1537781366000,,,,,742.40,
1537852317000,,,,,150.36,
1537922897000,,,,,208.03,
1537993834000,,,,,458.18,
1538065170000,,,,,827.58,
1538135659000,,,,,383.47,
1538207020000,,,,,423.95,
1538277094000,,,,,913.84,
1538348235000,,,,,39.06,
1538418856000,,,,,1688.73,
1538489640000,,,,,433.93,
1538560179000,,,,,343.50,
1538631256000,,,,,180.19,
1538700722000,,,,,708.60,
1538771727000,,,,,170.11,
1538841320000,,,,,329.63,
1538911026000,,,,,1886.81,
1538980216000,,,,,59.79,
1539049430000,,,,,,
1539120813000,,,,,92.57,
1539190730000,,,,,3593.98,
1539260859000,,,,,235.72,
1539330275000,,,,,878.46,
1539400992000,,,,,245.28,
1539470509000,,,,,,
1539541019000,,,,,645.70,
1539611779000,,,,,,
1539682267000,,,,,387.00,
1539752649000,,,,,38.65,
1539822973000,,,,,328.22,
1539893301000,,,,,725.13,
1539964665000,,,,,484.28,
1540035461000,,,,,846.11,
1540105380000,,,,,788.81,
1540175783000,,,,,159.24,
1540247628000,,,,,1511.91,
1540317582000,,,,,,
1540388140000,,,,,7.95,
1540458691000,,,,,5883.68,
1540528530000,,,,,130.26,
1540599331000,,,,,6258.35,
1540669979000,,,,,6580.62,
1540740577000,,,,,,
1540812281000,,,,,69.85,
1540882459000,,,,,74.43,
1540953530000,,,,,270.29,
1541023512000,,,,,67.42,
1541094934000,,,,,,
1541166376000,,,,,982.93,
1541237446000,,,,,1559.67,
1541307140000,,,,,141.85,
1541378245000,,,,,444.51,
1541449770000,,,,,577.80,
1541521033000,,,,,530.29,
1541592294000,,,,,5.52,
1541662439000,,,,,1306.04,
1541733218000,,,,,338.32,
1541804044000,,,,,2241.89,
1541874538000,,,,,648.30,
1541945087000,,,,,43.10,
1542016384000,,,,,7281.36,
1542085646000,,,,,3537.92,
1542156560000,,,,,564.45,
1542228035000,,,,,18819.35,
1542298725000,,,,,1735.72,
1542368660000,,,,,13.74,
1542440006000,,,,,845.07,
1542510859000,,,,,80.37,
1542580287000,,,,,,
1542652239000,,,,,276.90,
1542723747000,,,,,2355.49,
1542795271000,,,,,745.51,
1542866477000,,,,,6074.98,
1542936877000,,,,,4391.56,
1543007269000,,,,,1223.10,
1543077801000,,,,,2603.87,
1543148698000,,,,,981.44,
1543218413000,,,,,1206.81,
1543289948000,,,,,307.32,
1543362296000,,,,,,
1543434172000,,,,,115.63,
1543504581000,,,,,,
1543575859000,,,,,1496.06,
1543646812000,,,,,606.94,
1543718667000,,,,,,
1543789997000,,,,,1235.50,
1543862329000,,,,,91.99,
1543932926000,,,,,,
1544005220000,,,,,2146.43,
1544076879000,,,,,199.83,
1544148198000,,,,,,
1544220287000,,,,,,
1544291964000,,,,,33.52,
1544363331000,,,,,1186.96,
1544433268000,,,,,754.44,
1544503865000,,,,,589.58,
1544576147000,,,,,,
1544647316000,,,,,,
1544718309000,,,,,,
1544789693000,,,,,29.64,
1544860802000,,,,,134.66,
1544931651000,,,,,217.62,
1545003100000,,,,,105.05,
1545076575000,,,,,481.74,
1545151038000,,,,,,
1545224266000,,,,,451.11,
1545298309000,,,,,,
1545371765000,,,,,2089.76,
1545444975000,,,,,906.66,
1545518580000,,,,,1026.12,
1545592165000,,,,,220.90,
1545664945000,,,,,118.67,
1545737520000,,,,,57.44,
1545810031000,,,,,71.31,
1545883479000,,,,,,
1545956158000,,,,,617.72,
1546029906000,,,,,181.49,
1546103201000,,,,,209.62,
1546175667000,,,,,,
1546247915000,,,,,7655.43,
1546320878000,,,,,2954.86,
1546394518000,,,,,672.93,
1546466952000,,,,,,
1546544000000,,,,,164.58,
1546622719000,,,,,691.50,
1546699391000,,,,,36.04,
1546776424000,,,,,767.70,
1546854270000,,,,,110.83,
1546931422000,,,,,,
1547008514000,,,,,,
1547086233000,,,,,444.77,
1547163262000,,,,,857.36,
1547240860000,,,,,,
1547318473000,,,,,17.03,
1547396030000,,,,,,
1547472692000,,,,,,
1547549533000,,,,,262.96,
1547626847000,,,,,,
1547704633000,,,,,,
1547781728000,,,,,4165.57,
1547859045000,,,,,210.88,
1547934719000,,,,,225.00,
1548012002000,,,,,395.14,
1548095978000,,,,,136.07,
1548180548000,,,,,,
1548266597000,,,,,,
1548351788000,,,,,1213.37,
1548436981000,,,,,37.10,
1548521909000,,,,,,
1548607305000,,,,,871.40,
1548695090000,,,,,,
1548784331000,925.90,662.83,,,,
1548872168000,152.19,,,,,
1548959406000,2227.56,,,,,
1549048111000,1343.86,,,,,
1549136870000,180.68,,,,,
1549225465000,,,,,,
1549312025000,182.59,,,,,
1549400397000,,,,,,
1549488758000,,,,,,
1549576572000,,,,,,
1549664587000,16.79,,,,,
1549752194000,96.76,,,,,
1549853106000,116.09,,,,,
1549954624000,,,,,,
1550057114000,2921.32,,,,,
1550160727000,10.20,,,,,
1550264379000,1109.32,,,,,
1550367666000,228.67,,,,,
1550471025000,,,,,,
1550573262000,2089.74,,,,,
1550675116000,157.70,,,,,
1550776436000,34.08,,,,,
1550878296000,36.36,,,,,
1550978228000,656.19,,,,,
1551078586000,151.10,,,,,
1551181750000,31.69,,,,,
1551281880000,,,,,,
1551383524000,141.15,,,,,
1551459490000,52.27,,,,,
1551527005000,40.38,,,,,
1551595407000,,,,,,
1551662535000,23.50,,,,,
1551730739000,78.02,,,,,
1551798808000,85.82,,,,,
1551865512000,40.11,,,,,
1551932302000,404.11,,,,,
1551999434000,1060.21,,,,,
1552066766000,,,,,,
1552134613000,350.79,,,,,
1552201544000,5335.16,,,,,
1552268725000,2944.42,,,,,
1552336045000,1277.77,,,,,
1552403003000,1164.43,,,,,
1552470545000,879.17,,,,,
1552537130000,11.51,,,,,
1552605435000,1141.30,,,,,
1552671597000,2147.98,,,,,
1552738081000,379.85,,,,,
1552805598000,131.45,,,,,
1552872817000,1083.22,,,,,
1552940619000,847.22,,,,,
1553008742000,556.69,,,,,
1553075047000,1308.07,,,,,
1553142018000,2774.94,,,,,
1553209653000,501.22,,,,,
1553277395000,414.13,,,,,
1553344849000,,,,,,
1553411888000,923.42,,,,,
1553478679000,16.57,,,,,
1553546051000,169.88,,,,,
1553614241000,,,,,,
1553681868000,,,,,,
1553749152000,575.71,,,,,
1553816450000,,,,,,
1553884334000,9.95,,,,,
1553953102000,,,,,,
1554019932000,,,,,,
1554086578000,568.96,,,,,
1554153946000,136.96,,,,,
1554222678000,603.70,,,,,
