timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,,
1529459855000,,2821.43,,,
1529534480000,,4775.76,,,
1529607759000,,6840.15,,,
1529682434000,,2726.62,,,
1529756296000,,2884.97,,,
1529828276000,,3774.40,,,
1529902416000,,4046.98,,,
1529979078000,,2031.79,,,
1530054421000,,2167.69,,,
1530128282000,,5737.84,,,
1530203197000,,1589.65,,,
1530278431000,,5246.37,,,
1530351013000,,4250.81,,,
1530426268000,,623.86,,,
1530499615000,,,,,
1530572217000,,665.31,,,
1530646642000,,2453.81,,,
1530720604000,,1277.36,,,
1530794550000,,603.73,,,
1530868977000,,115.82,,,
1530942968000,,2943.47,,,
1531017892000,,1230.60,,,
1531093254000,,627.70,,,
1531167486000,,4.85,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,119.27,,,
1531459813000,,1634.32,,,
1531532086000,,29.49,,,
1531603912000,,,,,
1531675397000,,1136.87,,,
1531748307000,,2063.76,,,
1531822417000,,4161.14,,,
1531896343000,,3937.97,,,
1531971151000,,2045.01,,,
1532045631000,,2306.58,,,
1532118564000,,2944.30,,,
1532191928000,,2391.56,,,
1532264894000,,2062.35,,,
1532336677000,,636.54,,,
1532411124000,,3088.06,,,
1532485297000,,1852.85,,,
1532558514000,,5959.57,,,
1532632522000,,3450.76,,,
1532706031000,,3299.61,,,
1532778335000,,3556.48,,,
1532849626000,,4230.14,,,
1532921962000,,7582.40,,,
1532994160000,,1211.05,,,
1533067467000,,4619.20,,,
1533141286000,,5180.88,,,
1533214941000,,4411.17,,,
1533288091000,,15295.13,,,
1533360489000,,1392.98,,,
1533432998000,,2032.34,,,
1533505953000,,1676.62,,,
1533578575000,,686.76,,,
1533651925000,,298.68,,,
1533724916000,,2750.60,,,
1533797508000,,755.43,,,
1533870537000,,3194.94,,,
1533943288000,,7963.21,,,
1534016212000,,5682.77,,,
1534090711000,,5775.41,,,
1534163628000,,671.88,,,
1534236905000,,9584.70,,,
1534309134000,,9842.09,,,
1534381971000,,1726.58,,,
1534454722000,,1224.25,,,
1534527690000,,1572.38,,,
1534602524000,,1246.53,,,
1534675224000,,93.32,,,
1534747701000,,1424.10,,,
1534820720000,,552.30,,,
1534892931000,,1439.60,,,
1534965694000,,1281.67,,,
1535039951000,,1404.58,,,
1535112747000,,1374.92,,,
1535185292000,,1676.81,,,
1535257864000,,140.16,,,
1535331135000,,427.24,,,
1535403660000,,6501.28,,,
