timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1529385239000,,,,,
1529459855000,,,9707.88,,
1529534480000,,,5546.23,,
1529607759000,,,296.44,,
1529682434000,,,254.00,,
1529756296000,,,36.24,,
1529828276000,,,906.84,,
1529902416000,,,498.11,,
1529979078000,,,511.06,,
1530054421000,,,3631.65,,
1530128282000,,,2868.08,,
1530203197000,,,1968.64,,
1530278431000,,,1966.21,,
1530351013000,,,5814.45,,
1530426268000,,,1806.20,,
1530499615000,,,343.68,,
1530572217000,,,654.32,,
1530646642000,,,4119.71,,
1530720604000,,,1148.48,,
1530794550000,,,11661.33,,
1530868977000,,,5831.45,,
1530942968000,,,998.11,,
1531017892000,,,784.32,,
1531093254000,,,26684.35,,
1531167486000,,,1856.05,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,1001.61,,
1531459813000,,,11869.68,,
1531532086000,,,30579.53,,
1531603912000,,,22564.92,,
1531675397000,,,5549.19,,
1531748307000,,,22372.51,,
1531822417000,,,9114.76,,
1531896343000,,,856.79,,
1531971151000,,,1232.65,,
1532045631000,,,518.51,,
1532118564000,,,16775.60,,
1532191928000,,,5062.97,,
1532264894000,,,3049.42,,
1532336677000,,,10413.29,,
1532411124000,,,8584.43,,
1532485297000,,,67693.64,,
1532558514000,,,939.48,,
1532632522000,,,2653.60,,
1532706031000,,,5755.59,,
1532778335000,,,3834.60,,
1532849626000,,,,,
1532921962000,,,,,
1532994160000,,,375.36,,
1533067467000,,,17808.99,,
1533141286000,,,401.25,,
1533214941000,,,2366.30,,
1533288091000,,,23403.43,,
1533360489000,,,39631.73,,
1533432998000,,,8095.06,,
1533505953000,,,15641.16,,
1533578575000,,,18552.52,,
1533651925000,,,12025.18,,
1533724916000,,,5144.37,,
1533797508000,,,25202.40,,
1533870537000,,,15165.60,,
1533943288000,,,23649.92,,
1534016212000,,,44951.37,,
1534090711000,,,26911.45,,
1534163628000,,,13930.13,,
1534236905000,,,24061.67,,
1534309134000,,,26001.07,,
1534381971000,,,1456.91,,
1534454722000,,,1958.35,,
1534527690000,,,2732.67,,
1534602524000,,,,,
1534675224000,,,318.26,,
1534747701000,,,397.65,,
1534820720000,,,587.48,,
1534892931000,,,1393.89,,
1534965694000,,,,,
1535039951000,,,349.52,,
1535112747000,,,10972.82,,
1535185292000,,,1750.13,,
1535257864000,,,23347.38,,
1535331135000,,,6726.28,,
1535403660000,,,270.39,,
1535477339000,,,,,
1535550907000,,,170.51,,
1535623054000,,,1260.25,,
1535695540000,,,123.61,,
1535768227000,,,497.62,,
1535842094000,,,883.90,,
1535914482000,,,,,
1535987210000,,,339.36,,
1536059758000,,,4688.21,,
1536132247000,,,39378.93,,
1536204432000,,,6569.34,,
1536276091000,,,19147.63,,
1536348963000,,,5561.69,,
1536421628000,,,3730.24,,
1536495403000,,,6562.58,,
1536568351000,,,2138.21,,
1536639507000,,,9988.12,,
1536711510000,,,8108.80,,
1536783125000,,,10693.48,,
1536854753000,,,2844.49,,
1536925887000,,,10548.58,,
1536997175000,,,5590.29,,
1537069009000,,,5152.49,,
1537139381000,,,219.08,,
1537210708000,,,473.96,,
1537282705000,,,,,
1537353835000,,,1873.95,,
1537424834000,,,199.25,,
1537497361000,,,298.47,,
1537568218000,,,2359.51,,
1537639728000,,,,,
1537710354000,,,315.48,,
1537781366000,,,8478.67,,
1537852317000,,,4064.81,,
1537922897000,,,2535.79,,
1537993834000,,,,,
1538065170000,,,960.41,,
1538135659000,,,672.99,,
1538207020000,,,2149.84,,
1538277094000,,,2136.38,,
1538348235000,,,254.19,,
1538418856000,,,3141.21,,
1538489640000,,,,,
1538560179000,,,,,
1538631256000,,,1032.24,,
1538700722000,,,0.15,,
1538771727000,,,208.08,,
1538841320000,,,2829.98,,
1538911026000,,,761.14,,
1538980216000,,,592.57,,
1539049430000,,,2780.77,,
1539120813000,,,5618.85,,
1539190730000,,,11315.48,,
1539260859000,,,7721.24,,
1539330275000,,,16889.28,,
1539400992000,,,8640.68,,
1539470509000,,,376.09,,
1539541019000,,,4228.51,,
1539611779000,,,30924.60,,
1539682267000,,,18239.15,,
1539752649000,,,31038.69,,
1539822973000,,,1124.25,,
1539893301000,,,2194.28,,
1539964665000,,,3514.61,,
1540035461000,,,,,
1540105380000,,,,,
1540175783000,,,17.29,,
1540247628000,,,322.70,,
1540317582000,,,12176.47,,
1540388140000,,,,,
1540458691000,,,5406.75,,
1540528530000,,,508.51,,
1540599331000,,,1396.25,,
1540669979000,,,1669.19,,
1540740577000,,,2625.89,,
1540812281000,,,464.17,,
1540882459000,,,17624.91,,
1540953530000,,,22751.16,,
1541023512000,,,4660.35,,
1541094934000,,,86.68,,
1541166376000,,,1070.93,,
1541237446000,,,16326.55,,
1541307140000,,,2566.00,,
1541378245000,,,15767.09,,
1541449770000,,,4710.76,,
1541521033000,,,550.87,,
1541592294000,,,1352.30,,
1541662439000,,,4384.06,,
1541733218000,,,433.42,,
1541804044000,,,2162.87,,
1541874538000,,,1891.34,,
1541945087000,,,52200.77,,
1542016384000,,,21092.12,,
1542085646000,,,16206.09,,
1542156560000,,,18857.54,,
1542228035000,,,18310.87,,
1542298725000,,,5213.07,,
1542368660000,,,1316.09,,
1542440006000,,,,,
1542510859000,,,434.84,,
1542580287000,,,9060.91,,
1542652239000,,,6869.04,,
1542723747000,,,23921.05,,
1542795271000,,,6393.81,,
1542866477000,,,32789.68,,
1542936877000,,,38991.13,,
1543007269000,,,6092.09,,
1543077801000,,,,,
1543148698000,,,10403.20,,
1543218413000,,,286.31,,
1543289948000,,,382.19,,
1543362296000,,,648.07,,
1543434172000,,,4170.07,,
1543504581000,,,11402.55,,
1543575859000,,,7274.55,,
1543646812000,,,650.84,,
1543718667000,,,331.90,,
1543789997000,,,,,
1543862329000,,,1656.84,,
1543932926000,,,26889.09,,
1544005220000,,,13327.92,,
1544076879000,,,11047.75,,
1544148198000,,,859.41,,
