timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529312622000,,,,,,
1529385239000,,,,,665.58,
1529459855000,,,,,90.71,
1529534480000,,,,,695.46,
1529607759000,,,,,121.48,
1529682434000,,,,,2174.70,
1529756296000,,,,,499.18,
1529828276000,,,,,30.32,
1529902416000,,,,,1024.80,
1529979078000,,,,,688.25,
1530054421000,,,,,14.09,
1530128282000,,,,,140.55,
1530203197000,,,,,153.22,
1530278431000,,,,,324.08,
1530351013000,,,,,,
1530426268000,,,,,457.73,
1530499615000,,,,,505.68,
1530572217000,,,,,158.12,
1530646642000,,,,,182.63,
1530720604000,,,,,,
1530794550000,,,,,,
1530868977000,,,,,305.19,
1530942968000,,,,,273.41,
1531017892000,,,,,,
1531093254000,,,,,195.98,
1531167486000,,,,,165.22,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,53.27,
1531459813000,,,,,,
1531532086000,,,,,106.31,
1531603912000,,,,,,
1531675397000,,,,,41.40,
1531748307000,,,,,282.03,
1531822417000,,,,,6.26,
1531896343000,,,,,1162.77,
1531971151000,,,,,1062.37,
1532045631000,,,,,0.24,
1532118564000,,,,,1430.83,
1532191928000,,,,,,
1532264894000,,,,,,
1532336677000,,,,,407.87,
1532411124000,,,,,954.00,
1532485297000,,,,,810.77,
1532558514000,,,,,1203.66,
1532632522000,,,,,,
1532706031000,,,,,125.23,
1532778335000,,,,,28.11,
1532849626000,,,,,330.68,
1532921962000,,,,,,
1532994160000,,,,,42.69,
1533067467000,,,,,105.76,
1533141286000,,,,,,
1533214941000,,,,,2363.03,
1533288091000,,,,,303.26,
1533360489000,,,,,2180.80,
1533432998000,,,,,92.31,
1533505953000,,,,,71.07,
1533578575000,,,,,,
1533651925000,,,,,333.08,
1533724916000,,,,,125.24,
1533797508000,,,,,1029.80,
1533870537000,,,,,,
1533943288000,,,,,1096.10,
1534016212000,,,,,600.51,
1534090711000,,,,,3501.80,
1534163628000,,,,,19418.17,
1534236905000,,,,,4213.32,
1534309134000,,,,,,
1534381971000,,,,,,
1534454722000,,,,,296.77,
1534527690000,,,,,1006.78,
1534602524000,,,,,585.50,
1534675224000,,,,,800.23,
1534747701000,,,,,2401.80,
1534820720000,,,,,2339.70,
1534892931000,,,,,1731.39,
1534965694000,,,,,854.32,
1535039951000,,,,,1346.07,
1535112747000,,,,,287.05,
1535185292000,,,,,90.55,
1535257864000,,,,,591.00,
1535331135000,,,,,447.72,
1535403660000,,,,,1527.07,
1535477339000,,,,,2038.11,
1535550907000,,,,,,
1535623054000,,,,,1236.43,
1535695540000,,,,,,
1535768227000,,,,,1107.69,
1535842094000,,,,,351.38,
1535914482000,,,,,146.88,
1535987210000,,,,,,
1536059758000,,,,,529.77,
1536132247000,,,,,167.99,
1536204432000,,,,,,
1536276091000,,,,,,
1536348963000,,,,,,
1536421628000,,,,,943.77,
1536495403000,,,,,206.51,
1536568351000,,,,,584.31,
1536639507000,,,,,336.16,
1536711510000,,,,,,
1536783125000,,,,,2284.79,
1536854753000,,,,,286.83,
1536925887000,,,,,275.57,
1536997175000,,,,,193.24,
1537069009000,,,,,62.13,
1537139381000,,,,,195.62,
1537210708000,,,,,,
1537282705000,,,,,2667.09,
1537353835000,,,,,154.44,
1537424834000,,,,,878.02,
1537497361000,,,,,354.91,
1537568218000,,,,,152.36,
1537639728000,,,,,46.00,
1537710354000,,,,,238.36,
1537781366000,,,,,337.26,
1537852317000,,,,,321.00,
1537922897000,,,,,155.51,
1537993834000,,,,,339.05,
1538065170000,,,,,137.08,
1538135659000,,,,,122.94,
1538207020000,,,,,41.88,
1538277094000,,,,,153.60,
1538348235000,,,,,757.53,
1538418856000,,,,,183.85,
1538489640000,,,,,163.08,
1538560179000,,,,,,
1538631256000,,,,,713.52,
1538700722000,,,,,360.88,
1538771727000,,,,,1180.29,
1538841320000,,,,,94.77,
1538911026000,,,,,36.38,
1538980216000,,,,,,
1539049430000,,,,,345.39,
1539120813000,,,,,45.26,
1539190730000,,,,,141.52,
1539260859000,,,,,,
1539330275000,,,,,394.17,
1539400992000,,,,,2246.52,
1539470509000,,,,,1402.53,
1539541019000,,,,,516.63,
1539611779000,,,,,549.18,
1539682267000,,,,,214.10,
1539752649000,,,,,2765.13,
1539822973000,,,,,463.36,
1539893301000,,,,,,
1539964665000,,,,,264.51,
1540035461000,,,,,2269.14,
1540105380000,,,,,207.99,
1540175783000,,,,,,
1540247628000,,,,,91.76,
1540317582000,,,,,,
1540388140000,,,,,255.76,
1540458691000,,,,,81.24,
