timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,,
1529459855000,,343.14,,,
1529534480000,,1214.09,,,
1529607759000,,1560.83,,,
1529682434000,,395.78,,,
1529756296000,,18.72,,,
1529828276000,,1127.59,,,
1529902416000,,262.72,,,
1529979078000,,2.27,,,
1530054421000,,1247.31,,,
1530128282000,,839.20,,,
1530203197000,,1009.24,,,
1530278431000,,236.63,,,
1530351013000,,500.13,,,
1530426268000,,261.12,,,
1530499615000,,154.91,,,
1530572217000,,8.50,,,
1530646642000,,,,,
1530720604000,,,,,
1530794550000,,83.67,,,
1530868977000,,,,,
1530942968000,,,,,
1531017892000,,81.14,,,
1531093254000,,,,,
1531167486000,,,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,2.03,,,
1531459813000,,103.54,,,
1531532086000,,176.80,,,
1531603912000,,153.64,,,
1531675397000,,37.13,,,
1531748307000,,1123.15,,,
1531822417000,,394.77,,,
1531896343000,,85.18,,,
1531971151000,,230.98,,,
1532045631000,,39.70,,,
1532118564000,,84.92,,,
1532191928000,,125.82,,,
1532264894000,,4.87,,,
1532336677000,,122.41,,,
1532411124000,,51.73,,,
1532485297000,,225.47,,,
1532558514000,,7.60,,,
1532632522000,,169.63,,,
1532706031000,,433.56,,,
1532778335000,,75.00,,,
1532849626000,,,,,
1532921962000,,1972.61,,,
1532994160000,,309.52,,,
1533067467000,,34.52,,,
1533141286000,,,,,
1533214941000,,3.21,,,
1533288091000,,108.76,,,
1533360489000,,1501.52,,,
1533432998000,,312.74,,,
1533505953000,,133.51,,,
1533578575000,,,,,
1533651925000,,12.87,,,
1533724916000,,,,,
1533797508000,,,,,
1533870537000,,,,,
1533943288000,,1245.43,,,
1534016212000,,240.66,,,
1534090711000,,48.15,,,
1534163628000,,4.89,,,
1534236905000,,214.07,,,
1534309134000,,523.08,,,
1534381971000,,80.08,,,
1534454722000,,,,,
1534527690000,,,,,
1534602524000,,102.05,,,
1534675224000,,,,,
1534747701000,,28.93,,,
1534820720000,,,,,
1534892931000,,297.71,,,
1534965694000,,333.40,,,
1535039951000,,,,,
1535112747000,,237.61,,,
1535185292000,,43.00,,,
1535257864000,,240.92,,,
1535331135000,,106.02,,,
1535403660000,,605.90,,,
1535477339000,,59.77,,,
1535550907000,,6.50,,,
1535623054000,,311.57,,,
1535695540000,,317.68,,,
1535768227000,,124.03,,,
1535842094000,,,,,
1535914482000,,2.38,,,
1535987210000,,,,,
1536059758000,,186.24,,,
1536132247000,,261.23,,,
1536204432000,,212.03,,,
1536276091000,,,,,
1536348963000,,214.40,,,
1536421628000,,,,,
1536495403000,,,,,
1536568351000,,10.24,,,
1536639507000,,1.76,,,
1536711510000,,,,,
1536783125000,,8.95,,,
1536854753000,,,,,
1536925887000,,109.53,,,
1536997175000,,431.07,,,
1537069009000,,14.14,,,
1537139381000,,124.15,,,
1537210708000,,108.25,,,
1537282705000,,321.68,,,
1537353835000,,114.86,,,
1537424834000,,1360.46,,,
1537497361000,,1651.92,,,
1537568218000,,1383.27,,,
1537639728000,,,,,
1537710354000,,468.26,,,
1537781366000,,149.61,,,
1537852317000,,406.89,,,
1537922897000,,1099.75,,,
1537993834000,,,,,
1538065170000,,150.21,,,
1538135659000,,1241.31,,,
1538207020000,,1310.11,,,
1538277094000,,220.81,,,
1538348235000,,2101.95,,,
1538418856000,,342.93,,,
1538489640000,,78.17,,,
1538560179000,,575.90,,,
1538631256000,,6027.31,,,
1538700722000,,383.00,,,
1538771727000,,449.06,,,
1538841320000,,61.58,,,
1538911026000,,,,,
1538980216000,,118.64,,,
1539049430000,,338.12,,,
1539120813000,,356.00,,,
1539190730000,,111.73,,,
