timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,,
1529459855000,,,,,1308.90,
1529534480000,,,,,1251.36,
1529607759000,,,,,1273.48,
1529682434000,,,,,2672.00,
1529756296000,,,,,1042.24,
1529828276000,,,,,1835.51,
1529902416000,,,,,3178.07,
1529979078000,,,,,3004.11,
1530054421000,,,,,2644.52,
1530128282000,,,,,1026.52,
1530203197000,,,,,,
1530278431000,,,,,6035.03,
1530351013000,,,,,37326.07,
1530426268000,,,,,22607.78,
1530499615000,,,,,7678.93,
1530572217000,,,,,1992.67,
1530646642000,,,,,1740.23,
1530720604000,,,,,755.96,
1530794550000,,,,,90.26,
1530868977000,,,,,2125.51,
1530942968000,,,,,2195.28,
1531017892000,,,,,998.68,
1531093254000,,,,,548.10,
1531167486000,,,,,1433.63,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,2938.32,
1531459813000,,,,,837.67,
1531532086000,,,,,,
1531603912000,,,,,3628.83,
1531675397000,,,,,,
1531748307000,,,,,7613.48,
1531822417000,,,,,18824.39,
1531896343000,,,,,12778.46,
1531971151000,,,,,17423.70,
1532045631000,,,,,13056.47,
1532118564000,,,,,4682.82,
1532191928000,,,,,2112.49,
1532264894000,,,,,2353.50,
1532336677000,,,,,2438.45,
1532411124000,,,,,7005.08,
1532485297000,,,,,22997.06,
1532558514000,,,,,3517.07,
1532632522000,,,,,5987.16,
1532706031000,,,,,15294.15,
1532778335000,,,,,834.19,
1532849626000,,,,,201.42,
1532921962000,,,,,6419.80,
1532994160000,,,,,1615.49,
1533067467000,,,,,4413.94,
1533141286000,,,,,12561.06,
1533214941000,,,,,2834.82,
1533288091000,,,,,3447.24,
1533360489000,,,,,11070.87,
1533432998000,,,,,2908.20,
1533505953000,,,,,1053.25,
1533578575000,,,,,1298.85,
1533651925000,,,,,1842.39,
1533724916000,,,,,1308.20,
1533797508000,,,,,,
1533870537000,,,,,2458.76,
1533943288000,,,,,2086.74,
1534016212000,,,,,810.94,
1534090711000,,,,,1851.71,
1534163628000,,,,,2377.45,
1534236905000,,,,,10224.55,
1534309134000,,,,,5605.77,
1534381971000,,,,,9326.80,
1534454722000,,,,,3274.70,
1534527690000,,,,,1631.22,
1534602524000,,,,,7985.03,
1534675224000,,,,,2157.46,
1534747701000,,,,,1859.48,
1534820720000,,,,,8333.11,
1534892931000,,,,,4614.32,
1534965694000,,,,,5746.65,
1535039951000,,,,,2686.29,
1535112747000,,,,,523.36,
1535185292000,,,,,174.26,
1535257864000,,,,,650.11,
1535331135000,,,,,346.75,
1535403660000,,,,,947.02,
1535477339000,,,,,1639.51,
1535550907000,,,,,3470.04,
1535623054000,,,,,4449.50,
1535695540000,,,,,4821.78,
1535768227000,,,,,3503.27,
1535842094000,,,,,810.21,
1535914482000,,,,,3460.31,
1535987210000,,,,,807.81,
1536059758000,,,,,1632.53,
1536132247000,,,,,2012.93,
1536204432000,,,,,4546.73,
1536276091000,,,,,6423.34,
1536348963000,,,,,1706.05,
1536421628000,,,,,6337.42,
1536495403000,,,,,9784.36,
1536568351000,,,,,3516.05,
1536639507000,,,,,2098.25,
1536711510000,,,,,5212.36,
1536783125000,,,,,4281.38,
1536854753000,,,,,3386.48,
1536925887000,,,,,5406.81,
1536997175000,,,,,1509.36,
1537069009000,,,,,1906.63,
1537139381000,,,,,23115.14,
1537210708000,,,,,8344.58,
1537282705000,,,,,3644.04,
1537353835000,,,,,5292.30,
1537424834000,,,,,1801.74,
1537497361000,,,,,3239.37,
1537568218000,,,,,44848.24,
1537639728000,,,,,22662.82,
1537710354000,,,,,3082.91,
1537781366000,,,,,994.78,
1537852317000,,,,,2689.02,
1537922897000,,,,,2528.14,
1537993834000,,,,,2102.48,
1538065170000,,,,,4148.69,
1538135659000,,,,,840.39,
1538207020000,,,,,,
1538277094000,,,,,815.89,
1538348235000,,,,,382.70,
1538418856000,,,,,,
1538489640000,,,,,862.70,
1538560179000,,,,,1291.32,
1538631256000,,,,,77.97,
1538700722000,,,,,198.73,
1538771727000,,,,,304.70,
1538841320000,,,,,,
1538911026000,,,,,458.38,
1538980216000,,,,,1980.29,
1539049430000,,,,,2989.14,
1539120813000,,,,,5215.62,
1539190730000,,,,,3179.25,
1539260859000,,,,,18033.22,
1539330275000,,,,,14236.30,
1539400992000,,,,,1485.25,
1539470509000,,,,,1715.76,
1539541019000,,,,,833.00,
1539611779000,,,,,4210.62,
1539682267000,,,,,3978.45,
1539752649000,,,,,115.05,
1539822973000,,,,,2983.81,
1539893301000,,,,,4814.17,
1539964665000,,,,,4703.02,
1540035461000,,,,,5255.22,
1540105380000,,,,,816.90,
1540175783000,,,,,1097.23,
1540247628000,,,,,651.81,
1540317582000,,,,,1403.96,
1540388140000,,,,,2200.75,
1540458691000,,,,,612.30,
1540528530000,,,,,4342.96,
1540599331000,,,,,250.38,
1540669979000,,,,,794.78,
1540740577000,,,,,401.74,
1540812281000,,,,,400.02,
1540882459000,,,,,2266.68,
1540953530000,,,,,770.34,
1541023512000,,,,,30591.46,
1541094934000,,,,,7541.02,
1541166376000,,,,,907.27,
1541237446000,,,,,2965.61,
1541307140000,,,,,194.87,
1541378245000,,,,,3014.91,
1541449770000,,,,,1961.02,
1541521033000,,,,,1677.30,
1541592294000,,,,,310.77,
1541662439000,,,,,381.17,
1541733218000,,,,,1481.96,
1541804044000,,,,,701.69,
1541874538000,,,,,353.20,
1541945087000,,,,,315.37,
1542016384000,,,,,6440.39,
1542085646000,,,,,79.56,
1542156560000,,,,,8534.51,
1542228035000,,,,,4950.55,
1542298725000,,,,,4741.96,
1542368660000,,,,,2226.94,
1542440006000,,,,,956.38,
1542510859000,,,,,546.53,
1542580287000,,,,,3021.90,
1542652239000,,,,,3050.95,
1542723747000,,,,,9041.86,
1542795271000,,,,,4196.76,
1542866477000,,,,,2007.24,
1542936877000,,,,,9030.38,
1543007269000,,,,,3384.18,
1543077801000,,,,,850.56,
1543148698000,,,,,7076.87,
1543218413000,,,,,2758.17,
1543289948000,,,,,2659.21,
1543362296000,,,,,1155.74,
1543434172000,,,,,5862.90,
1543504581000,,,,,9226.96,
1543575859000,,,,,10701.35,
1543646812000,,,,,2418.61,
1543718667000,,,,,2046.52,
1543789997000,,,,,1579.64,
1543862329000,,,,,6006.64,
1543932926000,,,,,5983.68,
1544005220000,,,,,3777.31,
1544076879000,,,,,2270.44,
1544148198000,,,,,5449.98,
1544220287000,,,,,4157.47,
1544291964000,,,,,1450.50,
1544363331000,,,,,6539.37,
1544433268000,,,,,2072.43,
1544503865000,,,,,164.98,
1544576147000,,,,,505.97,
1544647316000,,,,,3148.99,
1544718309000,,,,,702.75,
1544789693000,,,,,710.07,
1544860802000,,,,,70.34,
1544931651000,,,,,766.91,
1545003100000,,,,,3353.00,
1545076575000,,,,,1191.00,
1545151038000,,,,,2372.84,
1545224266000,,,,,6146.76,
1545298309000,,,,,894.32,
1545371765000,,,,,16425.42,
1545444975000,,,,,6474.09,
1545518580000,,,,,7160.25,
1545592165000,,,,,5508.84,
1545664945000,,,,,6355.62,
1545737520000,,,,,5722.17,
1545810031000,,,,,10762.39,
1545883479000,,,,,15478.75,
1545956158000,,,,,4790.73,
1546029906000,,,,,3800.53,
1546103201000,,,,,1842.48,
1546175667000,,,,,5919.02,
1546247915000,,,,,9449.44,
1546320878000,,,,,2025.48,
1546394518000,,,,,3095.36,
1546466952000,,,,,1989.50,
1546544000000,,,,,1125.59,
1546622719000,,,,,1124.99,
1546699391000,,,,,3058.71,
1546776424000,,,,,2141.13,
1546854270000,,,,,1535.70,
1546931422000,,,,,446.31,
1547008514000,,,,,339.91,
1547086233000,,,,,672.83,
1547163262000,,,,,4335.39,
1547240860000,,,,,1509.37,
1547318473000,,,,,2078.01,
1547396030000,,,,,2734.93,
1547472692000,,,,,5674.79,
1547549533000,,,,,12376.47,
1547626847000,,,,,6775.95,
1547704633000,,,,,49555.78,
1547781728000,,,,,60539.32,
1547859045000,,,,,25882.32,
1547934719000,,,,,42696.78,
1548012002000,,,,,24165.37,
1548095978000,,,,,9633.20,
1548180548000,,,,,6264.10,
1548266597000,,,,,3904.64,
1548351788000,,,,,4883.62,
1548436981000,,,,,6012.75,
1548521909000,,,,,8454.45,
1548607305000,,,,,4065.33,
1548695090000,,3541.01,,,,
1548784331000,,3786.01,,,,
1548872168000,,,,4485.25,,
1548959406000,,,,1941.73,,
1549048111000,,,,3024.85,,
1549136870000,,,,5806.08,,
1549225465000,,,,7475.84,,
1549312025000,,,,2365.98,,
1549400397000,,,,884.37,,
1549488758000,,,,13256.55,,
1549576572000,,,,13039.24,,
1549664587000,,,,12658.62,,
1549752194000,,,,5149.25,,
1549853106000,,,,6831.10,,
1549954624000,,,,5240.56,,
1550057114000,,,,6184.47,,
1550160727000,,,,1998.78,,
1550264379000,,,,3668.95,,
1550367666000,,,,5904.12,,
1550471025000,,,,58709.75,,
1550573262000,,,,10942.71,,
1550675116000,,,,2683.50,,
1550776436000,,,,3899.95,,
1550878296000,,,,4799.10,,
1550978228000,,,,3801.77,,
1551078586000,,,,3752.50,,
1551181750000,,,,3865.25,,
1551281880000,,,,8963.34,,
1551383524000,,,,5927.11,,
1551459490000,,,,10379.30,,
1551527005000,,,,15946.42,,
1551595407000,,,,2034.89,,
1551662535000,,,,1098.67,,
1551730739000,,,,3190.06,,
1551798808000,,,,2746.84,,
1551865512000,,,,2027.78,,
1551932302000,,,,679.56,,
1551999434000,,,,5486.75,,
1552066766000,,,,5968.01,,
1552134613000,,,,24777.54,,
1552201544000,,,,13032.53,,
1552268725000,,,,7473.33,,
1552336045000,,,,14034.67,,
1552403003000,,,,25326.46,,
1552470545000,,,,9961.25,,
1552537130000,,,,4245.22,,
1552605435000,,,,6591.56,,
1552671597000,,,,681.17,,
1552738081000,,,,4583.70,,
1552805598000,,,,1443.03,,
1552872817000,,,,5754.54,,
1552940619000,,,,1681.94,,
1553008742000,,,,1482.45,,
1553075047000,,,,543.26,,
