timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,,
1529459855000,,259.07,,,
1529534480000,,230.02,,,
1529607759000,,2115.58,,,
1529682434000,,734.44,,,
1529756296000,,508.91,,,
1529828276000,,147.66,,,
1529902416000,,65.97,,,
1529979078000,,38.37,,,
1530054421000,,150.67,,,
1530128282000,,3.04,,,
1530203197000,,5.02,,,
1530278431000,,118.86,,,
1530351013000,,,,,
1530426268000,,168.23,,,
1530499615000,,,,,
1530572217000,,,,,
1530646642000,,,,,
1530720604000,,3.57,,,
1530794550000,,405.93,,,
1530868977000,,,,,
1530942968000,,,,,
1531017892000,,,,,
1531093254000,,,,,
1531167486000,,,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,431.12,,,
1531459813000,,2483.60,,,
1531532086000,,,,,
1531603912000,,,,,
1531675397000,,207.50,,,
1531748307000,,556.24,,,
1531822417000,,,,,
1531896343000,,,,,
1531971151000,,,,,
1532045631000,,159.36,,,
1532118564000,,,,,
1532191928000,,298.47,,,
1532264894000,,882.10,,,
1532336677000,,122.18,,,
1532411124000,,98.13,,,
1532485297000,,1312.75,,,
1532558514000,,202.16,,,
1532632522000,,367.32,,,
1532706031000,,,,,
1532778335000,,138.74,,,
1532849626000,,201.26,,,
1532921962000,,62.89,,,
1532994160000,,174.05,,,
1533067467000,,689.43,,,
1533141286000,,556.57,,,
1533214941000,,2280.38,,,
1533288091000,,600.71,,,
1533360489000,,18.06,,,
1533432998000,,354.10,,,
1533505953000,,,,,
1533578575000,,293.73,,,
1533651925000,,144.01,,,
1533724916000,,,,,
1533797508000,,,,,
1533870537000,,,,,
1533943288000,,,,,
1534016212000,,,,,
1534090711000,,,,,
1534163628000,,206.69,,,
1534236905000,,443.98,,,
1534309134000,,171.89,,,
1534381971000,,375.45,,,
1534454722000,,68.18,,,
1534527690000,,97.85,,,
1534602524000,,,,,
1534675224000,,55.64,,,
1534747701000,,,,,
1534820720000,,,,,
1534892931000,,4.27,,,
1534965694000,,,,,
1535039951000,,,,,
1535112747000,,110.54,,,
1535185292000,,315.83,,,
1535257864000,,408.17,,,
1535331135000,,59.02,,,
1535403660000,,547.08,,,
1535477339000,,600.40,,,
1535550907000,,878.47,,,
1535623054000,,117.57,,,
1535695540000,,110.55,,,
1535768227000,,160.22,,,
1535842094000,,1.38,,,
1535914482000,,125.60,,,
1535987210000,,,,,
1536059758000,,89.31,,,
1536132247000,,243.25,,,
1536204432000,,,,,
1536276091000,,,,,
1536348963000,,250.87,,,
1536421628000,,65.90,,,
1536495403000,,,,,
1536568351000,,,,,
1536639507000,,113.38,,,
1536711510000,,8.37,,,
1536783125000,,272.27,,,
1536854753000,,,,,
1536925887000,,,,,
1536997175000,,81.17,,,
1537069009000,,,,,
1537139381000,,,,,
1537210708000,,,,,
1537282705000,,,,,
1537353835000,,,,,
1537424834000,,,,,
1537497361000,,,,,
1537568218000,,1.74,,,
1537639728000,,1.31,,,
1537710354000,,,,,
1537781366000,,18.84,,,
1537852317000,,,,,
1537922897000,,1.56,,,
1537993834000,,1.00,,,
1538065170000,,,,,
1538135659000,,,,,
1538207020000,,1.38,,,
1538277094000,,,,,
1538348235000,,,,,
1538418856000,,182.52,,,
1538489640000,,,,,
1538560179000,,156.39,,,
1538631256000,,,,,
1538700722000,,,,,
1538771727000,,75.98,,,
1538841320000,,,,,
1538911026000,,3.84,,,
1538980216000,,,,,
1539049430000,,46.80,,,
1539120813000,,76.08,,,
1539190730000,,3.05,,,
1539260859000,,,,,
1539330275000,,,,,
1539400992000,,,,,
1539470509000,,,,,
1539541019000,,77.16,,,
1539611779000,,220.21,,,
1539682267000,,,,,
1539752649000,,80.53,,,
1539822973000,,,,,
1539893301000,,110.80,,,
1539964665000,,,,,
1540035461000,,183.29,,,
1540105380000,,35.04,,,
1540175783000,,79.27,,,
1540247628000,,,,,
1540317582000,,1185.71,,,
1540388140000,,,,,
1540458691000,,126.08,,,
1540528530000,,68.40,,,
1540599331000,,80.24,,,
1540669979000,,,,,
1540740577000,,,,,
1540812281000,,,,,
1540882459000,,,,,
1540953530000,,,,,
1541023512000,,,,,
1541094934000,,5.51,,,
1541166376000,,70.21,,,
1541237446000,,28.59,,,
1541307140000,,80.32,,,
1541378245000,,2.51,,,
1541449770000,,,,,
1541521033000,,,,,
1541592294000,,,,,
1541662439000,,,,,
1541733218000,,71.12,,,
1541804044000,,764.24,,,
1541874538000,,,,,
1541945087000,,166.92,,,
1542016384000,,81.97,,,
1542085646000,,,,,
1542156560000,,870.03,,,
1542228035000,,168.08,,,
1542298725000,,,,,
1542368660000,,50.11,,,
1542440006000,,166.46,,,
1542510859000,,,,,
1542580287000,,,,,
1542652239000,,0.00,,,
1542723747000,,0.00,,,
1542795271000,,,,,
1542866477000,,0.00,,,
1542936877000,,,,,
1543007269000,,128.66,,,
1543077801000,,51.88,,,
1543148698000,,74.18,,,
1543218413000,,,,,
1543289948000,,,,,
1543362296000,,,,,
1543434172000,,,,,
1543504581000,,140.98,,,
1543575859000,,,,,
1543646812000,,,,,
1543718667000,,,,,
1543789997000,,92.75,,,
1543862329000,,1095.91,,,
1543932926000,,8.68,,,
1544005220000,,,,,
1544076879000,,757.56,,,
1544148198000,,83.66,,,
1544220287000,,,,,
1544291964000,,,,,
1544363331000,,584.07,,,
1544433268000,,,,,
1544503865000,,,,,
1544576147000,,,,,
1544647316000,,159.36,,,
1544718309000,,0.02,,,
1544789693000,,,,,
1544860802000,,67.61,,,
1544931651000,,,,,
1545003100000,,,,,
1545076575000,,,,,
1545151038000,,846.14,,,
1545224266000,,0.02,,,
1545298309000,,269.97,,,
1545371765000,,124.88,,,
1545444975000,,1429.12,,,
1545518580000,,130.29,,,
1545592165000,,576.42,,,
1545664945000,,68.94,,,
1545737520000,,,,,
1545810031000,,,,,
1545883479000,,32.96,,,
1545956158000,,,,,
1546029906000,,,,,
1546103201000,,,,,
1546175667000,,,,,
1546247915000,,0.04,,,
1546320878000,,205.01,,,
1546394518000,,,,,
1546466952000,,,,,
1546544000000,,0.02,,,
1546622719000,,,,,
1546699391000,,48.98,,,
1546776424000,,,,,
1546854270000,,,,,
1546931422000,,0.02,,,
1547008514000,,111.65,,,
1547086233000,,95.45,,,
1547163262000,,1.45,,,
1547240860000,,,,,
1547318473000,,17.45,,,
1547396030000,,,,,
1547472692000,,,,,
1547549533000,,,,,
1547626847000,,,,,
1547704633000,,21.87,,,
1547781728000,,364.14,,,
1547859045000,,99.92,,,
1547934719000,,333.03,,,
1548012002000,,,,,
1548095978000,,,,,
1548180548000,,1.23,,,
1548266597000,,0.00,,,
1548351788000,,,,,
1548436981000,,264.77,,,
1548521909000,,43.33,,,
1548607305000,,46.19,,,
1548695090000,,,,,
1548784331000,,,,0.02,
1548872168000,,,,228.85,
1548959406000,,,,0.02,
1549048111000,,,,1457.64,
1549136870000,,,,371.79,
1549225465000,,,,228.40,
1549312025000,,,,3.87,
