timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,,
1529459855000,,788.15,,,
1529534480000,,3133.15,,,
1529607759000,,33.86,,,
1529682434000,,786.81,,,
1529756296000,,2448.11,,,
1529828276000,,2266.93,,,
1529902416000,,7329.35,,,
1529979078000,,801.72,,,
1530054421000,,14869.08,,,
1530128282000,,215.37,,,
1530203197000,,,,,
1530278431000,,1310.29,,,
1530351013000,,191.39,,,
1530426268000,,,,,
1530499615000,,,,,
1530572217000,,5755.90,,,
1530646642000,,857.87,,,
1530720604000,,8643.92,,,
1530794550000,,1080.48,,,
1530868977000,,1917.11,,,
1530942968000,,777.71,,,
1531017892000,,,,,
1531093254000,,32.39,,,
1531167486000,,368.83,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,314.03,,,
1531459813000,,333.62,,,
1531532086000,,697.39,,,
1531603912000,,403.30,,,
1531675397000,,,,,
1531748307000,,611.19,,,
1531822417000,,1490.97,,,
1531896343000,,2008.97,,,
1531971151000,,2263.16,,,
1532045631000,,0.89,,,
1532118564000,,,,,
1532191928000,,17.79,,,
1532264894000,,1763.22,,,
1532336677000,,415.37,,,
1532411124000,,1108.74,,,
1532485297000,,2820.81,,,
1532558514000,,549.65,,,
1532632522000,,1871.88,,,
1532706031000,,287.33,,,
1532778335000,,33.46,,,
1532849626000,,16.55,,,
1532921962000,,200.75,,,
1532994160000,,,,,
1533067467000,,1707.85,,,
1533141286000,,5384.91,,,
1533214941000,,1745.04,,,
1533288091000,,2525.82,,,
1533360489000,,1963.31,,,
1533432998000,,202.29,,,
1533505953000,,2162.08,,,
1533578575000,,217.37,,,
1533651925000,,641.53,,,
1533724916000,,,,,
1533797508000,,962.58,,,
1533870537000,,,,,
1533943288000,,1719.91,,,
1534016212000,,3519.14,,,
1534090711000,,860.89,,,
1534163628000,,447.20,,,
1534236905000,,2861.44,,,
1534309134000,,2327.87,,,
1534381971000,,1315.02,,,
1534454722000,,247.63,,,
1534527690000,,706.85,,,
1534602524000,,958.73,,,
1534675224000,,9481.55,,,
1534747701000,,9755.55,,,
1534820720000,,3586.03,,,
1534892931000,,12470.52,,,
1534965694000,,4404.14,,,
1535039951000,,7010.67,,,
1535112747000,,510.16,,,
1535185292000,,,,,
1535257864000,,,,,
1535331135000,,690.60,,,
1535403660000,,1561.07,,,
1535477339000,,4128.47,,,
1535550907000,,3645.62,,,
1535623054000,,3015.89,,,
1535695540000,,1585.22,,,
1535768227000,,1679.52,,,
1535842094000,,1829.74,,,
1535914482000,,1729.13,,,
1535987210000,,262.23,,,
1536059758000,,0.36,,,
1536132247000,,1364.71,,,
1536204432000,,976.11,,,
1536276091000,,,,,
1536348963000,,1226.72,,,
1536421628000,,,,,
1536495403000,,2072.41,,,
1536568351000,,,,,
1536639507000,,477.96,,,
1536711510000,,1704.34,,,
1536783125000,,1938.57,,,
1536854753000,,643.28,,,
1536925887000,,2560.92,,,
1536997175000,,550.18,,,
1537069009000,,580.13,,,
1537139381000,,53.21,,,
1537210708000,,138.39,,,
1537282705000,,440.99,,,
1537353835000,,635.16,,,
1537424834000,,32.82,,,
1537497361000,,1010.56,,,
1537568218000,,2496.39,,,
1537639728000,,328.64,,,
1537710354000,,270.56,,,
1537781366000,,93.09,,,
1537852317000,,31.23,,,
1537922897000,,,,,
1537993834000,,1596.72,,,
1538065170000,,78.84,,,
1538135659000,,484.99,,,
1538207020000,,1872.19,,,
1538277094000,,3739.49,,,
1538348235000,,2360.13,,,
1538418856000,,1282.56,,,
1538489640000,,126.71,,,
1538560179000,,311.64,,,
1538631256000,,,,,
1538700722000,,1121.58,,,
1538771727000,,0.80,,,
1538841320000,,237.30,,,
1538911026000,,,,,
1538980216000,,8285.17,,,
1539049430000,,3830.67,,,
1539120813000,,,,,
1539190730000,,524.46,,,
1539260859000,,1515.73,,,
1539330275000,,438.19,,,
1539400992000,,845.46,,,
1539470509000,,302.45,,,
1539541019000,,100.52,,,
1539611779000,,2608.64,,,
1539682267000,,3233.07,,,
1539752649000,,13448.89,,,
1539822973000,,8149.45,,,
1539893301000,,6272.48,,,
1539964665000,,4068.17,,,
1540035461000,,1380.83,,,
1540105380000,,1567.29,,,
1540175783000,,439.62,,,
1540247628000,,637.89,,,
1540317582000,,,,,
1540388140000,,,,,
1540458691000,,1339.56,,,
1540528530000,,551.85,,,
1540599331000,,339.76,,,
1540669979000,,,,,
1540740577000,,,,,
1540812281000,,2426.89,,,
1540882459000,,1515.74,,,
1540953530000,,659.80,,,
1541023512000,,165.19,,,
1541094934000,,256.81,,,
1541166376000,,1241.87,,,
1541237446000,,303.28,,,
1541307140000,,373.89,,,
1541378245000,,228.90,,,
1541449770000,,1912.43,,,
1541521033000,,2364.76,,,
1541592294000,,47.33,,,
1541662439000,,438.86,,,
1541733218000,,291.64,,,
1541804044000,,2055.30,,,
1541874538000,,,,,
1541945087000,,,,,
1542016384000,,239.24,,,
1542085646000,,1192.40,,,
1542156560000,,3027.71,,,
1542228035000,,250.96,,,
1542298725000,,123.26,,,
1542368660000,,1933.68,,,
1542440006000,,684.01,,,
1542510859000,,184.69,,,
1542580287000,,312.07,,,
1542652239000,,5710.29,,,
1542723747000,,1678.41,,,
1542795271000,,1182.06,,,
1542866477000,,1187.27,,,
1542936877000,,315.46,,,
1543007269000,,1583.98,,,
1543077801000,,2021.31,,,
1543148698000,,429.63,,,
1543218413000,,137.19,,,
1543289948000,,1057.04,,,
1543362296000,,868.26,,,
1543434172000,,2030.45,,,
1543504581000,,338.19,,,
1543575859000,,1085.60,,,
1543646812000,,1754.36,,,
1543718667000,,253.07,,,
1543789997000,,760.77,,,
1543862329000,,757.20,,,
1543932926000,,4494.86,,,
1544005220000,,754.04,,,
1544076879000,,2061.12,,,
1544148198000,,1258.70,,,
1544220287000,,2913.03,,,
1544291964000,,857.76,,,
1544363331000,,428.05,,,
1544433268000,,543.06,,,
1544503865000,,1288.04,,,
1544576147000,,1397.53,,,
1544647316000,,176.08,,,
1544718309000,,670.06,,,
1544789693000,,709.23,,,
1544860802000,,,,,
1544931651000,,1777.69,,,
1545003100000,,459.34,,,
1545076575000,,1159.90,,,
1545151038000,,186.41,,,
1545224266000,,1627.26,,,
1545298309000,,189.88,,,
1545371765000,,1000.82,,,
1545444975000,,393.69,,,
1545518580000,,6.79,,,
1545592165000,,822.74,,,
1545664945000,,3814.87,,,
1545737520000,,1031.12,,,
1545810031000,,949.40,,,
1545883479000,,1146.53,,,
1545956158000,,1613.42,,,
1546029906000,,1032.01,,,
1546103201000,,1195.28,,,
1546175667000,,540.27,,,
1546247915000,,,,,
1546320878000,,543.71,,,
1546394518000,,97.03,,,
1546466952000,,1120.24,,,
1546544000000,,1133.29,,,
1546622719000,,564.59,,,
1546699391000,,587.45,,,
1546776424000,,2366.63,,,
1546854270000,,5430.69,,,
1546931422000,,15731.34,,,
1547008514000,,2544.15,,,
1547086233000,,3853.61,,,
1547163262000,,4288.86,,,
1547240860000,,1981.35,,,
1547318473000,,2777.85,,,
1547396030000,,6511.15,,,
1547472692000,,3393.97,,,
1547549533000,,1762.07,,,
1547626847000,,221.03,,,
1547704633000,,4919.43,,,
1547781728000,,1679.68,,,
1547859045000,,2256.11,,,
1547934719000,,4603.90,,,
1548012002000,,4655.00,,,
1548095978000,,966.58,,,
1548180548000,,349.30,,,
1548266597000,,1145.79,,,
1548351788000,,,,,
1548436981000,,2234.59,,,
1548521909000,,2322.75,,,
1548607305000,,2389.34,,,
1548695090000,,,,,
1548784331000,,,,,154.86
1548872168000,,,,1222.17,
1548959406000,,,,5238.38,
1549048111000,,,,9895.43,
1549136870000,,,,1124.81,
1549225465000,,,,901.08,
1549312025000,,,,1357.43,
1549400397000,,,,,
1549488758000,,,,1556.83,
1549576572000,,,,,
1549664587000,,,,1706.66,
1549752194000,,,,2077.30,
1549853106000,,,,463.58,
1549954624000,,,,,
1550057114000,,,,1894.36,
1550160727000,,,,839.11,
1550264379000,,,,1169.60,
1550367666000,,,,241.77,
1550471025000,,,,1538.59,
1550573262000,,,,1097.27,
1550675116000,,,,871.22,
1550776436000,,,,1974.33,
1550878296000,,,,274.11,
1550978228000,,,,2669.06,
1551078586000,,,,1852.69,
1551181750000,,,,263.68,
1551281880000,,,,0.01,
1551383524000,,,,,
1551459490000,,,,,
1551527005000,,,,778.62,
1551595407000,,,,30.71,
1551662535000,,,,,
1551730739000,,,,512.77,
1551798808000,,,,,
1551865512000,,,,,
1551932302000,,,,32.87,
1551999434000,,,,1255.74,
1552066766000,,,,1493.91,
1552134613000,,,,2287.90,
1552201544000,,,,1376.66,
1552268725000,,,,2587.73,
1552336045000,,,,875.49,
1552403003000,,,,307.64,
1552470545000,,,,546.93,
1552537130000,,,,664.75,
1552605435000,,,,39.78,
1552671597000,,,,209.04,
1552738081000,,,,340.35,
1552805598000,,,,154.88,
1552872817000,,,,921.30,
1552940619000,,,,,
1553008742000,,,,246.05,
1553075047000,,,,343.40,
1553142018000,,,,,
1553209653000,,,,241.79,
1553277395000,,,,,
1553344849000,,,,,
1553411888000,,,,,
1553478679000,,,,,
1553546051000,,,,0.23,
1553614241000,,,,17.43,
1553681868000,,,,,
1553749152000,,,,562.85,
1553816450000,,,,,
1553884334000,,,,119.96,
1553953102000,,,,423.80,
1554019932000,,,,341.58,
1554086578000,,,,272.96,
1554153946000,,,,1629.13,
1554222678000,,,,7.25,
1554290288000,,,,948.69,
1554358137000,,,,884.85,
1554425436000,,,,,
1554493384000,,,,481.87,
1554559454000,,,,7.06,
1554626505000,,,,11.84,
1554693632000,,,,503.22,
1554760411000,,,,4156.18,
1554827345000,,,,185.71,
1554894627000,,,,313.72,
1554961787000,,,,1938.25,
1555029655000,,,,369.34,
1555096914000,,,,8.97,
1555163830000,,,,302.55,
1555230712000,,,,222.52,
1555297496000,,,,,
1555364629000,,,,241.01,
1555431616000,,,,493.24,
1555500111000,,,,292.43,
1555566912000,,,,1425.50,
1555634415000,,,,,
1555701653000,,,,515.51,
1555769476000,,,,500.34,
1555837014000,,,,490.49,
1555904097000,,,,491.79,
1555970540000,,,,1264.16,
1556038531000,,,,501.60,
1556107407000,,,,5366.34,
1556173928000,,,,5796.86,
1556241200000,,,,7535.27,
1556308450000,,,,65.94,
1556374991000,,,,264.22,
1556442410000,,,,3950.12,
1556509346000,,,,586.82,
1556576806000,,,,,
1556643967000,,,,793.09,
1556711534000,,,,669.98,
1556778136000,,,,262.41,
1556845234000,,,,652.40,
1556913235000,,,,533.88,
1556979262000,,,,1345.71,
1557047080000,,,,286.56,
1557114439000,,,,416.04,
1557182260000,,,,729.44,
1557249608000,,,,6586.20,
1557318081000,,,,3558.05,
1557385675000,,,,,
1557453624000,,,,432.83,
1557521031000,,,,1268.52,
1557588222000,,,,5797.85,
1557655069000,,,,2447.72,
1557722567000,,,,1674.60,
1557790675000,,,,1917.60,
1557857642000,,,,366.36,
1557924398000,,,,809.86,
1557992058000,,,,1865.71,
1558059268000,,,,31.55,
1558126732000,,,,343.24,
1558194179000,,,,344.75,
1558262228000,,,,683.44,
1558329711000,,,,1042.41,
1558397321000,,,,711.43,
1558466162000,,,,2617.27,
1558533192000,,,,47.66,
1558601405000,,,,701.10,
1558669169000,,,,1791.94,
1558736680000,,,,374.55,
1558803191000,,,,,
1558871016000,,,,2085.63,
1558937464000,,,,1133.07,
1559004601000,,,,492.75,
