timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1532264894000,,,,
1532336677000,,,148.92,
1532411124000,,,18156.22,
1532485297000,,,6108.88,
1532558514000,,,31524.74,
1532632522000,,,10985.38,
1532706031000,,,7228.42,
1532778335000,,,20999.45,
1532849626000,,,14396.85,
1532921962000,,,33257.65,
1532994160000,,,19296.41,
1533067467000,,,23395.30,
1533141286000,,,11128.02,
1533214941000,,,11903.55,
1533288091000,,,4879.38,
1533360489000,,,11924.02,
1533432998000,,,5387.00,
1533505953000,,,2939.97,
1533578575000,,,3686.87,
1533651925000,,,6523.81,
1533724916000,,,5420.97,
1533797508000,,,8899.62,
1533870537000,,,13362.44,
1533943288000,,,2878.07,
1534016212000,,,9578.61,
1534090711000,,,3114.23,
1534163628000,,,5769.31,
1534236905000,,,6819.82,
1534309134000,,,3910.37,
1534381971000,,,1281.09,
1534454722000,,,4503.22,
1534527690000,,,14838.38,
1534602524000,,,1874.78,
1534675224000,,,3118.39,
1534747701000,,,31716.63,
1534820720000,,,29102.23,
1534892931000,,,7784.57,
1534965694000,,,2346.21,
1535039951000,,,5101.76,
1535112747000,,,4876.71,
1535185292000,,,1934.02,
1535257864000,,,8409.89,
1535331135000,,,6127.82,
1535403660000,,,2496.82,
1535477339000,,,8170.55,
1535550907000,,,9394.50,
1535623054000,,,4205.16,
1535695540000,,,4092.18,
1535768227000,,,7218.04,
1535842094000,,,2873.78,
1535914482000,,,688.81,
1535987210000,,,3833.50,
1536059758000,,,5624.56,
1536132247000,,,10947.29,
1536204432000,,,20314.10,
1536276091000,,,21940.36,
1536348963000,,,9398.52,
1536421628000,,,1127.48,
1536495403000,,,7321.52,
1536568351000,,,10046.23,
1536639507000,,,17286.62,
1536711510000,,,5731.88,
1536783125000,,,8707.62,
1536854753000,,,11387.41,
1536925887000,,,8859.26,
1536997175000,,,3777.48,
1537069009000,,,3849.33,
1537139381000,,,5766.75,
1537210708000,,,11749.53,
1537282705000,,,9691.45,
1537353835000,,,4050.79,
1537424834000,,,9375.26,
1537497361000,,,12971.55,
1537568218000,,,965.39,
1537639728000,,,10332.16,
1537710354000,,,655.16,
1537781366000,,,995.25,
1537852317000,,,20865.38,
1537922897000,,,2399.54,
1537993834000,,,5598.38,
1538065170000,,,12681.98,
1538135659000,,,4732.12,
1538207020000,,,3596.74,
1538277094000,,,4846.16,
1538348235000,,,6576.47,
1538418856000,,,7017.91,
1538489640000,,,31231.33,
1538560179000,,,13027.47,
1538631256000,,,1704.21,
1538700722000,,,44242.04,
