timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,
1529459855000,,707.59,,
1529534480000,,2424.44,,
1529607759000,,78.83,,
1529682434000,,5159.55,,
1529756296000,,11182.14,,
1529828276000,,2518.05,,
1529902416000,,5070.93,,
1529979078000,,3721.29,,
1530054421000,,3258.54,,
1530128282000,,167.45,,
1530203197000,,3952.30,,
1530278431000,,5445.47,,
1530351013000,,8129.68,,
1530426268000,,5338.62,,
1530499615000,,2364.27,,
1530572217000,,2531.70,,
1530646642000,,5051.46,,
1530720604000,,1748.86,,
1530794550000,,1395.59,,
1530868977000,,7.37,,
1530942968000,,1105.67,,
1531017892000,,2296.33,,
1531093254000,,898.22,,
1531167486000,,965.73,,
1531241905000,,,,
1531316279000,,,,
1531387780000,,2468.38,,
1531459813000,,5728.88,,
1531532086000,,6338.13,,
1531603912000,,1098.98,,
1531675397000,,1054.83,,
1531748307000,,11722.94,,
1531822417000,,3827.42,,
1531896343000,,4292.19,,
1531971151000,,10554.87,,
1532045631000,,4887.71,,
1532118564000,,8226.03,,
1532191928000,,3164.75,,
1532264894000,,2355.92,,
1532336677000,,8782.36,,
1532411124000,,2703.96,,
1532485297000,,1680.02,,
1532558514000,,1206.64,,
1532632522000,,507.50,,
1532706031000,,9498.88,,
1532778335000,,1477.99,,
1532849626000,,966.51,,
1532921962000,,4467.07,,
1532994160000,,,,
1533067467000,,2575.15,,
1533141286000,,4362.59,,
1533214941000,,4613.35,,
1533288091000,,2806.08,,
1533360489000,,3754.65,,
1533432998000,,2150.40,,
1533505953000,,393.84,,
1533578575000,,1549.75,,
1533651925000,,898.07,,
1533724916000,,195651.43,,
1533797508000,,5191.54,,
1533870537000,,10592.92,,
1533943288000,,275386.76,,
1534016212000,,20157.75,,
1534090711000,,3179.25,,
1534163628000,,5362.96,,
1534236905000,,27724.09,,
1534309134000,,4108.82,,
1534381971000,,7904.00,,
1534454722000,,1655.33,,
1534527690000,,8161.79,,
1534602524000,,10477.19,,
1534675224000,,9068.54,,
1534747701000,,2830.55,,
1534820720000,,6281.01,,
1534892931000,,5779.26,,
1534965694000,,4269.99,,
1535039951000,,5713.14,,
1535112747000,,15185.30,,
1535185292000,,4169.17,,
1535257864000,,6248.20,,
1535331135000,,1748.92,,
1535403660000,,18318.55,,
1535477339000,,8685.69,,
1535550907000,,7931.41,,
1535623054000,,21128.06,,
1535695540000,,4922.74,,
1535768227000,,3412.28,,
1535842094000,,3278.60,,
1535914482000,,4617.24,,
1535987210000,,3241.19,,
1536059758000,,8956.08,,
1536132247000,,20115.94,,
1536204432000,,14044.09,,
1536276091000,,8362.51,,
1536348963000,,8246.79,,
1536421628000,,2237.74,,
1536495403000,,5060.79,,
1536568351000,,3009.67,,
1536639507000,,3920.99,,
1536711510000,,8874.92,,
1536783125000,,25114.00,,
1536854753000,,19729.90,,
1536925887000,,5579.93,,
1536997175000,,3298.16,,
1537069009000,,1912.81,,
1537139381000,,1865.54,,
1537210708000,,4095.32,,
1537282705000,,4665.60,,
1537353835000,,1156.24,,
1537424834000,,910.13,,
1537497361000,,1815.57,,
1537568218000,,35199.20,,
1537639728000,,4962.10,,
1537710354000,,1925.77,,
1537781366000,,4211.21,,
1537852317000,,6823.14,,
1537922897000,,802.24,,
1537993834000,,1632.44,,
1538065170000,,1241.74,,
1538135659000,,2414.60,,
1538207020000,,2131.49,,
1538277094000,,2974.35,,
1538348235000,,1143.37,,
1538418856000,,1969.09,,
1538489640000,,1170.69,,
1538560179000,,611.70,,
1538631256000,,4037.52,,
1538700722000,,330.27,,
1538771727000,,584.92,,
1538841320000,,1621.52,,
1538911026000,,395.86,,
1538980216000,,690.99,,
1539049430000,,,,
1539120813000,,2231.81,,
1539190730000,,2191.11,,
1539260859000,,1789.54,,
1539330275000,,2686.75,,
1539400992000,,686.84,,
1539470509000,,1260.66,,
1539541019000,,611.99,,
1539611779000,,4774.89,,
1539682267000,,2551.80,,
1539752649000,,6213.38,,
1539822973000,,1827.90,,
1539893301000,,10743.09,,
1539964665000,,33.30,,
1540035461000,,1328.45,,
1540105380000,,1484.92,,
1540175783000,,209.60,,
1540247628000,,3097.17,,
1540317582000,,2405.76,,
1540388140000,,2432.14,,
1540458691000,,1621.64,,
1540528530000,,2144.38,,
1540599331000,,17529.33,,
1540669979000,,1672.31,,
1540740577000,,19388.18,,
1540812281000,,982.01,,
1540882459000,,1192.54,,
1540953530000,,1670.70,,
1541023512000,,3794.44,,
1541094934000,,1615.62,,
1541166376000,,4094.19,,
1541237446000,,1715.03,,
1541307140000,,569.17,,
1541378245000,,2451.81,,
1541449770000,,340.66,,
1541521033000,,1942.32,,
1541592294000,,2820.57,,
1541662439000,,5291.34,,
1541733218000,,1403.42,,
1541804044000,,1126.33,,
1541874538000,,459.55,,
1541945087000,,317.45,,
1542016384000,,2284.62,,
1542085646000,,1282.16,,
1542156560000,,143.78,,
1542228035000,,11856.24,,
1542298725000,,7669.34,,
1542368660000,,5166.45,,
1542440006000,,192.80,,
1542510859000,,440.92,,
1542580287000,,1291.04,,
1542652239000,,6730.79,,
1542723747000,,22689.29,,
1542795271000,,11947.68,,
1542866477000,,2967.11,,
1542936877000,,13744.78,,
1543007269000,,7235.95,,
1543077801000,,3597.87,,
1543148698000,,7947.01,,
1543218413000,,25794.39,,
1543289948000,,6760.27,,
1543362296000,,4715.00,,
1543434172000,,2945.67,,
1543504581000,,5700.51,,
1543575859000,,6940.34,,
1543646812000,,2829.57,,
1543718667000,,8629.21,,
1543789997000,,1062.34,,
1543862329000,,2647.29,,
1543932926000,,2735.49,,
1544005220000,,10888.62,,
1544076879000,,9623.39,,
1544148198000,,5470.20,,
1544220287000,,30857.94,,
1544291964000,,10053.74,,
1544363331000,,4999.88,,
1544433268000,,3019.91,,
1544503865000,,3998.06,,
1544576147000,,861.42,,
1544647316000,,7959.22,,
1544718309000,,49685.86,,
1544789693000,,11046.16,,
1544860802000,,8223.45,,
1544931651000,,1926.80,,
1545003100000,,5000.80,,
1545076575000,,4488.89,,
1545151038000,,10940.10,,
1545224266000,,8243.61,,
1545298309000,,10814.81,,
1545371765000,,18171.42,,
1545444975000,,3144.71,,
1545518580000,,1814.32,,
1545592165000,,8640.04,,
1545664945000,,11227.86,,
1545737520000,,9431.35,,
1545810031000,,4026.19,,
1545883479000,,6082.28,,
1545956158000,,4152.91,,
1546029906000,,3383.93,,
1546103201000,,1168.03,,
1546175667000,,8377.62,,
1546247915000,,2338.65,,
1546320878000,,3219.26,,
1546394518000,,7247.74,,
1546466952000,,17408.61,,
1546544000000,,1802.31,,
1546622719000,,1244.55,,
1546699391000,,5228.56,,
1546776424000,,9352.98,,
1546854270000,,2395.94,,
1546931422000,,290.93,,
1547008514000,,979.12,,
1547086233000,,1786.33,,
1547163262000,,8163.63,,
1547240860000,,1577.79,,
1547318473000,,2082.75,,
1547396030000,,296.31,,
1547472692000,,14340.63,,
1547549533000,,5201.58,,
1547626847000,,3667.00,,
1547704633000,,5695.64,,
1547781728000,,3243.23,,
1547859045000,,641.80,,
1547934719000,,1311.44,,
1548012002000,,4384.09,,
1548095978000,,3520.24,,
1548180548000,,1701.01,,
1548266597000,,252.61,,
1548351788000,,232.75,,
1548436981000,,3861.94,,
1548521909000,,8213.52,,
1548607305000,,9033.33,,
1548695090000,,,,
1548784331000,,,5075.42,
1548872168000,,,4259.81,
1548959406000,,,458.21,
1549048111000,,,16869.92,
1549136870000,,,1234.41,
1549225465000,,,9557.67,
1549312025000,,,2882.75,
1549400397000,,,5420.44,
1549488758000,,,6691.06,
1549576572000,,,5466.61,
1549664587000,,,8155.61,
1549752194000,,,4926.10,
1549853106000,,,7804.95,
1549954624000,,,798.79,
1550057114000,,,2593.58,
1550160727000,,,546.73,
1550264379000,,,438.95,
1550367666000,,,11521.48,
1550471025000,,,7868.25,
1550573262000,,,9763.93,
1550675116000,,,11273.29,
1550776436000,,,6985.30,
1550878296000,,,5287.19,
1550978228000,,,9782.59,
1551078586000,,,24776.33,
1551181750000,,,13988.14,
1551281880000,,,10448.52,
1551383524000,,,7152.85,
1551459490000,,,1712.73,
1551527005000,,,3547.40,
1551595407000,,,1563.23,
1551662535000,,,777.35,
1551730739000,,,13484.19,
1551798808000,,,8071.65,
1551865512000,,,2469.71,
1551932302000,,,3957.89,
1551999434000,,,14042.94,
1552066766000,,,20092.39,
1552134613000,,,32013.84,
1552201544000,,,17395.13,
1552268725000,,,9655.45,
1552336045000,,,5370.12,
1552403003000,,,5267.08,
1552470545000,,,30579.04,
1552537130000,,,5499.26,
1552605435000,,,19797.43,
1552671597000,,,10339.46,
1552738081000,,,10989.85,
1552805598000,,,4316.00,
1552872817000,,,18842.35,
1552940619000,,,2837.15,
1553008742000,,,1839.51,
1553075047000,,,544.40,
1553142018000,,,6986.05,
1553209653000,,,22274.03,
1553277395000,,,4686.37,
1553344849000,,,33526.56,
1553411888000,,,8102.60,
1553478679000,,,4644.99,
1553546051000,,,8443.74,
1553614241000,,,10372.10,
1553681868000,,,2419.68,
1553749152000,,,7281.08,
1553816450000,,,264.73,
1553884334000,,,13324.48,
1553953102000,,,14354.28,
1554019932000,,,2458.51,
1554086578000,,,1564.50,
1554153946000,,,2698.14,
1554222678000,,,5952.29,
1554290288000,,,5808.39,
1554358137000,,,12351.02,
1554425436000,,,20338.10,
1554493384000,,,22070.81,
1554559454000,,,8731.48,
1554626505000,,,10946.54,
1554693632000,,,9410.83,
1554760411000,,,15760.38,
1554827345000,,,21363.50,
1554894627000,,,1828.30,
1554961787000,,,5987.16,
1555029655000,,,5110.77,
1555096914000,,,6367.10,
1555163830000,,,2389.45,
1555230712000,,,6109.28,
1555297496000,,,4280.31,
1555364629000,,,4810.98,
1555431616000,,,1038.94,
1555500111000,,,8398.45,
1555566912000,,,4499.12,
1555634415000,,,1823.37,
1555701653000,,,8958.33,
1555769476000,,,12463.95,
1555837014000,,,10428.41,
1555904097000,,,9300.14,
1555970540000,,,3911.10,
1556038531000,,,1569.79,
1556107407000,,,4418.56,
1556173928000,,,17329.11,
1556241200000,,,19055.71,
1556308450000,,,6454.92,
1556374991000,,,10618.79,
1556442410000,,,3134.39,
1556509346000,,,9549.00,
1556576806000,,,6208.30,
1556643967000,,,2328.14,
1556711534000,,,2845.22,
1556778136000,,,1620.47,
1556845234000,,,6139.63,
1556913235000,,,2307.31,
1556979262000,,,7888.91,
1557047080000,,,2083.68,
1557114439000,,,2483.76,
1557182260000,,,6231.55,
1557249608000,,,4826.74,
1557318081000,,,2326.23,
1557385675000,,,6768.80,
1557453624000,,,4979.60,
1557521031000,,,2417.07,
1557588222000,,,2539.98,
1557655069000,,,8079.49,
1557722567000,,,3131.16,
1557790675000,,,4877.21,
1557857642000,,,9899.58,
1557924398000,,,9977.50,
1557992058000,,,19312.23,
1558059268000,,,36210.65,
1558126732000,,,8903.06,
1558194179000,,,1951.52,
1558262228000,,,2364.69,
1558329711000,,,2817.06,
1558397321000,,,12700.65,
1558466162000,,,8827.14,
1558533192000,,,4512.22,
1558601405000,,,2982.76,
1558669169000,,,5050.50,
1558736680000,,,1727.61,
1558803191000,,,641.56,
1558871016000,,,1780.67,
1558937464000,,,879.12,
1559004601000,,,7378.70,
1559072957000,,,5394.37,
1559139434000,,,5059.26,
1559206701000,,,8028.34,
1559274975000,,,4949.62,
1559341699000,,,1774.02,
1559409902000,,,2948.77,
1559477256000,,,4139.05,
1559545066000,,,2882.74,
1559613008000,,,3851.37,
1559680478000,,,2298.58,
1559748180000,,,2174.04,
1559815480000,,,547.66,
1559882780000,,,1794.91,
1559950737000,,,2674.93,
1560018665000,,,2097.79,
1560086804000,,,684.95,
1560153643000,,,4897.07,
1560221421000,,,1298.70,
1560289199000,,,2442.35,
1560356878000,,,1503.98,
1560423930000,,,1487.58,
1560491307000,,,5367.73,
1560558991000,,,6013.67,
1560626789000,,,6208.00,
1560694377000,,,5687.30,
1560761916000,,,7465.13,
1560829590000,,,1351.75,
1560897457000,,,11435.53,
1560964413000,,,10672.40,
1561032579000,,,1190.03,
1561100149000,,,1236.33,
1561168282000,,,3781.40,
1561234762000,,,9301.14,
1561302398000,,,8219.28,
1561369418000,,,11695.83,
1561436953000,,,6592.84,
1561504004000,,,15236.14,
1561570799000,,,41898.94,
1561638755000,,,28455.69,
1561706755000,,,20575.60,
1561774045000,,,23017.21,
1561840989000,,,17487.83,
1561907952000,,,5262.93,
1561975491000,,,4919.98,
1562042620000,,,4558.33,
1562110262000,,,5897.91,
1562178137000,,,3478.95,
1562245083000,,,6148.97,
1562312263000,,,5404.07,
1562380043000,,,1563.39,
1562446275000,,,2006.24,
1562513829000,,,5114.14,
1562580710000,,,4963.00,
1562647935000,,,17982.46,
1562714668000,,,4458.70,
1562782053000,,,8095.56,
1562848961000,,,11255.16,
1562916876000,,,6632.74,
1562984792000,,,2756.00,
1563051887000,,,4706.54,
1563118325000,,,12952.64,
1563185341000,,,13312.78,
1563253666000,,,4351.94,
1563322130000,,,2574.42,
1563390506000,,,1394.05,
1563456683000,,,7200.13,
1563524083000,,,4323.50,
1563591824000,,,3772.04,
1563657984000,,,14677.96,
1563725454000,,,7215.62,
1563792449000,,,814.76,
1563858874000,,,831.16,
1563925785000,1548.33,,9621.27,
1563992752000,7953.59,,,
1564060720000,2365.22,,,
1564128623000,1690.22,,,
1564194770000,226.88,,,
1564261351000,1669.87,,,
1564329190000,257.17,,,
1564395991000,4118.61,,,
1564463477000,3185.93,,,
1564530020000,3926.59,,,
1564597821000,282.63,,,
1564665039000,224.03,,,
1564732022000,1528.87,,,
1564799107000,1902.08,,,
1564865751000,841.69,,,
1564932781000,253.12,,,
1564999286000,845.10,,,
1565066439000,1713.13,,,
1565133760000,689.58,,,
1565200774000,669.24,,,
1565267861000,9011.37,,,
1565334762000,1896.49,,,
1565401917000,4167.47,,,
1565468754000,1454.09,,,
1565536629000,2462.39,,,
1565603145000,1267.28,,,
1565669720000,639.96,,,
1565737101000,1064.85,,,
1565803734000,5344.39,,,
1565871010000,1793.24,,,
1565938594000,2245.00,,,
1566005643000,476.53,,,
1566071734000,60.40,,,
1566139968000,8273.56,,,
1566206924000,2828.65,,,
1566273958000,1883.91,,,
1566340899000,365.91,,,
1566408719000,2083.45,,,
1566474986000,11434.71,,,
1566542876000,14343.78,,,
1566609532000,1041.63,,,
1566677699000,7449.45,,,
1566744845000,2761.32,,,
1566811311000,7181.81,,,
1566879172000,2478.33,,,
1566946162000,2150.50,,,
1567013670000,2035.16,,,
1567080503000,8296.39,,,
1567147214000,193.08,,,
1567214663000,739.42,,,
1567281961000,,,,
1567349460000,2753.53,,,
1567416716000,2371.37,,,
1567484031000,693.43,,,
1567551463000,154.90,,,
1567619231000,81.45,,,
1567685589000,1615.30,,,
1567753902000,8738.92,,,
1567820847000,2587.57,,,
1567887785000,2572.98,,,
1567955110000,3364.69,,,
1568023141000,7403.41,,,
1568089878000,3023.27,,,
1568157833000,2755.03,,,
1568225074000,0.14,,,
1568292523000,57.39,,,
1568360055000,2.80,,,
1568427970000,1490.77,,,
1568495114000,379.86,,,
1568562808000,1009.84,,,
1568630407000,2715.15,,,
1568696458000,1467.38,,,
1568764187000,7236.28,,,
1568830698000,3364.47,,,
1568898597000,2834.69,,,
1568967137000,10271.50,,,
1569034094000,,,,
1569100750000,2.74,,,
1569168482000,370.80,,,
1569236030000,897.93,,,
1569303544000,,,,
1569371996000,10898.96,,,
1569439704000,1266.18,,,
1569507924000,1502.89,,,
1569575662000,,,,
1569642495000,,,,535.37
1569709939000,,,,235.40
1569777994000,,,,
1569845721000,,,,388.51
1569912741000,,,,1176.80
1569979950000,,,,1.47
1570047984000,,,,654.22
