timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,
1529459855000,,,,115.42,
1529534480000,,,,4161.37,
1529607759000,,,,1459.97,
1529682434000,,,,21207.23,
1529756296000,,,,6402.16,
1529828276000,,,,8856.55,
1529902416000,,,,4841.18,
1529979078000,,,,1005.05,
1530054421000,,,,997.51,
1530128282000,,,,2343.67,
1530203197000,,,,1984.60,
1530278431000,,,,740.54,
1530351013000,,,,5197.17,
1530426268000,,,,1476.58,
1530499615000,,,,11220.97,
1530572217000,,,,753.28,
1530646642000,,,,12616.04,
1530720604000,,,,3171.92,
1530794550000,,,,346.61,
1530868977000,,,,518.45,
1530942968000,,,,1601.01,
1531017892000,,,,793.33,
1531093254000,,,,875.76,
1531167486000,,,,4.99,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,,3412.39,
1531459813000,,,,2416.79,
1531532086000,,,,818.42,
1531603912000,,,,123.12,
1531675397000,,,,155.42,
1531748307000,,,,985.80,
1531822417000,,,,525.45,
1531896343000,,,,546.06,
1531971151000,,,,319.51,
1532045631000,,,,2938.42,
1532118564000,,,,618.51,
1532191928000,,,,277.04,
1532264894000,,,,199.58,
1532336677000,,,,677.58,
1532411124000,,,,145.19,
1532485297000,,,,,
1532558514000,,,,1317.26,
1532632522000,,,,69.61,
1532706031000,,,,85.80,
1532778335000,,,,79.17,
1532849626000,,,,1226.16,
1532921962000,,,,91.54,
1532994160000,,,,239.99,
1533067467000,,,,98.87,
1533141286000,,,,159.08,
1533214941000,,,,1284.10,
1533288091000,,,,1007.64,
1533360489000,,,,1026.68,
1533432998000,,,,2231.14,
1533505953000,,,,798.70,
1533578575000,,,,610.52,
1533651925000,,,,229.12,
1533724916000,,,,1637.65,
1533797508000,,,,1714.25,
1533870537000,,,,995.30,
1533943288000,,,,1096.44,
1534016212000,,,,680.78,
