timestamp,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1528639875000,,
1528717216000,23.85,
1528792797000,22108.14,
1528868501000,8012.31,
1528943451000,3650.92,
1529017882000,9916.28,
1529093126000,18398.08,
1529166467000,21278.24,
1529239718000,15820.01,
1529312622000,5510.05,
1529385239000,1234.84,
1529459855000,4537.37,
1529534480000,2685.68,
1529607759000,2049.86,
1529682434000,4224.94,
1529756296000,2284.73,
1529828276000,1307.44,
1529902416000,6618.64,
1529979078000,5369.47,
1530054421000,20345.79,
1530128282000,9725.12,
1530203197000,15455.11,
1530278431000,11592.38,
1530351013000,7173.97,
1530426268000,1216.56,
1530499615000,11756.41,
1530572217000,2624.88,
1530646642000,497.50,
1530720604000,,
1530794550000,3761.04,
1530868977000,938.75,
1530942968000,1119.06,
1531017892000,2794.10,
1531093254000,3018.84,
1531167486000,885.18,
1531241905000,,
1531316279000,,
1531387780000,,
1531459813000,,
1531532086000,,
1531603912000,,
1531675397000,,
1531748307000,,
1531822417000,,
1531896343000,9501.81,
1531971151000,60228.55,
1532045631000,12264.86,
1532118564000,40272.96,
1532191928000,3538.58,
1532264894000,8850.15,
1532336677000,1471.92,
1532411124000,32.01,
1532485297000,30540.09,
1532558514000,20098.23,
1532632522000,18401.39,
1532706031000,6702.72,
1532778335000,5950.50,
1532849626000,389.96,
1532921962000,5230.89,
1532994160000,537.34,
1533067467000,1442.60,
1533141286000,4931.90,
1533214941000,968.75,
1533288091000,4218.04,
1533360489000,16933.92,
1533432998000,15603.43,
1533505953000,869.15,
1533578575000,26641.31,
1533651925000,15682.30,
1533724916000,25198.30,
1533797508000,33572.49,
1533870537000,46366.47,
1533943288000,37955.47,
1534016212000,34853.06,
1534090711000,31156.63,
1534163628000,1830.21,
1534236905000,11415.03,
1534309134000,9171.09,
1534381971000,24592.82,
1534454722000,34770.23,
1534527690000,9577.95,
1534602524000,35676.21,
1534675224000,8815.70,
1534747701000,13635.34,
1534820720000,18810.05,
1534892931000,13580.83,
1534965694000,25442.32,
1535039951000,14509.33,
1535112747000,3290.25,
1535185292000,1577.21,
1535257864000,15419.15,
1535331135000,10568.86,
1535403660000,11072.75,
1535477339000,29979.11,
1535550907000,19780.20,
1535623054000,6599.57,
1535695540000,21844.21,
1535768227000,1827.73,
1535842094000,4454.70,
1535914482000,6532.26,
1535987210000,3516.78,
1536059758000,8317.86,
1536132247000,1061.50,
1536204432000,10920.01,
1536276091000,8626.07,
1536348963000,4059.35,
1536421628000,5026.19,
1536495403000,6430.80,
1536568351000,1020.54,
1536639507000,5691.82,
1536711510000,2086.22,
1536783125000,7087.78,
1536854753000,16773.07,
1536925887000,8710.31,
1536997175000,37909.93,
1537069009000,1529.41,
1537139381000,2819.51,
1537210708000,21054.09,
1537282705000,20020.95,
1537353835000,11224.29,
1537424834000,15206.51,
1537497361000,3313.67,
1537568218000,18337.65,
1537639728000,3623.61,
1537710354000,3.49,
1537781366000,1944.31,
1537852317000,9931.55,
1537922897000,3745.63,
1537993834000,3556.93,
1538065170000,11331.79,
1538135659000,3254.48,
1538207020000,19379.60,
1538277094000,1522.48,
1538348235000,54495.61,
1538418856000,7308.60,
1538489640000,5765.99,
1538560179000,26207.98,
1538631256000,15816.99,
1538700722000,7858.23,
1538771727000,8271.84,
1538841320000,4819.34,
1538911026000,8048.93,
1538980216000,4626.34,
1539049430000,683.79,
1539120813000,152.29,
1539190730000,19061.95,
1539260859000,15026.71,
1539330275000,14974.05,
1539400992000,16153.52,
1539470509000,908.77,
1539541019000,1782.98,
1539611779000,464.03,
1539682267000,19880.86,
1539752649000,4402.95,
1539822973000,1141.41,
1539893301000,26732.28,
1539964665000,52587.30,
1540035461000,2768.68,
