timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,
1529459855000,,,,0.06,
1529534480000,,,,887.42,
1529607759000,,,,111.31,
1529682434000,,,,695.33,
1529756296000,,,,2379.47,
1529828276000,,,,1239.42,
1529902416000,,,,2100.04,
1529979078000,,,,881.11,
1530054421000,,,,,
1530128282000,,,,,
1530203197000,,,,2996.72,
1530278431000,,,,779.23,
1530351013000,,,,,
1530426268000,,,,305.21,
1530499615000,,,,,
1530572217000,,,,437.74,
1530646642000,,,,,
1530720604000,,,,,
1530794550000,,,,1308.40,
1530868977000,,,,474.84,
1530942968000,,,,,
1531017892000,,,,476.26,
1531093254000,,,,,
1531167486000,,,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,,1059.29,
1531459813000,,,,634.46,
1531532086000,,,,,
1531603912000,,,,768.74,
1531675397000,,,,20.80,
1531748307000,,,,410.56,
1531822417000,,,,1255.58,
1531896343000,,,,4853.75,
1531971151000,,,,2768.77,
1532045631000,,,,1242.92,
1532118564000,,,,86.49,
1532191928000,,,,995.88,
1532264894000,,,,203.59,
1532336677000,,,,828.49,
1532411124000,,,,2647.79,
1532485297000,,,,1649.11,
1532558514000,,,,418.88,
1532632522000,,,,1028.68,
1532706031000,,,,6552.08,
1532778335000,,,,12592.25,
1532849626000,,,,6569.47,
1532921962000,,,,18132.21,
1532994160000,,,,31317.01,
1533067467000,,,,29820.20,
1533141286000,,,,7649.20,
1533214941000,,,,14689.37,
1533288091000,,,,3189.80,
1533360489000,,,,8998.80,
1533432998000,,,,8764.52,
1533505953000,,,,896.42,
1533578575000,,,,1165.59,
1533651925000,,,,1633.10,
1533724916000,,,,404.22,
1533797508000,,,,7654.07,
1533870537000,,,,5520.39,
1533943288000,,,,6142.66,
1534016212000,,,,3481.21,
1534090711000,,,,477.96,
1534163628000,,,,1802.89,
1534236905000,,,,5072.73,
1534309134000,,,,3008.31,
1534381971000,,,,1829.19,
1534454722000,,,,1020.27,
1534527690000,,,,782.72,
1534602524000,,,,2023.11,
1534675224000,,,,373.23,
1534747701000,,,,658.26,
1534820720000,,,,2538.69,
1534892931000,,,,236.75,
1534965694000,,,,609.91,
1535039951000,,,,2096.84,
1535112747000,,,,515.40,
1535185292000,,,,176.13,
1535257864000,,,,3.47,
1535331135000,,,,9.92,
1535403660000,,,,523.16,
1535477339000,,,,350.61,
1535550907000,,,,706.40,
1535623054000,,,,389.56,
1535695540000,,,,365.00,
1535768227000,,,,,
