timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1563322130000,,,,
1563390506000,1724.26,,,
1563456683000,,,,
1563524083000,,,,
1563591824000,,,,
1563657984000,,,,
1563725454000,,,,
1563792449000,,,,
1563858874000,12.19,,,
1563925785000,,,,
1563992752000,,2313.95,,
1564060720000,,1035.63,,
1564128623000,,,,
1564194770000,,1002.51,,
1564261351000,,,,
1564329190000,,,,
1564395991000,,,,
1564463477000,,,,
1564530020000,,2352.42,,
1564597821000,,489.43,,
1564665039000,,189.68,,
1564732022000,,165.35,,
1564799107000,,2862.79,,
1564865751000,,45.44,,
1564932781000,,45.44,,
1564999286000,,2167.94,,
1565066439000,,1784.35,,
1565133760000,,73.84,,
1565200774000,,330.63,,
1565267861000,,330.63,,
1565334762000,,72.74,,
1565401917000,,1200.46,,
1565468754000,,40.00,,
1565536629000,,379.55,,
1565603145000,,84.33,,
1565669720000,,,,
1565737101000,,3996.61,,
1565803734000,,1389.47,,
1565871010000,,722.78,,
1565938594000,,1134.97,,
1566005643000,,21.35,,
1566071734000,,,,
1566139968000,,3682.14,,
1566206924000,,1403.05,,
1566273958000,,,,
1566340899000,,1635.40,,
1566408719000,,1316.12,,
1566474986000,,727.32,,
1566542876000,,,,
1566609532000,,6002.92,,
1566677699000,,396.84,,
1566744845000,,123.15,,
1566811311000,,,,
1566879172000,,2403.42,,
1566946162000,,2900.62,,
1567013670000,,1728.60,,
1567080503000,,1159.14,,
1567147214000,,5912.73,,
1567214663000,,7625.14,,
1567281961000,,3751.19,,
1567349460000,,1336.25,,
1567416716000,,,,
1567484031000,,259.66,,
1567551463000,,140.71,,
1567619231000,,1508.35,,
1567685589000,,1011.00,,
1567753902000,,,,
1567820847000,,,,
1567887785000,,,,
1567955110000,,641.19,,
1568023141000,,456.26,,
1568089878000,,261.60,,
1568157833000,,1026.34,,
1568225074000,,1571.89,,
1568292523000,,114.56,,
1568360055000,,,,
1568427970000,,351.26,,
1568495114000,,654.91,,
1568562808000,,568.32,,
1568630407000,,,,
1568696458000,,195.93,,
1568764187000,,,,
1568830698000,,,,
1568898597000,,181.16,,
1568967137000,,,,
1569034094000,,,,
1569100750000,,,,
1569168482000,,1917.67,,
1569236030000,,4599.13,,
1569303544000,,6495.08,,
1569371996000,,,,
1569439704000,,,,
1569507924000,,,,
1569575662000,,,78.90,
1569642495000,,,,
1569709939000,,,,
1569777994000,,,2701.14,
1569845721000,,,,
1569912741000,,,,
1569979950000,,,,
1570047984000,,,,
