timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,
1529459855000,,,,9945.08,
1529534480000,,,,7568.55,
1529607759000,,,,277.36,
1529682434000,,,,4311.90,
1529756296000,,,,1261.15,
1529828276000,,,,3567.43,
1529902416000,,,,2209.77,
1529979078000,,,,894.23,
1530054421000,,,,782.51,
1530128282000,,,,253.71,
1530203197000,,,,1084.20,
1530278431000,,,,4387.30,
1530351013000,,,,897.15,
1530426268000,,,,8142.45,
1530499615000,,,,2116.46,
1530572217000,,,,2900.14,
1530646642000,,,,4143.49,
1530720604000,,,,3099.61,
1530794550000,,,,3441.99,
1530868977000,,,,1053.34,
1530942968000,,,,1790.68,
1531017892000,,,,1640.94,
1531093254000,,,,1425.92,
1531167486000,,,,4079.56,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,,320.92,
1531459813000,,,,11894.58,
1531532086000,,,,3054.47,
1531603912000,,,,1452.48,
1531675397000,,,,3610.47,
1531748307000,,,,2883.84,
1531822417000,,,,3681.60,
1531896343000,,,,62.06,
1531971151000,,,,213.62,
1532045631000,,,,1547.65,
1532118564000,,,,2359.14,
1532191928000,,,,1283.52,
1532264894000,,,,1877.50,
1532336677000,,,,150.99,
1532411124000,,,,340.37,
1532485297000,,,,655.28,
1532558514000,,,,1269.11,
1532632522000,,,,2520.03,
1532706031000,,,,15276.52,
1532778335000,,,,4185.50,
1532849626000,,,,2424.02,
1532921962000,,,,2251.59,
1532994160000,,,,1383.94,
1533067467000,,,,4995.43,
1533141286000,,,,745.40,
1533214941000,,,,1942.03,
1533288091000,,,,1815.10,
1533360489000,,,,9676.72,
1533432998000,,,,4143.93,
1533505953000,,,,10268.09,
1533578575000,,,,1741.94,
1533651925000,,,,3018.44,
1533724916000,,,,312.67,
1533797508000,,,,5663.85,
1533870537000,,,,2098.78,
1533943288000,,,,2283.06,
1534016212000,,,,5587.53,
1534090711000,,,,2527.33,
1534163628000,,,,2031.93,
1534236905000,,,,1497.83,
1534309134000,,,,2077.09,
1534381971000,,,,1374.84,
1534454722000,,,,3922.53,
1534527690000,,,,970.04,
1534602524000,,,,72.58,
1534675224000,,,,1038.36,
1534747701000,,,,954.21,
1534820720000,,,,4750.23,
1534892931000,,,,1974.00,
