timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,,
1529459855000,,2508.48,,,
1529534480000,,5753.11,,,
1529607759000,,3218.29,,,
1529682434000,,6059.57,,,
1529756296000,,2510.51,,,
1529828276000,,3392.25,,,
1529902416000,,496.19,,,
1529979078000,,1158.31,,,
1530054421000,,4336.19,,,
1530128282000,,223.27,,,
1530203197000,,219.53,,,
1530278431000,,1006.06,,,
1530351013000,,2854.03,,,
1530426268000,,1187.74,,,
1530499615000,,108.00,,,
1530572217000,,1133.12,,,
1530646642000,,959.95,,,
1530720604000,,400.46,,,
1530794550000,,3131.22,,,
1530868977000,,101.89,,,
1530942968000,,1096.16,,,
1531017892000,,325.63,,,
1531093254000,,288.55,,,
1531167486000,,277.07,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,1226.76,,,
1531459813000,,5055.33,,,
1531532086000,,63.56,,,
1531603912000,,292.06,,,
1531675397000,,3129.01,,,
1531748307000,,208.24,,,
1531822417000,,405.80,,,
1531896343000,,,,,
1531971151000,,1523.78,,,
1532045631000,,10.29,,,
1532118564000,,2615.78,,,
1532191928000,,6.76,,,
1532264894000,,18.19,,,
1532336677000,,13.84,,,
1532411124000,,2398.11,,,
1532485297000,,415.39,,,
1532558514000,,22.14,,,
1532632522000,,167.03,,,
1532706031000,,464.62,,,
1532778335000,,2976.35,,,
1532849626000,,79.93,,,
1532921962000,,34.68,,,
1532994160000,,3352.58,,,
1533067467000,,5074.63,,,
1533141286000,,53.36,,,
1533214941000,,255.93,,,
1533288091000,,1436.86,,,
1533360489000,,269.41,,,
1533432998000,,1002.17,,,
1533505953000,,551.23,,,
1533578575000,,,,,
1533651925000,,1780.02,,,
1533724916000,,1166.97,,,
1533797508000,,1734.79,,,
1533870537000,,4652.43,,,
1533943288000,,1536.30,,,
1534016212000,,1064.11,,,
1534090711000,,441.84,,,
1534163628000,,36.75,,,
1534236905000,,2658.50,,,
1534309134000,,1487.47,,,
1534381971000,,930.51,,,
1534454722000,,3564.36,,,
1534527690000,,3163.42,,,
1534602524000,,119.83,,,
1534675224000,,,,,
1534747701000,,,,,
1534820720000,,76.29,,,
1534892931000,,339.44,,,
1534965694000,,861.14,,,
1535039951000,,1091.09,,,
1535112747000,,452.39,,,
1535185292000,,4569.97,,,
1535257864000,,1952.24,,,
1535331135000,,768.95,,,
1535403660000,,187.87,,,
1535477339000,,535.84,,,
1535550907000,,460.67,,,
1535623054000,,1431.91,,,
1535695540000,,3093.32,,,
1535768227000,,803.49,,,
1535842094000,,1435.76,,,
1535914482000,,700.14,,,
1535987210000,,217.94,,,
1536059758000,,168.09,,,
1536132247000,,698.38,,,
1536204432000,,932.40,,,
1536276091000,,,,,
1536348963000,,318.38,,,
1536421628000,,658.75,,,
1536495403000,,941.94,,,
1536568351000,,543.90,,,
1536639507000,,2964.22,,,
1536711510000,,3136.85,,,
1536783125000,,2681.54,,,
1536854753000,,737.85,,,
1536925887000,,415.54,,,
1536997175000,,1997.82,,,
1537069009000,,1395.84,,,
1537139381000,,,,,
1537210708000,,149.10,,,
1537282705000,,1480.38,,,
1537353835000,,313.62,,,
1537424834000,,314.77,,,
1537497361000,,360.66,,,
1537568218000,,,,,
1537639728000,,58.80,,,
1537710354000,,199.79,,,
1537781366000,,3.09,,,
1537852317000,,505.34,,,
1537922897000,,469.91,,,
1537993834000,,1242.50,,,
1538065170000,,,,,
1538135659000,,320.16,,,
1538207020000,,,,,
1538277094000,,639.56,,,
1538348235000,,146.48,,,
1538418856000,,,,,
1538489640000,,427.90,,,
1538560179000,,361.98,,,
1538631256000,,922.43,,,
1538700722000,,4444.68,,,
1538771727000,,569.76,,,
1538841320000,,,,,
1538911026000,,0.03,,,
1538980216000,,,,,
1539049430000,,99.82,,,
1539120813000,,30.72,,,
1539190730000,,27.38,,,
1539260859000,,5949.43,,,
1539330275000,,1465.28,,,
1539400992000,,,,,
1539470509000,,,,,
1539541019000,,,,,
1539611779000,,1799.24,,,
1539682267000,,6.39,,,
1539752649000,,5629.93,,,
1539822973000,,9177.21,,,
1539893301000,,1833.30,,,
1539964665000,,1299.73,,,
1540035461000,,1356.30,,,
1540105380000,,572.85,,,
1540175783000,,81.79,,,
1540247628000,,2943.84,,,
1540317582000,,3007.57,,,
1540388140000,,279.76,,,
1540458691000,,789.02,,,
1540528530000,,306.61,,,
1540599331000,,301.13,,,
1540669979000,,25.39,,,
1540740577000,,,,,
1540812281000,,,,,
1540882459000,,,,,
1540953530000,,1534.40,,,
1541023512000,,2222.46,,,
1541094934000,,485.19,,,
1541166376000,,498.08,,,
1541237446000,,49.04,,,
1541307140000,,77.40,,,
1541378245000,,,,,
1541449770000,,1856.66,,,
1541521033000,,1397.89,,,
1541592294000,,1320.86,,,
1541662439000,,1243.08,,,
1541733218000,,881.14,,,
1541804044000,,2470.07,,,
1541874538000,,208.51,,,
1541945087000,,191.99,,,
1542016384000,,31.70,,,
1542085646000,,146.01,,,
1542156560000,,516.76,,,
1542228035000,,,,,
1542298725000,,117.50,,,
1542368660000,,432.98,,,
1542440006000,,2320.28,,,
1542510859000,,457.77,,,
1542580287000,,,,,
1542652239000,,1760.14,,,
1542723747000,,168.84,,,
1542795271000,,577.44,,,
1542866477000,,2056.07,,,
1542936877000,,1057.04,,,
1543007269000,,,,,
1543077801000,,561.61,,,
1543148698000,,65.71,,,
1543218413000,,,,,
1543289948000,,2598.70,,,
1543362296000,,1158.42,,,
1543434172000,,1624.72,,,
1543504581000,,583.01,,,
1543575859000,,251.00,,,
1543646812000,,388.87,,,
1543718667000,,50.44,,,
1543789997000,,,,,
1543862329000,,1006.28,,,
1543932926000,,385.29,,,
1544005220000,,2050.36,,,
1544076879000,,153.23,,,
1544148198000,,28.41,,,
1544220287000,,197.99,,,
1544291964000,,154.29,,,
1544363331000,,,,,
1544433268000,,2986.85,,,
1544503865000,,1765.36,,,
1544576147000,,172.34,,,
1544647316000,,2100.83,,,
1544718309000,,2169.52,,,
1544789693000,,1640.75,,,
1544860802000,,,,,
1544931651000,,74.03,,,
1545003100000,,,,,
1545076575000,,99.91,,,
1545151038000,,3349.27,,,
1545224266000,,1057.70,,,
1545298309000,,632.89,,,
1545371765000,,11611.93,,,
1545444975000,,3474.53,,,
1545518580000,,,,,
1545592165000,,396.13,,,
1545664945000,,3650.21,,,
1545737520000,,209.89,,,
1545810031000,,729.89,,,
1545883479000,,41.35,,,
1545956158000,,,,,
1546029906000,,1229.13,,,
1546103201000,,,,,
1546175667000,,,,,
1546247915000,,291.31,,,
1546320878000,,862.65,,,
1546394518000,,1175.93,,,
1546466952000,,952.00,,,
1546544000000,,,,,
1546622719000,,1867.98,,,
1546699391000,,732.57,,,
1546776424000,,427.66,,,
1546854270000,,587.28,,,
1546931422000,,199.93,,,
1547008514000,,2175.66,,,
1547086233000,,72.68,,,
1547163262000,,407.86,,,
1547240860000,,1742.70,,,
1547318473000,,1676.25,,,
1547396030000,,253.80,,,
1547472692000,,3510.84,,,
1547549533000,,1919.79,,,
1547626847000,,301.37,,,
1547704633000,,1140.26,,,
1547781728000,,1015.52,,,
1547859045000,,135.45,,,
1547934719000,,882.41,,,
1548012002000,,141.97,,,
1548095978000,,,,,
1548180548000,,515.09,,,
1548266597000,,1375.64,,,
1548351788000,,1502.22,,,
1548436981000,,1416.08,,,
1548521909000,,2536.77,,,
1548607305000,,1966.83,,,
1548695090000,,,3795.11,,
1548784331000,,,2401.15,,
1548872168000,,,,4809.43,
1548959406000,,,,240.13,
1549048111000,,,,2006.96,
1549136870000,,,,,
1549225465000,,,,682.52,
1549312025000,,,,353.95,
1549400397000,,,,541.56,
1549488758000,,,,1017.58,
1549576572000,,,,7276.87,
1549664587000,,,,1554.70,
1549752194000,,,,,
1549853106000,,,,,
1549954624000,,,,0.00,
1550057114000,,,,122.50,
1550160727000,,,,2751.08,
1550264379000,,,,123.12,
1550367666000,,,,428.43,
1550471025000,,,,123.47,
1550573262000,,,,1164.39,
1550675116000,,,,1472.50,
1550776436000,,,,73.90,
1550878296000,,,,696.85,
1550978228000,,,,1291.32,
1551078586000,,,,151.54,
1551181750000,,,,3045.19,
1551281880000,,,,798.24,
1551383524000,,,,1745.15,
1551459490000,,,,430.70,
1551527005000,,,,12.14,
1551595407000,,,,,
1551662535000,,,,537.70,
1551730739000,,,,0.92,
1551798808000,,,,735.72,
1551865512000,,,,898.73,
1551932302000,,,,12109.42,
1551999434000,,,,1317.02,
1552066766000,,,,984.61,
1552134613000,,,,2794.54,
1552201544000,,,,599.79,
1552268725000,,,,731.09,
1552336045000,,,,2359.43,
1552403003000,,,,492.10,
1552470545000,,,,,
1552537130000,,,,1344.37,
1552605435000,,,,370.84,
1552671597000,,,,120.91,
1552738081000,,,,1197.43,
1552805598000,,,,432.07,
1552872817000,,,,,
1552940619000,,,,,
1553008742000,,,,1307.47,
1553075047000,,,,438.99,
1553142018000,,,,678.41,
1553209653000,,,,416.90,
1553277395000,,,,1130.29,
1553344849000,,,,362.81,
1553411888000,,,,3484.37,
1553478679000,,,,592.84,
1553546051000,,,,290.08,
1553614241000,,,,2950.12,
1553681868000,,,,233.39,
1553749152000,,,,1233.14,
1553816450000,,,,3198.36,
1553884334000,,,,2664.59,
1553953102000,,,,2023.21,
1554019932000,,,,130.94,
1554086578000,,,,,
1554153946000,,,,172.20,
1554222678000,,,,,
1554290288000,,,,191.76,
1554358137000,,,,1.90,
1554425436000,,,,24533.85,
1554493384000,,,,7180.75,
1554559454000,,,,1541.65,
1554626505000,,,,1991.93,
1554693632000,,,,895.20,
1554760411000,,,,3855.45,
1554827345000,,,,766.93,
1554894627000,,,,1056.97,
1554961787000,,,,1162.02,
1555029655000,,,,,
1555096914000,,,,1999.06,
1555163830000,,,,504.72,
1555230712000,,,,717.12,
1555297496000,,,,573.58,
1555364629000,,,,269.14,
1555431616000,,,,46.80,
