timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1550471025000,,,,
1550573262000,,,9762.05,
1550675116000,,,1423.70,
1550776436000,,,1331.61,
1550878296000,,,2810.21,
1550978228000,,,1293.57,
1551078586000,,,2254.40,
1551181750000,,,533.08,
1551281880000,,,786.25,
1551383524000,,,1297.79,
1551459490000,,,301.08,
1551527005000,,,358.68,
1551595407000,,,246.20,
1551662535000,,,475.74,
1551730739000,,,309.46,
1551798808000,,,368.21,
1551865512000,,,675.36,
1551932302000,,,191.97,
1551999434000,,,594.54,
1552066766000,,,2203.49,
1552134613000,,,7056.03,
1552201544000,,,7603.92,
1552268725000,,,1225.60,
1552336045000,,,8808.48,
1552403003000,,,9873.45,
1552470545000,,,1676.40,
1552537130000,,,556.70,
1552605435000,,,305.13,
1552671597000,,,653.04,
1552738081000,,,2852.37,
1552805598000,,,678.71,
1552872817000,,,6084.36,
1552940619000,,,1581.76,
1553008742000,,,2596.40,
1553075047000,,,2349.40,
1553142018000,,,1825.72,
1553209653000,,,2481.17,
1553277395000,,,1631.51,
1553344849000,,,744.98,
1553411888000,,,311.34,
1553478679000,,,637.16,
1553546051000,,,291.30,
1553614241000,,,721.32,
1553681868000,,,1338.28,
1553749152000,,,2805.83,
1553816450000,,,2575.26,
1553884334000,,,1785.47,
1553953102000,,,4114.97,
1554019932000,,,420.60,
1554086578000,,,11693.94,
1554153946000,,,4416.72,
1554222678000,,,2127.78,
1554290288000,,,11497.91,
1554358137000,,,1852.77,
1554425436000,,,2594.94,
1554493384000,,,1799.09,
1554559454000,,,585.73,
1554626505000,,,854.90,
1554693632000,,,3245.90,
1554760411000,,,1313.10,
1554827345000,,,2047.42,
1554894627000,,,727.57,
1554961787000,,,2049.16,
1555029655000,,,1997.50,
1555096914000,,,2002.85,
1555163830000,,,329.53,
1555230712000,,,442.11,
1555297496000,,,1974.15,
1555364629000,,,911.56,
1555431616000,,,3733.84,
1555500111000,,,1248.30,
1555566912000,,,595.10,
1555634415000,,,797.08,
1555701653000,,,979.82,
1555769476000,,,633.95,
1555837014000,,,547.82,
1555904097000,,,236.39,
1555970540000,,,2737.79,
1556038531000,,,1800.20,
1556107407000,,,475.42,
1556173928000,,,218.43,
1556241200000,,,1474.44,
1556308450000,,,670.78,
1556374991000,,,300.98,
1556442410000,,,182.63,
1556509346000,,,719.16,
1556576806000,,,227.61,
1556643967000,,,108.38,
1556711534000,,,229.79,
1556778136000,,,101.35,
1556845234000,,,159.40,
1556913235000,,,295.03,
1556979262000,,,3075.91,
1557047080000,,,417.63,
1557114439000,,,884.05,
1557182260000,,,2146.14,
1557249608000,,,616.53,
1557318081000,,,786.54,
1557385675000,,,949.10,
1557453624000,,,896.58,
1557521031000,,,1113.53,
1557588222000,,,1820.38,
1557655069000,,,1200.91,
1557722567000,,,775.36,
1557790675000,,,3996.72,
1557857642000,,,3555.57,
1557924398000,,,6497.13,
1557992058000,,,10423.32,
1558059268000,,,5105.51,
1558126732000,,,2226.10,
1558194179000,,,1052.68,
1558262228000,,,1486.82,
1558329711000,,,3541.82,
1558397321000,,,1730.72,
1558466162000,,,1524.31,
1558533192000,,,3180.30,
1558601405000,,,1632.60,
1558669169000,,,537.09,
1558736680000,,,536.38,
1558803191000,,,900.55,
1558871016000,,,3800.27,
1558937464000,,,5083.32,
1559004601000,,,5074.86,
1559072957000,,,4629.31,
1559139434000,,,1675.67,
1559206701000,,,1737.42,
1559274975000,,,1093.42,
1559341699000,,,1726.81,
1559409902000,,,390.04,
1559477256000,,,173.27,
1559545066000,,,633.46,
1559613008000,,,1027.72,
1559680478000,,,1928.34,
1559748180000,,,5085.39,
1559815480000,,,1196.71,
1559882780000,,,909.28,
1559950737000,,,12581.38,
1560018665000,,,3568.93,
1560086804000,,,2579.64,
1560153643000,,,2990.06,
1560221421000,,,5118.62,
1560289199000,,,652.20,
1560356878000,,,786.39,
1560423930000,,,3332.83,
1560491307000,,,500.67,
1560558991000,,,549.68,
1560626789000,,,674.96,
1560694377000,,,1817.67,
1560761916000,,,1285.18,
1560829590000,,,481.75,
1560897457000,,,3540.58,
1560964413000,,,399.70,
1561032579000,,,1507.05,
1561100149000,,,883.32,
1561168282000,,,1233.21,
1561234762000,,,8060.07,
1561302398000,,,696.10,
1561369418000,,,632.80,
1561436953000,,,878.48,
1561504004000,,,1662.29,
1561570799000,,,12930.75,
1561638755000,,,4553.82,
1561706755000,,,1036.87,
1561774045000,,,0.45,
1561840989000,,,540.29,
1561907952000,,,623.51,
1561975491000,,,657.57,
1562042620000,,,836.88,
1562110262000,,,528.69,
1562178137000,,,1342.42,
1562245083000,,,563.84,
1562312263000,,,1819.13,
1562380043000,,,331.92,
1562446275000,,,602.69,
1562513829000,,,879.41,
1562580710000,,,2905.41,
1562647935000,,,1381.34,
1562714668000,,,300.74,
1562782053000,,,1437.67,
1562848961000,,,694.24,
1562916876000,,,178.55,
1562984792000,,,849.67,
1563051887000,,,125.69,
1563118325000,,,1526.11,
1563185341000,,,2990.14,
1563253666000,,,1141.94,
1563322130000,,,985.32,
1563390506000,,,1589.01,
1563456683000,,,2330.55,
1563524083000,,,1872.73,
1563591824000,,,883.44,
1563657984000,,,695.87,
1563725454000,,,439.93,
1563792449000,,,591.33,
1563858874000,,,7450.97,
1563925785000,,525.74,190.40,
1563992752000,,2175.14,,
1564060720000,,773.06,,
1564128623000,,1570.68,,
1564194770000,,153.45,,
1564261351000,,1403.84,,
1564329190000,,277.06,,
1564395991000,,794.96,,
1564463477000,,528.07,,
1564530020000,,966.47,,
1564597821000,,9469.66,,
1564665039000,,1562.19,,
1564732022000,,560.45,,
1564799107000,,744.34,,
1564865751000,,462.52,,
1564932781000,,430.97,,
1564999286000,,1752.62,,
1565066439000,,742.13,,
1565133760000,,1279.82,,
1565200774000,,1039.25,,
1565267861000,,142.83,,
1565334762000,,839.78,,
1565401917000,,1691.15,,
1565468754000,,587.66,,
1565536629000,,311.71,,
1565603145000,,538.36,,
1565669720000,,270.77,,
1565737101000,,2387.82,,
1565803734000,,2029.89,,
1565871010000,,1844.01,,
1565938594000,,713.49,,
1566005643000,,3109.79,,
1566071734000,,1347.37,,
1566139968000,,965.22,,
1566206924000,,1020.59,,
1566273958000,,68.24,,
1566340899000,,169.27,,
1566408719000,,1392.79,,
1566474986000,,427.67,,
1566542876000,,13718.96,,
1566609532000,,663.49,,
1566677699000,,2107.86,,
1566744845000,,1396.32,,
1566811311000,,346.12,,
1566879172000,,828.90,,
1566946162000,,1405.36,,
1567013670000,,610.07,,
1567080503000,,7152.38,,
1567147214000,,621.54,,
1567214663000,,,,
1567281961000,,0.01,,
1567349460000,,572.61,,
1567416716000,,195.30,,
1567484031000,,696.61,,
1567551463000,,247.96,,
1567619231000,,664.69,,
1567685589000,,259.89,,
1567753902000,,,,
1567820847000,,565.86,,
1567887785000,,689.64,,
1567955110000,,,,
1568023141000,,640.58,,
1568089878000,,426.94,,
1568157833000,,496.92,,
1568225074000,,250.23,,
1568292523000,,1140.49,,
1568360055000,,250.64,,
1568427970000,,,,
1568495114000,,458.11,,
1568562808000,,357.88,,
1568630407000,,359.68,,
1568696458000,,19.10,,
1568764187000,,1036.73,,
1568830698000,,4469.94,,
1568898597000,,5793.89,,
1568967137000,,1045.65,,
1569034094000,,296.95,,
1569100750000,,,,
1569168482000,,260.24,,
1569236030000,,,,
1569303544000,,,,
1569371996000,,527.56,,
1569439704000,,414.81,,
1569507924000,373.88,2503.73,,
1569575662000,530.23,,,
1569642495000,186.82,,,
1569709939000,424.30,,,
1569777994000,26.84,,,
1569845721000,,,,
1569912741000,184.76,,,
1569979950000,362.98,,,
1570047984000,318.51,,,
1570116154000,295.01,,,
