timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1536204432000,,,,
1536276091000,,,3000.68,
1536348963000,,,1695.98,
1536421628000,,,1440.79,
1536495403000,,,2036.72,
1536568351000,,,7693.04,
1536639507000,,,1006.74,
1536711510000,,,111.38,
1536783125000,,,947.83,
1536854753000,,,5564.54,
1536925887000,,,4479.21,
1536997175000,,,15.25,
1537069009000,,,1368.14,
1537139381000,,,1293.77,
1537210708000,,,2054.10,
1537282705000,,,1681.43,
1537353835000,,,,
1537424834000,,,6.89,
1537497361000,,,,
1537568218000,,,,
1537639728000,,,5.16,
1537710354000,,,,
1537781366000,,,0.16,
1537852317000,,,3165.67,
1537922897000,,,5864.19,
1537993834000,,,2759.39,
1538065170000,,,767.08,
1538135659000,,,13.11,
1538207020000,,,2104.20,
1538277094000,,,2520.31,
1538348235000,,,524.98,
1538418856000,,,196.28,
1538489640000,,,76.84,
1538560179000,,,76.45,
1538631256000,,,1186.51,
1538700722000,,,1301.89,
1538771727000,,,,
1538841320000,,,,
1538911026000,,,,
1538980216000,,,1185.12,
1539049430000,,,3286.11,
1539120813000,,,230.16,
1539190730000,,,1198.90,
1539260859000,,,2532.73,
1539330275000,,,1142.11,
1539400992000,,,1225.11,
1539470509000,,,107.52,
1539541019000,,,54.98,
1539611779000,,,181.20,
1539682267000,,,2333.86,
1539752649000,,,6449.94,
1539822973000,,,2108.83,
1539893301000,,,517.09,
1539964665000,,,,
1540035461000,,,,
1540105380000,,,2887.52,
1540175783000,,,1343.89,
1540247628000,,,5469.87,
1540317582000,,,14830.38,
1540388140000,,,793.37,
1540458691000,,,,
1540528530000,,,30.85,
1540599331000,,,60.49,
1540669979000,,,779.78,
1540740577000,,,505.07,
1540812281000,,,5089.28,
1540882459000,,,10333.19,
1540953530000,,,7750.10,
1541023512000,,,4144.18,
1541094934000,,,5312.05,
1541166376000,,,3211.03,
1541237446000,,,539.76,
1541307140000,,,,
1541378245000,,,1723.04,
1541449770000,,,509.61,
1541521033000,,,920.25,
1541592294000,,,3251.91,
1541662439000,,,6551.21,
1541733218000,,,24.57,
1541804044000,,,,
1541874538000,,,2237.77,
1541945087000,,,637.82,
1542016384000,,,155.15,
1542085646000,,,509.81,
1542156560000,,,,
1542228035000,,,,
1542298725000,,,2714.37,
1542368660000,,,57.41,
1542440006000,,,,
1542510859000,,,163.36,
1542580287000,,,87.03,
1542652239000,,,2093.59,
1542723747000,,,,
1542795271000,,,0.07,
1542866477000,,,1671.10,
1542936877000,,,,
1543007269000,,,322.95,
1543077801000,,,30.16,
