timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529979078000,,,,,
1530054421000,,,,3067.78,
1530128282000,,,,1313.94,
1530203197000,,,,1684.11,
1530278431000,,,,,
1530351013000,,,,2233.80,
1530426268000,,,,570.67,
1530499615000,,,,,
1530572217000,,,,,
1530646642000,,,,857.20,
1530720604000,,,,15.05,
1530794550000,,,,,
1530868977000,,,,1013.33,
1530942968000,,,,6921.79,
1531017892000,,,,3185.93,
1531093254000,,,,617.55,
1531167486000,,,,1183.91,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,,417.82,
1531459813000,,,,,
1531532086000,,,,,
1531603912000,,,,1204.70,
1531675397000,,,,,
1531748307000,,,,2559.23,
1531822417000,,,,820.56,
1531896343000,,,,1689.79,
1531971151000,,,,2888.54,
1532045631000,,,,2264.94,
1532118564000,,,,7003.92,
1532191928000,,,,2087.01,
1532264894000,,,,,
1532336677000,,,,765.39,
1532411124000,,,,3031.14,
1532485297000,,,,606.40,
1532558514000,,,,2464.55,
1532632522000,,,,1775.14,
1532706031000,,,,1145.53,
1532778335000,,,,407.05,
1532849626000,,,,734.19,
1532921962000,,,,731.46,
1532994160000,,,,1661.19,
1533067467000,,,,3883.98,
1533141286000,,,,1868.45,
1533214941000,,,,,
1533288091000,,,,1131.23,
1533360489000,,,,1455.06,
1533432998000,,,,2456.17,
1533505953000,,,,1433.52,
1533578575000,,,,4950.81,
1533651925000,,,,2831.04,
1533724916000,,,,304.06,
1533797508000,,,,1907.46,
1533870537000,,,,290.61,
1533943288000,,,,917.60,
1534016212000,,,,580.53,
1534090711000,,,,574.31,
1534163628000,,,,1739.48,
1534236905000,,,,8275.09,
1534309134000,,,,1300.54,
1534381971000,,,,19505.81,
1534454722000,,,,988.50,
1534527690000,,,,242.74,
1534602524000,,,,3118.94,
1534675224000,,,,2798.99,
1534747701000,,,,899.74,
1534820720000,,,,4077.97,
1534892931000,,,,1691.51,
1534965694000,,,,1816.88,
1535039951000,,,,3865.29,
1535112747000,,,,1030.84,
1535185292000,,,,3369.52,
1535257864000,,,,3576.67,
1535331135000,,,,1437.48,
1535403660000,,,,3059.01,
1535477339000,,,,631.69,
1535550907000,,,,1196.87,
1535623054000,,,,1840.10,
1535695540000,,,,1145.63,
1535768227000,,,,3618.22,
1535842094000,,,,1663.57,
1535914482000,,,,2229.51,
1535987210000,,,,956.69,
1536059758000,,,,1832.13,
1536132247000,,,,5513.41,
1536204432000,,,,9549.41,
1536276091000,,,,8907.38,
1536348963000,,,,1366.40,
1536421628000,,,,4548.10,
1536495403000,,,,1472.60,
1536568351000,,,,2054.99,
1536639507000,,,,3750.56,
1536711510000,,,,2813.26,
1536783125000,,,,19935.67,
1536854753000,,,,9938.51,
1536925887000,,,,12779.88,
1536997175000,,,,14123.85,
1537069009000,,,,7207.02,
1537139381000,,,,3415.87,
1537210708000,,,,3429.43,
1537282705000,,,,2183.35,
1537353835000,,,,2311.52,
1537424834000,,,,961.91,
1537497361000,,,,4011.44,
1537568218000,,,,1983.15,
1537639728000,,,,475.80,
1537710354000,,,,2618.93,
1537781366000,,,,1208.33,
1537852317000,,,,1971.42,
1537922897000,,,,3498.58,
1537993834000,,,,434.28,
1538065170000,,,,1170.04,
1538135659000,,,,2160.70,
1538207020000,,,,1254.24,
1538277094000,,,,3525.74,
1538348235000,,,,470.76,
1538418856000,,,,166.59,
1538489640000,,,,9.27,
1538560179000,,,,284.83,
1538631256000,,,,297.65,
1538700722000,,,,1126.89,
1538771727000,,,,584.87,
1538841320000,,,,1139.91,
1538911026000,,,,,
1538980216000,,,,152.16,
1539049430000,,,,746.87,
1539120813000,,,,151.67,
1539190730000,,,,869.48,
1539260859000,,,,4962.35,
1539330275000,,,,22194.01,
1539400992000,,,,4963.45,
1539470509000,,,,2347.82,
1539541019000,,,,11430.65,
1539611779000,,,,9187.56,
1539682267000,,,,722.53,
1539752649000,,,,1794.14,
1539822973000,,,,162.70,
1539893301000,,,,1042.06,
1539964665000,,,,159.44,
1540035461000,,,,157.17,
1540105380000,,,,284.61,
1540175783000,,,,885.78,
1540247628000,,,,357.60,
1540317582000,,,,477.57,
1540388140000,,,,213.98,
1540458691000,,,,852.95,
1540528530000,,,,315.64,
1540599331000,,,,158.62,
1540669979000,,,,776.25,
1540740577000,,,,495.57,
1540812281000,,,,194.42,
1540882459000,,,,1835.06,
1540953530000,,,,1990.66,
1541023512000,,,,803.42,
1541094934000,,,,276.02,
1541166376000,,,,603.40,
1541237446000,,,,,
1541307140000,,,,437.35,
1541378245000,,,,721.25,
1541449770000,,,,177.18,
1541521033000,,,,1218.66,
1541592294000,,,,,
1541662439000,,,,949.62,
1541733218000,,,,565.88,
1541804044000,,,,447.40,
1541874538000,,,,512.18,
1541945087000,,,,,
1542016384000,,,,1066.53,
1542085646000,,,,752.80,
1542156560000,,,,943.75,
1542228035000,,,,3893.88,
1542298725000,,,,4668.63,
1542368660000,,,,7742.61,
1542440006000,,,,5269.09,
1542510859000,,,,1510.79,
1542580287000,,,,575.77,
1542652239000,,,,9312.73,
1542723747000,,,,6999.03,
1542795271000,,,,8391.81,
1542866477000,,,,3408.33,
1542936877000,,,,854.11,
1543007269000,,,,2460.00,
1543077801000,,,,2545.80,
1543148698000,,,,4236.56,
1543218413000,,,,2761.30,
1543289948000,,,,3017.48,
1543362296000,,,,2208.11,
1543434172000,,,,4078.71,
1543504581000,,,,46645.08,
1543575859000,,,,10424.12,
1543646812000,,,,2436.18,
1543718667000,,,,3614.42,
1543789997000,,,,1973.90,
1543862329000,,,,11076.24,
1543932926000,,,,5521.74,
1544005220000,,,,5772.76,
1544076879000,,,,6411.67,
1544148198000,,,,4725.28,
1544220287000,,,,2659.02,
1544291964000,,,,1417.27,
1544363331000,,,,1101.05,
1544433268000,,,,4571.71,
1544503865000,,,,1553.41,
1544576147000,,,,3219.51,
1544647316000,,,,360.34,
1544718309000,,,,1194.33,
1544789693000,,,,1716.99,
1544860802000,,,,1021.51,
1544931651000,,,,1803.32,
1545003100000,,,,332.42,
1545076575000,,,,1027.17,
1545151038000,,,,279.51,
1545224266000,,,,1163.00,
1545298309000,,,,1058.73,
1545371765000,,,,1827.39,
1545444975000,,,,1470.98,
1545518580000,,,,4622.78,
1545592165000,,,,4316.31,
1545664945000,,,,3417.27,
1545737520000,,,,3258.24,
1545810031000,,,,4027.01,
1545883479000,,,,7546.04,
1545956158000,,,,556.48,
1546029906000,,,,8483.08,
1546103201000,,,,1915.52,
1546175667000,,,,2164.79,
1546247915000,,,,2263.62,
1546320878000,,,,1281.64,
1546394518000,,,,4169.97,
1546466952000,,,,2762.66,
1546544000000,,,,1546.86,
1546622719000,,,,443.06,
1546699391000,,,,1424.08,
1546776424000,,,,944.97,
1546854270000,,,,225.02,
1546931422000,,,,591.35,
1547008514000,,,,436.59,
1547086233000,,,,223.32,
1547163262000,,,,2817.34,
1547240860000,,,,1772.90,
1547318473000,,,,1965.26,
1547396030000,,,,421.64,
1547472692000,,,,641.85,
1547549533000,,,,1568.96,
1547626847000,,,,3093.41,
1547704633000,,,,4142.83,
1547781728000,,,,1675.20,
1547859045000,,,,1476.92,
1547934719000,,,,365.88,
1548012002000,,,,1299.08,
1548095978000,,,,953.00,
1548180548000,,,,,
1548266597000,,,,7531.53,
1548351788000,,,,20264.70,
1548436981000,,,,4368.36,
1548521909000,,,,2447.63,
1548607305000,,,,3141.00,
1548695090000,,,,,
1548784331000,919.42,,,,
1548872168000,3501.82,,,,
1548959406000,12536.27,,,,
1549048111000,5194.14,,,,
1549136870000,7809.54,,,,
1549225465000,9969.10,,,,
1549312025000,6314.77,,,,
1549400397000,3536.65,,,,
1549488758000,4559.42,,,,
1549576572000,9779.95,,,,
1549664587000,6604.96,,,,
1549752194000,1054.99,,,,
1549853106000,1587.97,,,,
1549954624000,8954.43,,,,
1550057114000,938.49,,,,
1550160727000,1362.01,,,,
1550264379000,2607.88,,,,
1550367666000,6562.41,,,,
1550471025000,16143.88,,,,
1550573262000,4425.65,,,,
1550675116000,6815.72,,,,
1550776436000,4280.53,,,,
1550878296000,1622.90,,,,
1550978228000,1805.08,,,,
1551078586000,4820.38,,,,
1551181750000,3874.84,,,,
1551281880000,781.61,,,,
1551383524000,2229.81,,,,
1551459490000,261.11,,,,
1551527005000,700.51,,,,
1551595407000,824.25,,,,
1551662535000,1528.98,,,,
1551730739000,2797.01,,,,
1551798808000,2612.39,,,,
1551865512000,3518.83,,,,
1551932302000,1328.05,,,,
1551999434000,2049.41,,,,
1552066766000,4639.46,,,,
1552134613000,7240.50,,,,
1552201544000,3307.54,,,,
1552268725000,1718.78,,,,
1552336045000,13624.01,,,,
1552403003000,11687.14,,,,
1552470545000,2232.78,,,,
1552537130000,6232.08,,,,
1552605435000,9318.38,,,,
1552671597000,1630.67,,,,
1552738081000,1781.02,,,,
1552805598000,517.48,,,,
1552872817000,2458.97,,,,
1552940619000,2490.86,,,,
1553008742000,900.64,,,,
1553075047000,1279.85,,,,
1553142018000,95.93,,,,
1553209653000,1923.55,,,,
1553277395000,740.07,,,,
1553344849000,,,,,
1553411888000,,,,,
1553478679000,1140.49,,,,
1553546051000,2448.17,,,,
1553614241000,1424.29,,,,
1553681868000,494.11,,,,
1553749152000,8710.47,,,,
1553816450000,2616.24,,,,
1553884334000,2807.15,,,,
1553953102000,1771.32,,,,
1554019932000,13028.96,,,,
1554086578000,86238.26,,,,
1554153946000,9193.22,,,,
1554222678000,51715.23,,,,
1554290288000,28268.85,,,,
1554358137000,18569.07,,,,
1554425436000,6421.23,,,,
1554493384000,2415.57,,,,
1554559454000,1083.24,,,,
1554626505000,2669.83,,,,
1554693632000,2696.15,,,,
1554760411000,3870.54,,,,
1554827345000,6195.56,,,,
1554894627000,14410.64,,,,
1554961787000,11961.10,,,,
1555029655000,5935.01,,,,
1555096914000,3366.54,,,,
1555163830000,4202.96,,,,
1555230712000,2097.98,,,,
1555297496000,5609.40,,,,
1555364629000,25537.42,,,,
1555431616000,7694.54,,,,
1555500111000,4468.13,,,,
1555566912000,2705.01,,,,
1555634415000,4014.13,,,,
1555701653000,1562.80,,,,
1555769476000,1832.27,,,,
1555837014000,3005.05,,,,
1555904097000,1685.82,,,,
1555970540000,644.31,,,,
1556038531000,2433.67,,,,
1556107407000,3670.62,,,,
1556173928000,12250.53,,,,
1556241200000,4188.64,,,,
1556308450000,2773.44,,,,
1556374991000,260.30,,,,
1556442410000,984.79,,,,
1556509346000,266.82,,,,
1556576806000,8267.85,,,,
1556643967000,1570.79,,,,
1556711534000,824.99,,,,
1556778136000,848.70,,,,
1556845234000,2005.76,,,,
1556913235000,2752.71,,,,
1556979262000,3410.87,,,,
1557047080000,442.02,,,,
1557114439000,756.63,,,,
1557182260000,1581.91,,,,
1557249608000,592.00,,,,
1557318081000,943.28,,,,
1557385675000,522.47,,,,
1557453624000,11117.58,,,,
1557521031000,3604.94,,,,
1557588222000,1204.81,,,,
1557655069000,958.68,,,,
1557722567000,45.98,,,,
1557790675000,1923.50,,,,
1557857642000,3484.90,,,,
1557924398000,6217.58,,,,
1557992058000,7984.76,,,,
1558059268000,3012.50,,,,
1558126732000,2733.32,,,,
1558194179000,2199.14,,,,
1558262228000,1459.15,,,,
1558329711000,1778.22,,,,
1558397321000,1035.25,,,,
1558466162000,7959.39,,,,
1558533192000,17772.57,,,,
1558601405000,6898.95,,,,
1558669169000,2872.34,,,,
1558736680000,2830.52,,,,
1558803191000,3785.80,,,,
1558871016000,7605.37,,,,
1558937464000,3445.48,,,,
1559004601000,1721.39,,,,
1559072957000,1070.09,,,,
1559139434000,2628.71,,,,
1559206701000,535.86,,,,
1559274975000,3192.78,,,,
1559341699000,,,,,
1559409902000,405.03,,,,
1559477256000,1432.68,,,,
1559545066000,5029.48,,,,
1559613008000,2351.23,,,,
1559680478000,1063.96,,,,
1559748180000,3070.31,,,,
1559815480000,1302.19,,,,
1559882780000,1619.59,,,,
1559950737000,1538.56,,,,
1560018665000,3287.70,,,,
1560086804000,708.09,,,,
1560153643000,703.95,,,,
1560221421000,7271.21,,,,
1560289199000,13837.27,,,,
1560356878000,4767.64,,,,
1560423930000,1762.98,,,,
1560491307000,3457.34,,,,
1560558991000,964.21,,,,
1560626789000,874.70,,,,
1560694377000,2604.49,,,,
1560761916000,2761.52,,,,
1560829590000,2596.90,,,,
