timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,Other
1529385239000,,,,,
1529459855000,,,3838.26,,
1529534480000,,,5103.11,,
1529607759000,,,4066.15,,
1529682434000,,,7715.40,,
1529756296000,,,2156.69,,
1529828276000,,,15040.02,,
1529902416000,,,29030.70,,
1529979078000,,,5258.18,,
1530054421000,,,3850.76,,
1530128282000,,,879.60,,
1530203197000,,,285.44,,
1530278431000,,,7758.71,,
1530351013000,,,14151.70,,
1530426268000,,,1580.02,,
1530499615000,,,6247.74,,
1530572217000,,,14585.79,,
1530646642000,,,25954.24,,
1530720604000,,,676.42,,
1530794550000,,,446.49,,
1530868977000,,,550.86,,
1530942968000,,,31905.68,,
1531017892000,,,2315.46,,
1531093254000,,,1625.13,,
1531167486000,,,6.88,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,4186.85,,
1531459813000,,,6626.02,,
1531532086000,,,653.19,,
1531603912000,,,429.46,,
1531675397000,,,1627.21,,
1531748307000,,,563.23,,
1531822417000,,,10808.67,,
1531896343000,,,35940.34,,
1531971151000,,,19245.24,,
1532045631000,,,15178.66,,
1532118564000,,,5216.66,,
1532191928000,,,31759.37,,
1532264894000,,,5000.36,,
1532336677000,,,256.18,,
1532411124000,,,38218.33,,
1532485297000,,,9654.51,,
1532558514000,,,27520.60,,
1532632522000,,,37701.03,,
1532706031000,,,5500.00,,
1532778335000,,,12557.89,,
1532849626000,,,4515.72,,
1532921962000,,,4446.07,,
1532994160000,,,4439.37,,
1533067467000,,,19628.73,,
1533141286000,,,8483.28,,
1533214941000,,,5683.61,,
1533288091000,,,1810.96,,
1533360489000,,,1407.02,,
1533432998000,,,1460.73,,
1533505953000,,,4533.46,,
1533578575000,,,286.61,,
1533651925000,,,5395.73,,
1533724916000,,,543.94,,
1533797508000,,,23091.88,,
1533870537000,,,31946.83,,
1533943288000,,,52068.23,,
1534016212000,,,36954.17,,
1534090711000,,,36631.97,,
1534163628000,,,10742.02,,
1534236905000,,,48350.62,,
1534309134000,,,22641.73,,
1534381971000,,,33522.14,,
1534454722000,,,1039.66,,
1534527690000,,,5003.99,,
1534602524000,,,23587.53,,
1534675224000,,,78732.17,,
1534747701000,,,24506.98,,
1534820720000,,,14188.87,,
1534892931000,,,5983.01,,
1534965694000,,,6002.23,,
1535039951000,,,3862.09,,
1535112747000,,,10257.49,,
1535185292000,,,4380.38,,
1535257864000,,,6957.51,,
1535331135000,,,10754.76,,
1535403660000,,,2986.57,,
1535477339000,,,17447.89,,
1535550907000,,,14764.56,,
1535623054000,,,25646.22,,
1535695540000,,,1406.92,,
1535768227000,,,1723.39,,
1535842094000,,,3666.31,,
1535914482000,,,1981.11,,
1535987210000,,,3467.87,,
1536059758000,,,20509.52,,
1536132247000,,,18512.00,,
1536204432000,,,51509.34,,
1536276091000,,,12070.92,,
1536348963000,,,4035.41,,
1536421628000,,,2048.31,,
1536495403000,,,3869.26,,
1536568351000,,,19114.80,,
1536639507000,,,18279.13,,
1536711510000,,,6227.64,,
1536783125000,,,15325.56,,
1536854753000,,,3765.66,,
1536925887000,,,45996.62,,
1536997175000,,,28192.60,,
1537069009000,,,4484.90,,
1537139381000,,,19955.44,,
1537210708000,,,6060.92,,
1537282705000,,,14107.59,,
1537353835000,,,1815.10,,
1537424834000,,,3278.74,,
1537497361000,,,16592.14,,
1537568218000,,,13089.95,,
1537639728000,,,19156.07,,
1537710354000,,,11209.71,,
1537781366000,,,4703.05,,
1537852317000,,,1789.49,,
1537922897000,,,49333.73,,
1537993834000,,,11755.42,,
1538065170000,,,4831.36,,
1538135659000,,,6762.46,,
1538207020000,,,24467.43,,
1538277094000,,,19177.90,,
1538348235000,,,16508.57,,
1538418856000,,,3573.90,,
1538489640000,,,8457.14,,
1538560179000,,,14102.59,,
1538631256000,,,10695.48,,
1538700722000,,,9055.47,,
1538771727000,,,40485.44,,
1538841320000,,,24516.36,,
1538911026000,,,3719.80,,
1538980216000,,,7335.12,,
1539049430000,,,4331.36,,
1539120813000,,,3727.61,,
1539190730000,,,5349.06,,
1539260859000,,,29150.23,,
1539330275000,,,11598.77,,
1539400992000,,,5771.27,,
1539470509000,,,3452.09,,
1539541019000,,,1240.43,,
1539611779000,,,17207.32,,
1539682267000,,,6453.36,,
1539752649000,,,177.50,,
1539822973000,,,33070.93,,
1539893301000,,,10919.05,,
1539964665000,,,6104.34,,
1540035461000,,,5001.63,,
1540105380000,,,8269.30,,
1540175783000,,,37875.03,,
1540247628000,,,1456.72,,
1540317582000,,,9276.19,,
1540388140000,,,106.91,,
1540458691000,,,1464.62,,
1540528530000,,,19371.91,,
1540599331000,,,2193.52,,
1540669979000,,,600.37,,
1540740577000,,,75620.00,,
1540812281000,,,17649.29,,
1540882459000,,,88707.92,,
1540953530000,,,38392.84,,
1541023512000,,,3172.12,,
1541094934000,,,42517.68,,
1541166376000,,,21392.81,,
1541237446000,,,2865.80,,
1541307140000,,,21310.20,,
1541378245000,,,31213.25,,
1541449770000,,,27581.10,,
1541521033000,,,56549.24,,
1541592294000,,,118341.13,,
1541662439000,,,92888.55,,
1541733218000,,,42059.86,,
1541804044000,,,15577.17,,
1541874538000,,,5967.23,,
1541945087000,,,43775.52,,
1542016384000,,,35678.23,,
1542085646000,,,42546.37,,
1542156560000,,,50070.72,,
1542228035000,,,91582.11,,
1542298725000,,,44325.56,,
1542368660000,,,18319.76,,
1542440006000,,,20284.92,,
1542510859000,,,8377.29,,
1542580287000,,,19586.86,,
1542652239000,,,48673.37,,
1542723747000,,,79917.43,,
1542795271000,,,79427.02,,
1542866477000,,,64789.27,,
1542936877000,,,9146.63,,
1543007269000,,,38179.43,,
1543077801000,,,20002.07,,
1543148698000,,,88838.52,,
1543218413000,,,115455.91,,
1543289948000,,,139672.33,,
1543362296000,,,20038.64,,
1543434172000,,,22313.88,,
1543504581000,,,239004.62,,
1543575859000,,,86700.64,,
1543646812000,,,8794.52,,
1543718667000,,,3569.62,,
1543789997000,,,10440.97,,
1543862329000,,,10402.42,,
1543932926000,,,16619.84,,
1544005220000,,,61937.15,,
1544076879000,,,15006.13,,
1544148198000,,,10692.23,,
1544220287000,,,25973.56,,
1544291964000,,,30456.70,,
1544363331000,,,4251.13,,
1544433268000,,,30064.78,,
1544503865000,,,5862.93,,
1544576147000,,,12560.03,,
1544647316000,,,7512.34,,
1544718309000,,,14241.61,,
1544789693000,,,9847.10,,
1544860802000,,,5402.20,,
1544931651000,,,3584.63,,
1545003100000,,,13227.37,,
1545076575000,,,23161.97,,
1545151038000,,,16456.35,,
1545224266000,,,13951.35,,
1545298309000,,,56412.97,,
1545371765000,,,28528.16,,
1545444975000,,,20676.01,,
1545518580000,,,5316.75,,
1545592165000,,,15113.23,,
1545664945000,,,9572.91,,
1545737520000,,,94674.41,,
1545810031000,,,20716.46,,
1545883479000,,,12540.50,,
1545956158000,,,17266.08,,
1546029906000,,,6533.80,,
1546103201000,,,5512.24,,
1546175667000,,,54296.30,,
1546247915000,,,758.31,,
1546320878000,,,46278.15,,
1546394518000,,,25978.45,,
1546466952000,,,978.58,,
1546544000000,,,12888.18,,
1546622719000,,,9212.68,,
1546699391000,,,5943.02,,
1546776424000,,,26920.23,,
1546854270000,,,4490.79,,
1546931422000,,,12546.32,,
1547008514000,,,15805.61,,
1547086233000,,,29637.46,,
1547163262000,,,70709.74,,
1547240860000,,,1717.66,,
1547318473000,,,1440.51,,
1547396030000,,,19.87,,
1547472692000,,,12838.17,,
1547549533000,,,42424.78,,
1547626847000,,,18298.80,,
1547704633000,,,21888.64,,
1547781728000,,,29834.97,,
1547859045000,,,4532.23,,
1547934719000,,,41547.35,,
1548012002000,,,12507.50,,
1548095978000,,,4850.78,,
1548180548000,,,,,
1548266597000,,,373.66,,
1548351788000,,,7972.61,,
1548436981000,,,15365.98,,
1548521909000,,,2618.12,,
1548607305000,,,8380.28,,
1548695090000,,8878.71,,,
1548784331000,825.95,11981.33,,,
1548872168000,5887.69,,,,
1548959406000,4429.21,,,,
1549048111000,13119.84,,,,
1549136870000,3821.43,,,,
1549225465000,9050.19,,,,
1549312025000,1010.76,,,,
1549400397000,10381.82,,,,
1549488758000,54123.40,,,,
1549576572000,46860.59,,,,
1549664587000,79735.26,,,,
1549752194000,9689.81,,,,
1549853106000,104617.75,,,,
1549954624000,3579.52,,,,
1550057114000,15211.19,,,,
1550160727000,15568.23,,,,
1550264379000,18631.17,,,,
1550367666000,74701.56,,,,
1550471025000,133740.13,,,,
1550573262000,54328.26,,,,
1550675116000,1175.45,,,,
1550776436000,1038.01,,,,
1550878296000,1082.95,,,,
1550978228000,4712.90,,,,
1551078586000,2152.41,,,,
1551181750000,3729.24,,,,
1551281880000,10826.59,,,,
1551383524000,6301.39,,,,
1551459490000,6583.87,,,,
1551527005000,4305.92,,,,
