timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,
1529459855000,,,58.59,
1529534480000,,,81.47,
1529607759000,,,409.88,
1529682434000,,,2429.62,
1529756296000,,,2160.76,
1529828276000,,,394.33,
1529902416000,,,421.78,
1529979078000,,,450.59,
1530054421000,,,235.18,
1530128282000,,,60.92,
1530203197000,,,252.79,
1530278431000,,,45.86,
1530351013000,,,436.73,
1530426268000,,,99.17,
1530499615000,,,312.60,
1530572217000,,,1681.98,
1530646642000,,,76.68,
1530720604000,,,,
1530794550000,,,70.54,
1530868977000,,,,
1530942968000,,,405.69,
1531017892000,,,,
1531093254000,,,166.91,
1531167486000,,,286.79,
1531241905000,,,,
1531316279000,,,,
1531387780000,,,804.46,
1531459813000,,,954.07,
1531532086000,,,1492.35,
1531603912000,,,,
1531675397000,,,458.03,
1531748307000,,,108.63,
1531822417000,,,2226.83,
1531896343000,,,11639.33,
1531971151000,,,618.08,
1532045631000,,,3280.92,
1532118564000,,,41.29,
1532191928000,,,,
1532264894000,,,,
1532336677000,,,0.40,
1532411124000,,,,
1532485297000,,,1904.17,
1532558514000,,,242.14,
1532632522000,,,666.70,
1532706031000,,,322.06,
1532778335000,,,,
1532849626000,,,435.96,
1532921962000,,,1202.23,
1532994160000,,,1191.51,
1533067467000,,,698.96,
1533141286000,,,707.65,
1533214941000,,,1889.95,
1533288091000,,,13.16,
1533360489000,,,340.18,
1533432998000,,,410.29,
1533505953000,,,108.39,
1533578575000,,,54.75,
1533651925000,,,86.52,
1533724916000,,,,
1533797508000,,,332.21,
1533870537000,,,185.76,
1533943288000,,,245.74,
1534016212000,,,169.32,
1534090711000,,,,
1534163628000,,,585.85,
1534236905000,,,1171.13,
1534309134000,,,3846.42,
1534381971000,,,33.26,
1534454722000,,,376.59,
1534527690000,,,7996.89,
1534602524000,,,3770.67,
1534675224000,,,2445.86,
1534747701000,,,354.72,
1534820720000,,,2413.95,
1534892931000,,,266.49,
1534965694000,,,1273.91,
1535039951000,,,1350.61,
1535112747000,,,1194.42,
1535185292000,,,2157.10,
1535257864000,,,572.10,
1535331135000,,,273.40,
1535403660000,,,1430.93,
1535477339000,,,1193.10,
1535550907000,,,1315.49,
1535623054000,,,27.10,
1535695540000,,,747.70,
1535768227000,,,1384.87,
1535842094000,,,3647.71,
1535914482000,,,1715.14,
1535987210000,,,593.15,
1536059758000,,,1044.95,
1536132247000,,,17.25,
1536204432000,,,868.04,
1536276091000,,,128.39,
1536348963000,,,153.80,
1536421628000,,,432.98,
1536495403000,,,39.38,
1536568351000,,,1346.35,
1536639507000,,,29.35,
1536711510000,,,148.38,
1536783125000,,,752.67,
1536854753000,,,7.72,
1536925887000,,,,
1536997175000,,,756.36,
1537069009000,,,,
1537139381000,,,,
1537210708000,,,,
1537282705000,,,104.12,
1537353835000,,,151.85,
1537424834000,,,668.65,
1537497361000,,,,
1537568218000,,,109.14,
1537639728000,,,1.57,
1537710354000,,,149.50,
1537781366000,,,64.15,
1537852317000,,,,
1537922897000,,,,
1537993834000,,,19.90,
1538065170000,,,7.96,
1538135659000,,,1422.76,
1538207020000,,,835.13,
1538277094000,,,270.83,
1538348235000,,,108.31,
1538418856000,,,324.66,
1538489640000,,,415.52,
1538560179000,,,,
1538631256000,,,,
1538700722000,,,180.59,
1538771727000,,,199.48,
1538841320000,,,,
1538911026000,,,202.56,
1538980216000,,,,
1539049430000,,,,
1539120813000,,,2.93,
1539190730000,,,238.25,
1539260859000,,,0.70,
1539330275000,,,304.53,
1539400992000,,,301.84,
1539470509000,,,792.33,
1539541019000,,,129.40,
1539611779000,,,863.35,
1539682267000,,,211.88,
1539752649000,,,210.27,
1539822973000,,,309.30,
1539893301000,,,545.17,
1539964665000,,,66.43,
1540035461000,,,0.37,
1540105380000,,,15.92,
1540175783000,,,18.87,
1540247628000,,,,
1540317582000,,,36.48,
1540388140000,,,224.57,
1540458691000,,,22.97,
1540528530000,,,,
1540599331000,,,50.34,
1540669979000,,,,
1540740577000,,,2.35,
1540812281000,,,624.47,
1540882459000,,,154.74,
1540953530000,,,991.92,
1541023512000,,,25.20,
1541094934000,,,98.75,
1541166376000,,,29.92,
1541237446000,,,60.01,
1541307140000,,,92.15,
1541378245000,,,16.53,
1541449770000,,,,
1541521033000,,,,
1541592294000,,,777.75,
1541662439000,,,,
1541733218000,,,249.88,
1541804044000,,,81.80,
1541874538000,,,1615.46,
1541945087000,,,2528.81,
1542016384000,,,482.77,
1542085646000,,,10.55,
1542156560000,,,465.81,
1542228035000,,,829.60,
1542298725000,,,26.32,
1542368660000,,,11.68,
1542440006000,,,8.70,
1542510859000,,,347.97,
1542580287000,,,180.58,
1542652239000,,,346.32,
1542723747000,,,88.06,
1542795271000,,,427.38,
1542866477000,,,355.33,
1542936877000,,,177.79,
1543007269000,,,298.35,
1543077801000,,,,
1543148698000,,,103.92,
1543218413000,,,,
1543289948000,,,187.46,
1543362296000,,,147.72,
1543434172000,,,,
1543504581000,,,1108.80,
1543575859000,,,21.91,
1543646812000,,,648.34,
1543718667000,,,370.63,
1543789997000,,,193.66,
1543862329000,,,,
1543932926000,,,272.52,
1544005220000,,,238.13,
1544076879000,,,1573.73,
1544148198000,,,426.35,
1544220287000,,,527.43,
1544291964000,,,111.67,
1544363331000,,,662.97,
1544433268000,,,743.50,
1544503865000,,,947.73,
1544576147000,,,725.66,
1544647316000,,,137.61,
1544718309000,,,484.39,
1544789693000,,,,
1544860802000,,,15.24,
1544931651000,,,181.08,
1545003100000,,,1549.69,
1545076575000,,,444.12,
1545151038000,,,28.93,
1545224266000,,,716.42,
1545298309000,,,,
1545371765000,,,,
1545444975000,,,,
1545518580000,,,,
1545592165000,,,333.37,
1545664945000,,,823.09,
1545737520000,,,20.91,
1545810031000,,,,
1545883479000,,,,
1545956158000,,,,
1546029906000,,,419.28,
1546103201000,,,6667.29,
1546175667000,,,,
1546247915000,,,,
1546320878000,,,301.25,
1546394518000,,,,
1546466952000,,,1110.18,
1546544000000,,,,
1546622719000,,,,
1546699391000,,,,
1546776424000,,,4.72,
1546854270000,,,18.97,
1546931422000,,,12.43,
1547008514000,,,,
1547086233000,,,,
1547163262000,,,,
1547240860000,,,225.44,
1547318473000,,,,
1547396030000,,,,
1547472692000,,,,
1547549533000,,,436.55,
1547626847000,,,459.31,
1547704633000,,,19.74,
1547781728000,,,,
1547859045000,,,36.38,
1547934719000,,,,
1548012002000,,,187.82,
1548095978000,,,1908.71,
1548180548000,,,239.71,
1548266597000,,,,
1548351788000,,,,
1548436981000,,,432.46,
1548521909000,,,,
1548607305000,,,,
1548695090000,,,,
1548784331000,,,,
1548872168000,,396.01,,
1548959406000,,582.51,,
1549048111000,,149.50,,
1549136870000,,,,
1549225465000,,74.97,,
1549312025000,,874.78,,
1549400397000,,3455.51,,
1549488758000,,1473.31,,
1549576572000,,454.60,,
1549664587000,,,,
1549752194000,,239.03,,
1549853106000,,260.72,,
1549954624000,,400.68,,
1550057114000,,2651.61,,
1550160727000,,11.25,,
1550264379000,,64.06,,
1550367666000,,,,
1550471025000,,,,
1550573262000,,65.35,,
1550675116000,,,,
1550776436000,,2113.72,,
1550878296000,,2361.85,,
1550978228000,,568.80,,
1551078586000,,1481.84,,
1551181750000,,1272.92,,
1551281880000,,573.03,,
1551383524000,,1009.07,,
1551459490000,,878.66,,
1551527005000,,1876.97,,
1551595407000,,5549.87,,
1551662535000,,10.88,,
1551730739000,,5980.15,,
1551798808000,,707.38,,
1551865512000,,1749.52,,
1551932302000,,83.32,,
1551999434000,,7650.73,,
1552066766000,,3104.47,,
1552134613000,,2237.76,,
1552201544000,,1978.48,,
1552268725000,,516.80,,
1552336045000,,102.71,,
1552403003000,,643.86,,
1552470545000,,48.18,,
1552537130000,,,,
1552605435000,,0.00,,
1552671597000,,135.14,,
1552738081000,,,,
1552805598000,,,,
1552872817000,,1025.01,,
1552940619000,,401.31,,
1553008742000,,293.04,,
1553075047000,,114.37,,
1553142018000,,894.50,,
1553209653000,,2361.50,,
1553277395000,,620.67,,
1553344849000,,,,
1553411888000,,96.34,,
1553478679000,,,,
1553546051000,,2231.51,,
1553614241000,,279.80,,
1553681868000,,,,
1553749152000,,935.45,,
1553816450000,,1063.66,,
1553884334000,,4236.98,,
1553953102000,,3671.43,,
1554019932000,,289.96,,
1554086578000,,476.85,,
1554153946000,,,,
1554222678000,,43.02,,
1554290288000,,599.99,,
1554358137000,,223.61,,
1554425436000,,1140.34,,
1554493384000,,3547.93,,
1554559454000,,481.58,,
1554626505000,,969.55,,
1554693632000,,,,
1554760411000,,111.96,,
1554827345000,,43907.44,,
1554894627000,,589.28,,
1554961787000,,2877.97,,
1555029655000,,,,
1555096914000,,2038.05,,
1555163830000,,823.80,,
1555230712000,,489.73,,
1555297496000,,,,
1555364629000,,,,
1555431616000,,263.33,,
1555500111000,,263.88,,
1555566912000,,800.25,,
1555634415000,,680.07,,
1555701653000,,764.20,,
1555769476000,,481.84,,
1555837014000,,741.93,,
1555904097000,,51.54,,
1555970540000,,225.66,,
1556038531000,,308.44,,
1556107407000,,255.54,,
1556173928000,,,,
1556241200000,,342.99,,
1556308450000,,,,
1556374991000,,,,
1556442410000,,45.30,,
1556509346000,,,,
1556576806000,,328.76,,
1556643967000,,505.14,,
1556711534000,,,,
1556778136000,,1.03,,
1556845234000,,,,
1556913235000,,,,
1556979262000,,1431.66,,
1557047080000,,4802.94,,
1557114439000,,144.26,,
1557182260000,,780.58,,
1557249608000,,250.30,,
1557318081000,,634.22,,
1557385675000,,,,
1557453624000,,544.86,,
1557521031000,,,,
1557588222000,,,,
1557655069000,,12514.51,,
1557722567000,,659.41,,
1557790675000,,561.14,,
1557857642000,,313.42,,
1557924398000,,30.21,,
1557992058000,,612.87,,
1558059268000,,,,
1558126732000,,,,
1558194179000,,3.43,,
1558262228000,,,,
1558329711000,,1290.56,,
1558397321000,,,,
1558466162000,,,,
1558533192000,,,,
1558601405000,,,,
1558669169000,,,,
1558736680000,,10.43,,
1558803191000,,,,
1558871016000,,249.44,,
1558937464000,,355.39,,
1559004601000,,,,
1559072957000,,,,
1559139434000,,743.35,,
1559206701000,,,,
1559274975000,,191.06,,
1559341699000,,466.85,,
1559409902000,,35.77,,
1559477256000,,361.68,,
1559545066000,,,,
1559613008000,,,,
1559680478000,,684.32,,
1559748180000,,284.71,,
1559815480000,,62.44,,
1559882780000,,25.11,,
1559950737000,,87.21,,
1560018665000,,95.38,,
1560086804000,,13.00,,
1560153643000,,,,
1560221421000,,19.12,,
1560289199000,,76.04,,
1560356878000,,,,
1560423930000,,,,
1560491307000,,11.35,,
1560558991000,,,,
1560626789000,,5.34,,
1560694377000,,,,
1560761916000,,,,
1560829590000,,37.61,,
1560897457000,,,,
1560964413000,,71.44,,
1561032579000,,,,
1561100149000,,,,
1561168282000,,,,
1561234762000,,,,
1561302398000,,180.43,,
1561369418000,,,,
1561436953000,,379.49,,
1561504004000,,,,
1561570799000,,,,
1561638755000,,,,
1561706755000,,,,
1561774045000,,81.28,,
1561840989000,,,,
1561907952000,,344.39,,
1561975491000,,7533.61,,
1562042620000,,9420.40,,
1562110262000,,12391.43,,
1562178137000,,4589.28,,
1562245083000,,12349.34,,
1562312263000,,14468.37,,
1562380043000,,3504.76,,
1562446275000,,4789.20,,
1562513829000,,1452.31,,
1562580710000,,1545.77,,
1562647935000,,9787.90,,
1562714668000,,1278.92,,
1562782053000,,946.22,,
1562848961000,,5103.18,,
1562916876000,,1237.16,,
1562984792000,,,,
1563051887000,,1857.07,,
1563118325000,,2028.59,,
1563185341000,,791.17,,
1563253666000,,636.45,,
1563322130000,,4024.18,,
1563390506000,,930.25,,
1563456683000,,461.16,,
1563524083000,,,,
1563591824000,,,,
1563657984000,,1672.35,,
1563725454000,,,,
1563792449000,,448.37,,
1563858874000,,503.10,,
1563925785000,,,,
1563992752000,608.19,,,
1564060720000,68.23,,,
1564128623000,,,,
1564194770000,273.28,,,
1564261351000,,,,
1564329190000,,,,
1564395991000,196.49,,,
1564463477000,8.68,,,
1564530020000,,,,
1564597821000,453.59,,,
1564665039000,849.10,,,
1564732022000,,,,
1564799107000,,,,
1564865751000,452.40,,,
1564932781000,43.68,,,
1564999286000,,,,
1565066439000,1547.05,,,
1565133760000,471.35,,,
1565200774000,5511.69,,,
1565267861000,189.00,,,
1565334762000,188.62,,,
1565401917000,,,,
1565468754000,,,,
1565536629000,,,,
1565603145000,,,,
1565669720000,,,,
1565737101000,1165.74,,,
1565803734000,,,,
1565871010000,,,,
1565938594000,,,,
1566005643000,,,,
1566071734000,,,,
1566139968000,,,,
1566206924000,,,,
1566273958000,,,,
1566340899000,,,,
1566408719000,,,,
1566474986000,,,,
1566542876000,,,,
1566609532000,,,,
1566677699000,,,,
1566744845000,,,,
1566811311000,,,,
1566879172000,490.80,,,
1566946162000,242.84,,,
1567013670000,,,,
1567080503000,,,,
1567147214000,,,,
1567214663000,,,,
1567281961000,,,,
1567349460000,,,,
1567416716000,,,,
1567484031000,,,,
1567551463000,,,,
1567619231000,,,,
1567685589000,994.32,,,
1567753902000,,,,
1567820847000,164.43,,,
1567887785000,1062.00,,,
1567955110000,404.12,,,
1568023141000,,,,
1568089878000,,,,
1568157833000,,,,
1568225074000,7564.70,,,
1568292523000,,,,
1568360055000,,,,
1568427970000,387.27,,,
1568495114000,,,,
1568562808000,,,,
1568630407000,,,,
1568696458000,,,,
1568764187000,1021690.06,,,
1568830698000,1261.44,,,
1568898597000,,,,
1568967137000,,,,
1569034094000,,,,
