timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1568360055000,,,
1568427970000,,,
1568495114000,,,
1568562808000,688.94,,
1568630407000,674.47,,
1568696458000,460.57,,
1568764187000,2695.32,,
1568830698000,611.47,,
1568898597000,992.02,,
1568967137000,608.74,,
1569034094000,721.89,,
1569100750000,363.78,,
1569168482000,497.50,,
1569236030000,251.15,,
1569303544000,964.98,,
1569371996000,5279.37,,
1569439704000,2837.36,,
1569507924000,314.30,,
1569575662000,,3235.03,
1569642495000,,1647.30,
1569709939000,,618.78,
1569777994000,,1265.56,
1569845721000,,1261.69,
1569912741000,,894.49,
1569979950000,,593.43,
1570047984000,,30.03,
