timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1553411888000,,,
1553478679000,,11825.45,
1553546051000,,2072.42,
1553614241000,,4175.86,
1553681868000,,647.48,
1553749152000,,3050.33,
1553816450000,,1873.62,
1553884334000,,5782.33,
1553953102000,,1990.52,
1554019932000,,1688.32,
1554086578000,,1802.35,
1554153946000,,29.99,
1554222678000,,664.77,
1554290288000,,74.61,
1554358137000,,772.86,
1554425436000,,1374.01,
1554493384000,,887.35,
1554559454000,,,
1554626505000,,459.93,
1554693632000,,1735.35,
1554760411000,,207.35,
1554827345000,,884.38,
1554894627000,,1469.42,
1554961787000,,2888.09,
1555029655000,,577.36,
1555096914000,,397.51,
1555163830000,,292.97,
1555230712000,,668.84,
1555297496000,,196.82,
1555364629000,,62.58,
1555431616000,,247.46,
1555500111000,,,
1555566912000,,2.66,
1555634415000,,7.87,
1555701653000,,236.13,
1555769476000,,527.34,
1555837014000,,10.00,
1555904097000,,44.25,
1555970540000,,3568.72,
1556038531000,,207.64,
1556107407000,,610.63,
1556173928000,,154.05,
1556241200000,,376.08,
1556308450000,,161.33,
1556374991000,,5876.34,
1556442410000,,1189.00,
1556509346000,,97.14,
1556576806000,,,
1556643967000,,,
1556711534000,,735.47,
1556778136000,,59.56,
1556845234000,,2640.78,
1556913235000,,151.20,
1556979262000,,10.91,
1557047080000,,48.37,
1557114439000,,337.27,
1557182260000,,48.43,
1557249608000,,17.06,
1557318081000,,,
1557385675000,,3125378.60,
1557453624000,,514.19,
1557521031000,,,
1557588222000,,22.78,
1557655069000,,955.97,
1557722567000,,14.47,
1557790675000,,,
1557857642000,,1235.54,
1557924398000,,1733.01,
1557992058000,,9.03,
1558059268000,,1.37,
1558126732000,,3.43,
1558194179000,,,
1558262228000,,,
1558329711000,,1058.02,
1558397321000,,140.24,
1558466162000,,356.48,
1558533192000,,56.00,
1558601405000,,269.66,
1558669169000,,212.26,
1558736680000,,707.62,
1558803191000,,867.82,
1558871016000,,974.88,
1558937464000,,5141.08,
1559004601000,,1584.88,
1559072957000,,195.95,
1559139434000,,162.68,
1559206701000,,1147.69,
1559274975000,,329.66,
1559341699000,,63.76,
1559409902000,,24.86,
1559477256000,,512.22,
1559545066000,,,
1559613008000,,331.21,
1559680478000,,125.80,
1559748180000,,,
1559815480000,,13.83,
1559882780000,,36.15,
1559950737000,,,
1560018665000,,142.96,
1560086804000,,393.90,
1560153643000,,17.61,
1560221421000,,36.06,
1560289199000,,4.16,
1560356878000,,,
1560423930000,,,
1560491307000,,18.39,
1560558991000,,446.31,
1560626789000,,41.62,
1560694377000,,,
1560761916000,,5.00,
1560829590000,,1049.71,
1560897457000,,,
1560964413000,,111.75,
1561032579000,,,
1561100149000,,115.82,
1561168282000,,,
1561234762000,,67.31,
1561302398000,,117.58,
1561369418000,,133.11,
1561436953000,,3.44,
1561504004000,,13.78,
1561570799000,,,
1561638755000,,342.91,
1561706755000,,40.59,
1561774045000,,,
1561840989000,,,
1561907952000,,898.26,
1561975491000,,,
1562042620000,,766.29,
1562110262000,,0.08,
1562178137000,,4.08,
1562245083000,,,
1562312263000,,,
1562380043000,,,
1562446275000,,12.82,
1562513829000,,,
1562580710000,,881.41,
1562647935000,,327.10,
1562714668000,,516.17,
1562782053000,,596.13,
1562848961000,,26.34,
1562916876000,,60.41,
1562984792000,,,
1563051887000,,,
1563118325000,,182.04,
1563185341000,,,
1563253666000,,1226.70,
1563322130000,,,
1563390506000,,71.67,
1563456683000,,42.14,
1563524083000,,89.22,
1563591824000,,,
1563657984000,,,
1563725454000,,,
1563792449000,,,
1563858874000,,781.72,
1563925785000,1098.97,,
1563992752000,51.32,,
1564060720000,2116.65,,
1564128623000,692.35,,
1564194770000,717.92,,
1564261351000,68.70,,
1564329190000,,,
1564395991000,345.13,,
1564463477000,1.00,,
1564530020000,0.08,,
1564597821000,,,
1564665039000,358.04,,
1564732022000,28.81,,
1564799107000,,,
1564865751000,,,
1564932781000,,,
1564999286000,,,
1565066439000,3.27,,
1565133760000,8915.27,,
1565200774000,100.58,,
1565267861000,,,
1565334762000,0.00,,
1565401917000,530.02,,
1565468754000,146.25,,
1565536629000,,,
1565603145000,342.76,,
1565669720000,145.80,,
1565737101000,50.00,,
1565803734000,25.36,,
1565871010000,,,
1565938594000,94.19,,
1566005643000,344.05,,
1566071734000,,,
1566139968000,60.90,,
1566206924000,138.53,,
1566273958000,78.10,,
1566340899000,,,
1566408719000,0.00,,
1566474986000,184.65,,
1566542876000,125.67,,
1566609532000,51.74,,
1566677699000,,,
1566744845000,91.06,,
1566811311000,46.41,,
1566879172000,,,
1566946162000,3073.71,,
1567013670000,317.04,,
1567080503000,633.73,,
1567147214000,,,
1567214663000,4344.94,,
1567281961000,238.05,,
1567349460000,1215.05,,
1567416716000,92.48,,
1567484031000,492.95,,
1567551463000,,,
1567619231000,946.08,,
1567685589000,169.73,,
1567753902000,68.26,,
1567820847000,,,
1567887785000,,,
1567955110000,142.47,,
1568023141000,,,
1568089878000,,,
1568157833000,,,
1568225074000,,,
1568292523000,,,
1568360055000,2526.50,,
1568427970000,155.75,,
1568495114000,260.07,,
1568562808000,322.98,,
1568630407000,199.16,,
1568696458000,,,
1568764187000,364.98,,
1568830698000,,,
1568898597000,0.69,,
1568967137000,,,
1569034094000,237.75,,
1569100750000,60.46,,
1569168482000,55.13,,
1569236030000,,,
1569303544000,1.00,,
1569371996000,,,
1569439704000,,,
1569507924000,47.96,,
1569575662000,,,
1569642495000,,,
1569709939000,,,
1569777994000,,,
1569845721000,,,
1569912741000,,,
1569979950000,,,
1570047984000,,,44.35
