timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1552268725000,,,,
1552336045000,,,183000.80,
1552403003000,,,55963.58,
1552470545000,,,88049.23,
1552537130000,,,56159.97,
1552605435000,,,41283.21,
1552671597000,,,30327.78,
1552738081000,,,22529.55,
1552805598000,,,19326.74,
1552872817000,,,47438.20,
1552940619000,,,18762.94,
1553008742000,,,23290.57,
1553075047000,,,17629.42,
1553142018000,,,39248.40,
1553209653000,,,48304.74,
1553277395000,,,27092.62,
1553344849000,,,52563.16,
1553411888000,,,22479.29,
1553478679000,,,32034.51,
1553546051000,,,28921.00,
1553614241000,,,22135.42,
1553681868000,,,40448.54,
1553749152000,,,19991.97,
1553816450000,,,60480.50,
1553884334000,,,24558.61,
1553953102000,,,8592.80,
1554019932000,,,47674.92,
1554086578000,,,79763.20,
1554153946000,,,50227.78,
1554222678000,,,71649.10,
1554290288000,,,60563.96,
1554358137000,,,55073.24,
1554425436000,,,15374.41,
1554493384000,,,24108.24,
1554559454000,,,20107.53,
1554626505000,,,29979.68,
1554693632000,,,42585.83,
1554760411000,,,67085.96,
1554827345000,,,9145.56,
1554894627000,,,23666.15,
1554961787000,,,23333.69,
1555029655000,,,41857.71,
1555096914000,,,10066.62,
1555163830000,,,18131.26,
1555230712000,,,19900.11,
1555297496000,,,19782.54,
1555364629000,,,11713.62,
1555431616000,,,12479.37,
1555500111000,,,21097.84,
1555566912000,,,32839.52,
1555634415000,,,7496.58,
1555701653000,,,17904.78,
1555769476000,,,32497.05,
1555837014000,,,22056.45,
1555904097000,,,22308.93,
1555970540000,,,26910.02,
1556038531000,,,14543.90,
1556107407000,,,21297.52,
1556173928000,,,11812.21,
1556241200000,,,20998.32,
1556308450000,,,22179.87,
1556374991000,,,8283.97,
1556442410000,,,13435.41,
1556509346000,,,8824.97,
1556576806000,,,6563.00,
1556643967000,,,16696.54,
1556711534000,,,16443.98,
1556778136000,,,7784.06,
1556845234000,,,35686.88,
1556913235000,,,17923.11,
1556979262000,,,17776.42,
1557047080000,,,44458.66,
1557114439000,,,14402.46,
1557182260000,,,32115.03,
1557249608000,,,32343.13,
1557318081000,,,26563.37,
1557385675000,,,20275.69,
1557453624000,,,13439.05,
1557521031000,,,36780.89,
1557588222000,,,38784.21,
1557655069000,,,35562.79,
1557722567000,,,22952.26,
1557790675000,,,26268.98,
1557857642000,,,67686.25,
1557924398000,,,80393.16,
1557992058000,,,55023.29,
1558059268000,,,32256.16,
1558126732000,,,40324.86,
1558194179000,,,32680.54,
1558262228000,,,45214.08,
1558329711000,,,17880.74,
1558397321000,,,11777.33,
1558466162000,,,22273.57,
1558533192000,,,14244.54,
1558601405000,,,10081.49,
1558669169000,,,7535.04,
1558736680000,,,15523.29,
1558803191000,,,12230.38,
1558871016000,,,134049.96,
1558937464000,,,43144.01,
1559004601000,,,22142.84,
1559072957000,,,11351.84,
1559139434000,,,13861.28,
1559206701000,,,14930.95,
1559274975000,,,19741.57,
1559341699000,,,16477.95,
1559409902000,,,5245.96,
1559477256000,,,13735.20,
1559545066000,,,10012.18,
1559613008000,,,8895.33,
1559680478000,,,22258.03,
1559748180000,,,9407.28,
1559815480000,,,8646.02,
1559882780000,,,6239.16,
1559950737000,,,9597.30,
1560018665000,,,8113.35,
1560086804000,,,6346.58,
1560153643000,,,9766.88,
1560221421000,,,10257.35,
1560289199000,,,4248.88,
1560356878000,,,17027.13,
1560423930000,,,9546.49,
1560491307000,,,14954.55,
1560558991000,,,31000.57,
1560626789000,,,18205.03,
1560694377000,,,40010.58,
1560761916000,,,26015.10,
1560829590000,,,9322.50,
1560897457000,,,5448.71,
1560964413000,,,8029.72,
1561032579000,,,4786.88,
1561100149000,,,12081.83,
1561168282000,,,18040.23,
1561234762000,,,20681.40,
1561302398000,,,13773.36,
1561369418000,,,12972.07,
1561436953000,,,6592.65,
1561504004000,,,4541.70,
1561570799000,,,7369.72,
1561638755000,,,10369.57,
1561706755000,,,7448.09,
1561774045000,,,4962.90,
1561840989000,,,7631.94,
1561907952000,,,988.75,
1561975491000,,,2264.54,
1562042620000,,,1724.04,
1562110262000,,,4677.02,
1562178137000,,,5712.67,
1562245083000,,,3103.38,
1562312263000,,,2058.59,
1562380043000,,,3646.05,
1562446275000,,,4623.98,
1562513829000,,,4261.46,
1562580710000,,,6178.58,
1562647935000,,,1107.42,
1562714668000,,,1529.21,
1562782053000,,,3554.46,
1562848961000,,,1023.31,
1562916876000,,,3720.54,
1562984792000,,,5701.05,
1563051887000,,,3271.38,
1563118325000,,,1358.15,
1563185341000,,,1334.91,
1563253666000,,,3230.90,
1563322130000,,,5534.89,
1563390506000,,,7880.63,
1563456683000,,,5411.47,
1563524083000,,,9078.23,
1563591824000,,,2333.77,
1563657984000,,,7497.84,
1563725454000,,,6661.97,
1563792449000,,,2812.71,
1563858874000,,,10512.70,
1563925785000,,819.31,6415.74,
1563992752000,,18795.98,,
1564060720000,,5582.84,,
1564128623000,,8784.95,,
1564194770000,,5086.92,,
1564261351000,,4977.13,,
1564329190000,,2563.70,,
1564395991000,,3991.13,,
1564463477000,,4099.93,,
1564530020000,,7630.57,,
1564597821000,,4188.78,,
1564665039000,,2515.34,,
1564732022000,,5579.70,,
1564799107000,,2354.18,,
1564865751000,,2789.81,,
1564932781000,,11044.47,,
1564999286000,,15967.95,,
1565066439000,,7006.96,,
1565133760000,,4293.73,,
1565200774000,,4032.83,,
1565267861000,,2441.07,,
1565334762000,,39130.78,,
1565401917000,,23560.61,,
1565468754000,,509.96,,
1565536629000,,3241.04,,
1565603145000,,4328.33,,
1565669720000,,2169.15,,
1565737101000,,5919.64,,
1565803734000,,11722.27,,
1565871010000,,3772.67,,
1565938594000,,24531.15,,
1566005643000,,40243.32,,
1566071734000,,2947.30,,
1566139968000,,6880.77,,
1566206924000,,5435.13,,
1566273958000,,3124.76,,
1566340899000,,3400.34,,
1566408719000,,4081.67,,
1566474986000,,2259.80,,
1566542876000,,8912.54,,
1566609532000,,4928.15,,
1566677699000,,2824.80,,
1566744845000,,2523.77,,
1566811311000,,725.08,,
1566879172000,,4894.54,,
1566946162000,,9809.83,,
1567013670000,,6720.31,,
1567080503000,,7920.15,,
1567147214000,,9096.48,,
1567214663000,,2544.47,,
1567281961000,,535.77,,
1567349460000,,1993.88,,
1567416716000,,1529.23,,
1567484031000,,4466.47,,
1567551463000,,6396.49,,
1567619231000,,4081.05,,
1567685589000,,1360.40,,
1567753902000,,1130.61,,
1567820847000,,1456.63,,
1567887785000,,3320.19,,
1567955110000,,1860.04,,
1568023141000,,772.04,,
1568089878000,,384.71,,
1568157833000,,191.36,,
1568225074000,,538.03,,
1568292523000,,165.63,,
1568360055000,,30.80,,
1568427970000,,232.94,,
1568495114000,,3243.72,,
1568562808000,,1587.34,,
1568630407000,,1995.16,,
1568696458000,,690.83,,
1568764187000,,1264.36,,
1568830698000,,2453.77,,
1568898597000,,226.29,,
1568967137000,,342.42,,
1569034094000,,184.88,,
1569100750000,,573.74,,
1569168482000,,464.32,,
1569236030000,,685.89,,
1569303544000,,1055.18,,
1569371996000,,6471.36,,
1569439704000,,659.55,,
1569507924000,,659.80,,
1569575662000,1467.61,,,
1569642495000,262.34,,,
1569709939000,2337.10,,,
1569777994000,555.96,,,
1569845721000,535.20,,,
1569912741000,125.89,,,
1569979950000,835.24,,,
1570047984000,326.53,,,
1570116154000,1398.94,,,
