timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,,
1529459855000,,,,,1416.88,
1529534480000,,,,,1674.96,
1529607759000,,,,,326.67,
1529682434000,,,,,654.00,
1529756296000,,,,,8439.48,
1529828276000,,,,,985.49,
1529902416000,,,,,375.68,
1529979078000,,,,,1456.93,
1530054421000,,,,,0.70,
1530128282000,,,,,1412.98,
1530203197000,,,,,1386.61,
1530278431000,,,,,162.04,
1530351013000,,,,,792.95,
1530426268000,,,,,71.42,
1530499615000,,,,,141.06,
1530572217000,,,,,,
1530646642000,,,,,,
1530720604000,,,,,,
1530794550000,,,,,671.68,
1530868977000,,,,,,
1530942968000,,,,,,
1531017892000,,,,,153.74,
1531093254000,,,,,26.39,
1531167486000,,,,,33.10,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,7.52,
1531459813000,,,,,982.87,
1531532086000,,,,,,
1531603912000,,,,,479.00,
1531675397000,,,,,,
1531748307000,,,,,5.19,
1531822417000,,,,,202.36,
1531896343000,,,,,1032.90,
1531971151000,,,,,163.20,
1532045631000,,,,,26.84,
1532118564000,,,,,118.10,
1532191928000,,,,,21.10,
1532264894000,,,,,10.42,
1532336677000,,,,,216.60,
1532411124000,,,,,292.81,
1532485297000,,,,,971.33,
1532558514000,,,,,,
1532632522000,,,,,8.23,
1532706031000,,,,,3.18,
1532778335000,,,,,14.44,
1532849626000,,,,,1883.68,
1532921962000,,,,,523.02,
1532994160000,,,,,472.21,
1533067467000,,,,,,
1533141286000,,,,,1370.36,
1533214941000,,,,,1017.69,
1533288091000,,,,,869.78,
1533360489000,,,,,3498.19,
1533432998000,,,,,5250.00,
1533505953000,,,,,12666.38,
1533578575000,,,,,1822.22,
1533651925000,,,,,365.43,
1533724916000,,,,,,
1533797508000,,,,,249.45,
1533870537000,,,,,2058.04,
1533943288000,,,,,2213.38,
1534016212000,,,,,1687.64,
1534090711000,,,,,,
1534163628000,,,,,,
1534236905000,,,,,2984.77,
1534309134000,,,,,5160.86,
1534381971000,,,,,1988.35,
1534454722000,,,,,787.91,
1534527690000,,,,,183.45,
1534602524000,,,,,695.41,
1534675224000,,,,,182.00,
1534747701000,,,,,564.47,
1534820720000,,,,,1460.77,
1534892931000,,,,,2245.24,
1534965694000,,,,,4181.18,
1535039951000,,,,,1604.88,
1535112747000,,,,,921.29,
1535185292000,,,,,721.94,
1535257864000,,,,,,
1535331135000,,,,,,
1535403660000,,,,,1544.66,
1535477339000,,,,,1754.19,
1535550907000,,,,,1920.51,
1535623054000,,,,,238.93,
1535695540000,,,,,1026.16,
1535768227000,,,,,3129.83,
1535842094000,,,,,998.33,
1535914482000,,,,,862.77,
1535987210000,,,,,233.06,
1536059758000,,,,,2423.66,
1536132247000,,,,,373.29,
1536204432000,,,,,4753.66,
1536276091000,,,,,305.95,
1536348963000,,,,,,
1536421628000,,,,,385.50,
1536495403000,,,,,2386.40,
1536568351000,,,,,1643.57,
1536639507000,,,,,3570.77,
1536711510000,,,,,5026.12,
1536783125000,,,,,73.47,
1536854753000,,,,,1213.68,
1536925887000,,,,,41.24,
1536997175000,,,,,2.32,
1537069009000,,,,,,
1537139381000,,,,,239.96,
1537210708000,,,,,2085.56,
1537282705000,,,,,864.27,
1537353835000,,,,,272.22,
1537424834000,,,,,543.49,
1537497361000,,,,,1987.36,
1537568218000,,,,,56.73,
1537639728000,,,,,42.18,
1537710354000,,,,,324.63,
1537781366000,,,,,1683.60,
1537852317000,,,,,4699.57,
1537922897000,,,,,2264.67,
1537993834000,,,,,372.21,
1538065170000,,,,,6539.35,
1538135659000,,,,,1500.89,
1538207020000,,,,,1120.22,
1538277094000,,,,,3290.57,
1538348235000,,,,,2988.95,
1538418856000,,,,,6665.74,
1538489640000,,,,,602.56,
1538560179000,,,,,2308.12,
1538631256000,,,,,847.29,
1538700722000,,,,,4128.57,
