timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1529385239000,,,,,
1529459855000,,,426.91,,
1529534480000,,,3250.87,,
1529607759000,,,5152.83,,
1529682434000,,,1825.04,,
1529756296000,,,4865.18,,
1529828276000,,,4019.98,,
1529902416000,,,6559.91,,
1529979078000,,,20226.14,,
1530054421000,,,2660.09,,
1530128282000,,,4856.48,,
1530203197000,,,,,
1530278431000,,,6290.87,,
1530351013000,,,7625.12,,
1530426268000,,,5545.33,,
1530499615000,,,6861.17,,
1530572217000,,,8254.17,,
1530646642000,,,4158.56,,
1530720604000,,,27910.99,,
1530794550000,,,3930.70,,
1530868977000,,,16132.66,,
1530942968000,,,11477.44,,
1531017892000,,,6340.44,,
1531093254000,,,402.58,,
1531167486000,,,22.67,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,1443.72,,
1531459813000,,,1457.85,,
1531532086000,,,3856.59,,
1531603912000,,,,,
1531675397000,,,,,
1531748307000,,,3875.38,,
1531822417000,,,5053.22,,
1531896343000,,,16221.70,,
1531971151000,,,1952.57,,
1532045631000,,,1324.94,,
1532118564000,,,7290.66,,
1532191928000,,,1045.11,,
1532264894000,,,8250.54,,
1532336677000,,,1898.35,,
1532411124000,,,5943.67,,
1532485297000,,,24404.17,,
1532558514000,,,14182.47,,
1532632522000,,,8723.25,,
1532706031000,,,4871.43,,
1532778335000,,,4337.60,,
1532849626000,,,756.38,,
1532921962000,,,1304.67,,
1532994160000,,,4968.98,,
1533067467000,,,1673.25,,
1533141286000,,,8074.86,,
1533214941000,,,3190.40,,
1533288091000,,,6303.49,,
1533360489000,,,3222.23,,
1533432998000,,,4145.64,,
1533505953000,,,7733.12,,
1533578575000,,,509.90,,
1533651925000,,,9862.81,,
1533724916000,,,2310.19,,
1533797508000,,,5779.18,,
1533870537000,,,1331.67,,
1533943288000,,,1548.60,,
1534016212000,,,6689.83,,
1534090711000,,,4239.01,,
1534163628000,,,638.38,,
1534236905000,,,7873.73,,
1534309134000,,,12231.36,,
1534381971000,,,9951.20,,
1534454722000,,,50.54,,
1534527690000,,,9358.01,,
1534602524000,,,8061.93,,
1534675224000,,,3534.18,,
1534747701000,,,11915.25,,
1534820720000,,,3680.02,,
1534892931000,,,3920.38,,
1534965694000,,,4339.95,,
1535039951000,,,7752.63,,
1535112747000,,,38163.35,,
1535185292000,,,28713.94,,
1535257864000,,,6022.64,,
1535331135000,,,17114.63,,
1535403660000,,,11483.77,,
1535477339000,,,6222.10,,
1535550907000,,,15496.84,,
1535623054000,,,9810.77,,
1535695540000,,,7870.13,,
1535768227000,,,8280.49,,
1535842094000,,,5849.83,,
1535914482000,,,4623.67,,
1535987210000,,,7627.65,,
1536059758000,,,1289.83,,
1536132247000,,,2013.59,,
1536204432000,,,22724.81,,
1536276091000,,,1209.99,,
1536348963000,,,2545.03,,
1536421628000,,,623.60,,
1536495403000,,,1169.56,,
1536568351000,,,4167.80,,
1536639507000,,,2011.84,,
1536711510000,,,6142.44,,
1536783125000,,,4918.71,,
1536854753000,,,6146.62,,
1536925887000,,,3064.13,,
1536997175000,,,2763.73,,
1537069009000,,,2821.35,,
1537139381000,,,24798.44,,
1537210708000,,,24570.95,,
1537282705000,,,7929.71,,
1537353835000,,,235.79,,
1537424834000,,,6010.16,,
1537497361000,,,11748.18,,
1537568218000,,,20283.45,,
1537639728000,,,2543.93,,
1537710354000,,,368.12,,
1537781366000,,,27625.28,,
1537852317000,,,8063.99,,
1537922897000,,,11862.00,,
1537993834000,,,3688.25,,
1538065170000,,,4096.86,,
1538135659000,,,2507.95,,
1538207020000,,,15917.81,,
1538277094000,,,13401.62,,
1538348235000,,,1457.90,,
1538418856000,,,1462.66,,
1538489640000,,,1362.51,,
1538560179000,,,2917.41,,
1538631256000,,,2750.18,,
1538700722000,,,0.14,,
1538771727000,,,5871.49,,
1538841320000,,,9801.92,,
1538911026000,,,8024.08,,
1538980216000,,,1189.52,,
1539049430000,,,3448.67,,
1539120813000,,,949.54,,
1539190730000,,,13339.61,,
1539260859000,,,7372.95,,
1539330275000,,,4739.51,,
1539400992000,,,670.52,,
1539470509000,,,20024.26,,
1539541019000,,,26264.60,,
1539611779000,,,50221.64,,
1539682267000,,,40971.92,,
1539752649000,,,44237.30,,
1539822973000,,,24117.06,,
1539893301000,,,16562.71,,
1539964665000,,,40838.94,,
1540035461000,,,6079.43,,
1540105380000,,,2971.16,,
1540175783000,,,4209.55,,
1540247628000,,,14727.00,,
1540317582000,,,8976.17,,
1540388140000,,,2879.34,,
1540458691000,,,5485.47,,
1540528530000,,,1274.55,,
1540599331000,,,4393.64,,
1540669979000,,,5937.30,,
1540740577000,,,579.33,,
1540812281000,,,2243.01,,
1540882459000,,,10607.72,,
1540953530000,,,7098.61,,
1541023512000,,,14158.16,,
1541094934000,,,11587.02,,
1541166376000,,,4910.43,,
1541237446000,,,2873.21,,
1541307140000,,,3628.16,,
1541378245000,,,9371.53,,
1541449770000,,,5874.63,,
1541521033000,,,10435.99,,
1541592294000,,,4940.24,,
1541662439000,,,6176.03,,
1541733218000,,,1445.78,,
1541804044000,,,3711.30,,
1541874538000,,,1103.03,,
1541945087000,,,1021.51,,
1542016384000,,,2304.28,,
1542085646000,,,2544.07,,
1542156560000,,,4218.93,,
1542228035000,,,8526.47,,
1542298725000,,,9246.50,,
1542368660000,,,6253.16,,
1542440006000,,,2668.05,,
1542510859000,,,24.38,,
1542580287000,,,1490.21,,
1542652239000,,,90591.45,,
1542723747000,,,309360.36,,
