timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1556038531000,,,,
1556107407000,,6976.96,,
1556173928000,,610.96,,
1556241200000,,124.54,,
1556308450000,,149.86,,
1556374991000,,,,
1556442410000,,,,
1556509346000,,,,
1556576806000,,131.61,,
1556643967000,,,,
1556711534000,,,,
1556778136000,,,,
1556845234000,,155.32,,
1556913235000,,1202.37,,
1556979262000,,1153.61,,
1557047080000,,215.85,,
1557114439000,,,,
1557182260000,,598.41,,
1557249608000,,840.46,,
1557318081000,,293.90,,
1557385675000,,643.31,,
1557453624000,,2886.04,,
1557521031000,,281.46,,
1557588222000,,2087.19,,
1557655069000,,1042.57,,
1557722567000,,,,
1557790675000,,1360.70,,
1557857642000,,964.57,,
1557924398000,,1786.07,,
1557992058000,,1598.36,,
1558059268000,,1675.63,,
1558126732000,,256.66,,
1558194179000,,167.25,,
1558262228000,,516.59,,
1558329711000,,385.93,,
1558397321000,,142.15,,
1558466162000,,,,
1558533192000,,187.26,,
1558601405000,,456.48,,
1558669169000,,174.48,,
1558736680000,,,,
1558803191000,,,,
1558871016000,,,,
1558937464000,,549.13,,
1559004601000,,220.29,,
1559072957000,,,,
1559139434000,,115.13,,
1559206701000,,639.79,,
1559274975000,,1178.87,,
1559341699000,,169.45,,
1559409902000,,283.02,,
1559477256000,,97.34,,
1559545066000,,,,
1559613008000,,119.26,,
1559680478000,,,,
1559748180000,,,,
1559815480000,,,,
1559882780000,,272.23,,
1559950737000,,,,
1560018665000,,,,
1560086804000,,,,
1560153643000,,262.62,,
1560221421000,,,,
1560289199000,,178.61,,
1560356878000,,250.45,,
1560423930000,,484.72,,
1560491307000,,624.13,,
1560558991000,,661.16,,
1560626789000,,,,
1560694377000,,757.71,,
1560761916000,,161.27,,
1560829590000,,231.79,,
1560897457000,,364.39,,
1560964413000,,,,
1561032579000,,361.77,,
1561100149000,,516.09,,
1561168282000,,3721.85,,
1561234762000,,1388.34,,
1561302398000,,289.78,,
1561369418000,,393.82,,
1561436953000,,124.20,,
1561504004000,,837.34,,
1561570799000,,2108.74,,
1561638755000,,2264.91,,
1561706755000,,1262.43,,
1561774045000,,805.72,,
1561840989000,,460.61,,
1561907952000,,2855.02,,
1561975491000,,900.52,,
1562042620000,,745.84,,
1562110262000,,685.90,,
1562178137000,,1623.20,,
1562245083000,,555.25,,
1562312263000,,501.93,,
1562380043000,,167.80,,
1562446275000,,416.25,,
1562513829000,,,,
1562580710000,,446.00,,
1562647935000,,1262.38,,
1562714668000,,619.16,,
1562782053000,,1063.51,,
1562848961000,,1202.38,,
1562916876000,,1466.81,,
1562984792000,,144.74,,
1563051887000,,386.93,,
1563118325000,,1713.05,,
1563185341000,,1052.70,,
1563253666000,,734.00,,
1563322130000,,426.43,,
1563390506000,,928.49,,
1563456683000,,589.00,,
1563524083000,,1216.32,,
1563591824000,,170.68,,
1563657984000,,609.17,,
1563725454000,,,,
1563792449000,,137.16,,
1563858874000,,,,
1563925785000,305.58,,,
1563992752000,788.11,,,
1564060720000,860.63,,,
1564128623000,,,,
1564194770000,550.85,,,
1564261351000,,,,
1564329190000,270.47,,,
1564395991000,146.03,,,
1564463477000,,,,
1564530020000,,,,
1564597821000,487.06,,,
1564665039000,384.81,,,
1564732022000,873.67,,,
1564799107000,353.40,,,
1564865751000,488.05,,,
1564932781000,,,,
1564999286000,1500.21,,,
1565066439000,278.27,,,
1565133760000,1194.59,,,
1565200774000,1004.60,,,
1565267861000,,,,
1565334762000,731.20,,,
1565401917000,944.85,,,
1565468754000,524.41,,,
1565536629000,417.13,,,
1565603145000,521.12,,,
1565669720000,148.10,,,
1565737101000,157.45,,,
1565803734000,2105.20,,,
1565871010000,440.78,,,
1565938594000,150.89,,,
1566005643000,517.62,,,
1566071734000,157.70,,,
1566139968000,600.30,,,
1566206924000,348.28,,,
1566273958000,438.36,,,
1566340899000,391.55,,,
1566408719000,449.40,,,
1566474986000,526.11,,,
1566542876000,520.94,,,
1566609532000,572.24,,,
1566677699000,518.80,,,
1566744845000,,,,
1566811311000,532.62,,,
1566879172000,,,,
1566946162000,266.05,,,
1567013670000,,,,
1567080503000,1472.56,,,
1567147214000,364.76,,,
1567214663000,319.89,,,
1567281961000,,,,
1567349460000,320.44,,,
1567416716000,312.98,,,
1567484031000,1377.61,,,
1567551463000,629.61,,,
1567619231000,438.50,,,
1567685589000,465.12,,,
1567753902000,392.16,,,
1567820847000,306.60,,,
1567887785000,1018.07,,,
1567955110000,771.31,,,
1568023141000,574.03,,,
1568089878000,861.71,,,
1568157833000,,,,
1568225074000,,,,
1568292523000,478.53,,,
1568360055000,401.41,,,
1568427970000,,,,
1568495114000,511.42,,,
1568562808000,,,,
1568630407000,765.60,,,
1568696458000,521.81,,,
1568764187000,1418.16,,,
1568830698000,526.59,,,
1568898597000,,,,
1568967137000,1056.57,,,
1569034094000,,,,
1569100750000,,,,
1569168482000,,,,
1569236030000,522.31,,,
1569303544000,457.83,,,
1569371996000,1665.75,,,
1569439704000,,,,
1569507924000,668.80,,,
1569575662000,,,531.17,
1569642495000,,,883.76,
1569709939000,,,,
1569777994000,,,0.53,
1569845721000,,,,
1569912741000,,,481.74,
1569979950000,,,325.86,
1570047984000,,,167.38,
