timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,,
1529459855000,,,,,426.73,
1529534480000,,,,,801.91,
1529607759000,,,,,1476.05,
1529682434000,,,,,1170.14,
1529756296000,,,,,2537.14,
1529828276000,,,,,1330.43,
1529902416000,,,,,950.43,
1529979078000,,,,,6145.49,
1530054421000,,,,,1593.59,
1530128282000,,,,,1234.13,
1530203197000,,,,,2650.59,
1530278431000,,,,,1611.29,
1530351013000,,,,,1974.21,
1530426268000,,,,,3508.92,
1530499615000,,,,,1931.59,
1530572217000,,,,,486.91,
1530646642000,,,,,1035.57,
1530720604000,,,,,2472.21,
1530794550000,,,,,7813.10,
1530868977000,,,,,4684.98,
1530942968000,,,,,3676.07,
1531017892000,,,,,1498.76,
1531093254000,,,,,99.99,
1531167486000,,,,,,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,,,340.81,
1531459813000,,,,,1509.74,
1531532086000,,,,,3075.39,
1531603912000,,,,,1143.53,
1531675397000,,,,,1718.10,
1531748307000,,,,,439.93,
1531822417000,,,,,3571.96,
1531896343000,,,,,3630.46,
1531971151000,,,,,2329.31,
1532045631000,,,,,1920.22,
1532118564000,,,,,2196.93,
1532191928000,,,,,5028.46,
1532264894000,,,,,1127.46,
1532336677000,,,,,3058.18,
1532411124000,,,,,2150.09,
1532485297000,,,,,2469.59,
1532558514000,,,,,5557.43,
1532632522000,,,,,1043.92,
1532706031000,,,,,634.32,
1532778335000,,,,,,
1532849626000,,,,,252.87,
1532921962000,,,,,803.94,
1532994160000,,,,,1769.28,
1533067467000,,,,,1320.57,
1533141286000,,,,,1829.01,
1533214941000,,,,,19790.84,
1533288091000,,,,,1263.66,
1533360489000,,,,,1670.17,
1533432998000,,,,,1059.80,
1533505953000,,,,,646.37,
1533578575000,,,,,362.71,
1533651925000,,,,,301.19,
1533724916000,,,,,2288.50,
1533797508000,,,,,947.01,
1533870537000,,,,,1355.04,
1533943288000,,,,,890.74,
1534016212000,,,,,1039.27,
1534090711000,,,,,1038.43,
1534163628000,,,,,1503.27,
1534236905000,,,,,9956.38,
1534309134000,,,,,3729.54,
1534381971000,,,,,1255.21,
1534454722000,,,,,3747.42,
1534527690000,,,,,2667.63,
1534602524000,,,,,14861.75,
1534675224000,,,,,523.81,
1534747701000,,,,,665.33,
1534820720000,,,,,278.64,
1534892931000,,,,,29042.54,
1534965694000,,,,,3693.01,
1535039951000,,,,,2434.45,
1535112747000,,,,,4460.31,
1535185292000,,,,,2548.81,
1535257864000,,,,,1080.35,
1535331135000,,,,,2675.94,
1535403660000,,,,,4363.45,
1535477339000,,,,,2180.36,
1535550907000,,,,,1027.86,
1535623054000,,,,,35.65,
1535695540000,,,,,1092.16,
1535768227000,,,,,254.83,
1535842094000,,,,,1731.47,
1535914482000,,,,,414.64,
1535987210000,,,,,1789.33,
1536059758000,,,,,161.31,
1536132247000,,,,,505.11,
