timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1558937464000,,,,
1559004601000,4294.72,,,
1559072957000,17975.59,,,
1559139434000,8213.86,,,
1559206701000,9659.09,,,
1559274975000,9328.26,,,
1559341699000,3745.14,,,
1559409902000,19998.49,,,
1559477256000,4118.62,,,
1559545066000,3476.76,,,
1559613008000,310.11,,,
1559680478000,890.98,,,
1559748180000,61.55,,,
1559815480000,3421.38,,,
1559882780000,7045.29,,,
1559950737000,1046.88,,,
1560018665000,53.96,,,
1560086804000,494.24,,,
1560153643000,415.75,,,
1560221421000,1336.57,,,
1560289199000,430.10,,,
1560356878000,2482.84,,,
1560423930000,822.97,,,
1560491307000,4695.19,,,
1560558991000,5740.61,,,
1560626789000,5039.46,,,
1560694377000,569.72,,,
1560761916000,5054.36,,,
1560829590000,2518.25,,,
1560897457000,1775.75,,,
1560964413000,897.08,,,
1561032579000,2063.12,,,
1561100149000,1570.42,,,
1561168282000,1356.09,,,
1561234762000,1310.19,,,
1561302398000,350.70,,,
1561369418000,1026.66,,,
1561436953000,654.43,,,
1561504004000,2402.75,,,
1561570799000,396.51,,,
1561638755000,1031.79,,,
1561706755000,1109.91,,,
1561774045000,2290.53,,,
1561840989000,2410.88,,,
1561907952000,262.82,,,
1561975491000,5467.86,,,
1562042620000,1343.61,,,
1562110262000,2726.13,,,
1562178137000,2094.88,,,
1562245083000,2069.64,,,
1562312263000,4100.56,,,
1562380043000,2417.53,,,
1562446275000,5114.22,,,
1562513829000,6428.93,,,
1562580710000,2343.42,,,
1562647935000,17630.12,,,
1562714668000,32261.83,,,
1562782053000,16710.43,,,
1562848961000,6177.15,,,
1562916876000,7474.85,,,
1562984792000,24156.12,,,
1563051887000,2778.51,,,
1563118325000,4468.73,,,
1563185341000,8516.01,,,
1563253666000,2132.54,,,
1563322130000,7614.76,,,
1563390506000,12072.77,,,
1563456683000,11975.76,,,
1563524083000,2741.07,,,
1563591824000,8304.91,,,
1563657984000,1846.47,,,
1563725454000,6798.54,,,
1563792449000,6691.47,,,
1563858874000,,,,
1563925785000,365.76,487.44,,
1563992752000,,2243.42,,
1564060720000,,2509.58,,
1564128623000,,1690.59,,
1564194770000,,1246.99,,
1564261351000,,1643.41,,
1564329190000,,844.39,,
1564395991000,,1440.84,,
1564463477000,,318.10,,
1564530020000,,448.00,,
1564597821000,,51.71,,
1564665039000,,134.35,,
1564732022000,,2016.99,,
1564799107000,,,,
1564865751000,,626.30,,
1564932781000,,,,
1564999286000,,206.80,,
1565066439000,,2891.58,,
1565133760000,,429.47,,
1565200774000,,19.51,,
1565267861000,,285.12,,
1565334762000,,924.96,,
1565401917000,,1366.96,,
1565468754000,,990.23,,
1565536629000,,,,
1565603145000,,2097.38,,
1565669720000,,,,
1565737101000,,6679.69,,
1565803734000,,910.11,,
1565871010000,,3155.82,,
1565938594000,,482.09,,
1566005643000,,1078.64,,
1566071734000,,312.24,,
1566139968000,,482.42,,
1566206924000,,810.33,,
1566273958000,,67.89,,
1566340899000,,,,
1566408719000,,951.76,,
1566474986000,,660.41,,
1566542876000,,2839.08,,
1566609532000,,396.01,,
1566677699000,,484.42,,
1566744845000,,,,
1566811311000,,,,
1566879172000,,915.05,,
1566946162000,,3422.66,,
1567013670000,,1907.68,,
1567080503000,,463.97,,
1567147214000,,4910.08,,
1567214663000,,2811.67,,
1567281961000,,145.42,,
1567349460000,,972.15,,
1567416716000,,808.61,,
1567484031000,,2145.98,,
1567551463000,,4154.13,,
1567619231000,,522.08,,
1567685589000,,5797.86,,
1567753902000,,9917.37,,
1567820847000,,8387.28,,
1567887785000,,5570.42,,
1567955110000,,978.81,,
1568023141000,,1364.11,,
1568089878000,,2751.11,,
1568157833000,,4587.69,,
1568225074000,,1389.04,,
1568292523000,,1059.73,,
1568360055000,,680.13,,
1568427970000,,4138.08,,
1568495114000,,502.55,,
1568562808000,,346.42,,
1568630407000,,2259.71,,
1568696458000,,4646.70,,
1568764187000,,3469.22,,
1568830698000,,2300.14,,
1568898597000,,1940.14,,
1568967137000,,7144.36,,
1569034094000,,7393.76,,
1569100750000,,780.67,,
1569168482000,,156.25,,
1569236030000,,534.31,,
1569303544000,,1743.03,,
1569371996000,,3552.38,,
1569439704000,,655.23,,
1569507924000,,5.26,471.13,
1569575662000,,,2201.54,
1569642495000,,,783.38,
1569709939000,,,3470.77,
1569777994000,,,1410.71,
1569845721000,,,9586.35,
1569912741000,,,11755.68,
1569979950000,,,10656.70,
1570047984000,,,13294.65,
