timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1541874538000,,,,,
1541945087000,,0.11,,,
1542016384000,,68411.69,,,
1542085646000,,23854.24,,,
1542156560000,,11121.00,,,
1542228035000,,4578.93,,,
1542298725000,,607.42,,,
1542368660000,,706.93,,,
1542440006000,,51.84,,,
1542510859000,,18.41,,,
1542580287000,,,,,
1542652239000,,5206.93,,,
1542723747000,,258.39,,,
1542795271000,,171.82,,,
1542866477000,,,,,
1542936877000,,351.11,,,
1543007269000,,,,,
1543077801000,,60.34,,,
1543148698000,,3.37,,,
1543218413000,,195.67,,,
1543289948000,,20.59,,,
1543362296000,,67.76,,,
1543434172000,,135.44,,,
1543504581000,,2076.94,,,
1543575859000,,7.12,,,
1543646812000,,1835.29,,,
1543718667000,,3978.84,,,
1543789997000,,1840.67,,,
1543862329000,,215.87,,,
1543932926000,,714.45,,,
1544005220000,,165.05,,,
1544076879000,,,,,
1544148198000,,1355.49,,,
1544220287000,,549.75,,,
1544291964000,,61.80,,,
1544363331000,,2.54,,,
1544433268000,,3004.53,,,
1544503865000,,300.81,,,
1544576147000,,2.22,,,
1544647316000,,1046.57,,,
1544718309000,,1064.93,,,
1544789693000,,0.02,,,
1544860802000,,,,,
1544931651000,,,,,
1545003100000,,,,,
1545076575000,,2565.39,,,
1545151038000,,93.41,,,
1545224266000,,1824.90,,,
1545298309000,,636.67,,,
1545371765000,,,,,
1545444975000,,,,,
1545518580000,,1372.56,,,
1545592165000,,4.08,,,
1545664945000,,4.20,,,
1545737520000,,,,,
1545810031000,,0.19,,,
1545883479000,,638.82,,,
1545956158000,,106.92,,,
1546029906000,,,,,
1546103201000,,106.35,,,
1546175667000,,,,,
1546247915000,,322.58,,,
1546320878000,,,,,
1546394518000,,,,,
1546466952000,,,,,
1546544000000,,,,,
1546622719000,,907.81,,,
1546699391000,,,,,
1546776424000,,6.50,,,
1546854270000,,,,,
