timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1532411124000,,,,,
1532485297000,,,1617.07,,
1532558514000,,,3215.03,,
1532632522000,,,2764.80,,
1532706031000,,,793.91,,
1532778335000,,,82.78,,
1532849626000,,,78.96,,
1532921962000,,,301.48,,
1532994160000,,,607.26,,
1533067467000,,,1149.08,,
1533141286000,,,2413.06,,
1533214941000,,,173.49,,
1533288091000,,,2002.06,,
1533360489000,,,27705.73,,
1533432998000,,,796.90,,
1533505953000,,,1014.64,,
1533578575000,,,1462.41,,
1533651925000,,,2960.26,,
1533724916000,,,2458.25,,
1533797508000,,,1947.54,,
1533870537000,,,1011.38,,
1533943288000,,,1580.03,,
1534016212000,,,418.75,,
1534090711000,,,582.97,,
1534163628000,,,158.60,,
1534236905000,,,3860.92,,
1534309134000,,,15316.94,,
1534381971000,,,543.32,,
1534454722000,,,553.89,,
1534527690000,,,39893.06,,
1534602524000,,,704.64,,
1534675224000,,,1104.10,,
1534747701000,,,425.66,,
1534820720000,,,3787.91,,
1534892931000,,,509.07,,
1534965694000,,,34.85,,
1535039951000,,,237.80,,
1535112747000,,,471.48,,
1535185292000,,,141.80,,
1535257864000,,,86.89,,
1535331135000,,,146.91,,
1535403660000,,,189.71,,
1535477339000,,,306.16,,
1535550907000,,,148.59,,
1535623054000,,,178.96,,
1535695540000,,,170.18,,
1535768227000,,,295.17,,
1535842094000,,,30.23,,
1535914482000,,,351.90,,
1535987210000,,,152.58,,
1536059758000,,,108.28,,
1536132247000,,,,,
1536204432000,,,36.84,,
1536276091000,,,335.94,,
1536348963000,,,,,
1536421628000,,,,,
1536495403000,,,21.19,,
1536568351000,,,0.51,,
1536639507000,,,1483.38,,
1536711510000,,,303.86,,
1536783125000,,,814.20,,
1536854753000,,,1096.97,,
1536925887000,,,27.25,,
1536997175000,,,1451.06,,
1537069009000,,,341.45,,
1537139381000,,,162.01,,
1537210708000,,,5195.78,,
1537282705000,,,767.72,,
1537353835000,,,254.13,,
1537424834000,,,2919.68,,
1537497361000,,,2478.37,,
1537568218000,,,529.00,,
1537639728000,,,4142.10,,
1537710354000,,,1383.72,,
1537781366000,,,450.74,,
1537852317000,,,544.18,,
1537922897000,,,24.33,,
1537993834000,,,10.58,,
1538065170000,,,,,
1538135659000,,,2448.85,,
1538207020000,,,,,
1538277094000,,,277.73,,
1538348235000,,,253.57,,
1538418856000,,,3149.84,,
1538489640000,,,507.40,,
1538560179000,,,398.37,,
1538631256000,,,334.17,,
1538700722000,,,132.03,,
1538771727000,,,2.37,,
1538841320000,,,127.11,,
1538911026000,,,,,
1538980216000,,,,,
1539049430000,,,,,
1539120813000,,,133.24,,
1539190730000,,,115.67,,
1539260859000,,,8432.60,,
1539330275000,,,3064.72,,
1539400992000,,,709.55,,
1539470509000,,,,,
1539541019000,,,587.37,,
1539611779000,,,8.08,,
1539682267000,,,3454.51,,
1539752649000,,,3051.91,,
1539822973000,,,2171.31,,
1539893301000,,,897.65,,
1539964665000,,,2717.06,,
1540035461000,,,37.94,,
1540105380000,,,2849.92,,
1540175783000,,,2710.90,,
1540247628000,,,9581.00,,
1540317582000,,,10268.42,,
1540388140000,,,1907.00,,
1540458691000,,,1693.84,,
1540528530000,,,130.25,,
1540599331000,,,7652.54,,
1540669979000,,,322.70,,
1540740577000,,,1157.09,,
1540812281000,,,3366.24,,
1540882459000,,,534.87,,
1540953530000,,,861.62,,
1541023512000,,,442.16,,
1541094934000,,,377.78,,
1541166376000,,,2670.26,,
1541237446000,,,14751.13,,
1541307140000,,,3003.85,,
1541378245000,,,,,
1541449770000,,,,,
1541521033000,,,806.25,,
1541592294000,,,44.32,,
1541662439000,,,1135.37,,
1541733218000,,,1.56,,
1541804044000,,,,,
1541874538000,,,99.20,,
1541945087000,,,,,
1542016384000,,,945.35,,
1542085646000,,,574.54,,
1542156560000,,,1304.01,,
1542228035000,,,260.12,,
1542298725000,,,244.98,,
1542368660000,,,49.95,,
1542440006000,,,,,
1542510859000,,,,,
1542580287000,,,134.00,,
1542652239000,,,388.27,,
1542723747000,,,350.20,,
1542795271000,,,1890.38,,
1542866477000,,,1129.14,,
1542936877000,,,278.02,,
1543007269000,,,,,
1543077801000,,,439.88,,
1543148698000,,,1357.11,,
1543218413000,,,6078.27,,
1543289948000,,,1746.60,,
1543362296000,,,2966.35,,
1543434172000,,,500.81,,
1543504581000,,,,,
1543575859000,,,,,
1543646812000,,,193.88,,
1543718667000,,,150.11,,
1543789997000,,,,,
1543862329000,,,18.78,,
1543932926000,,,7.84,,
1544005220000,,,1172.97,,
1544076879000,,,1028.31,,
1544148198000,,,2131.23,,
1544220287000,,,12738.46,,
1544291964000,,,3111.12,,
1544363331000,,,6228.92,,
1544433268000,,,5833.60,,
1544503865000,,,3952.08,,
1544576147000,,,3848.74,,
1544647316000,,,691.77,,
1544718309000,,,351.93,,
1544789693000,,,3935.71,,
