timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1548521909000,,,,
1548607305000,,,,3.00
1548695090000,,,1474.18,
1548784331000,,,1386.78,
1548872168000,,1363.04,,
1548959406000,,635.90,,
1549048111000,,1650.16,,
1549136870000,,2738.95,,
1549225465000,,1010.89,,
1549312025000,,1403.27,,
1549400397000,,,,
1549488758000,,10854.74,,
1549576572000,,4255.67,,
1549664587000,,4663.68,,
1549752194000,,114.54,,
1549853106000,,760.68,,
1549954624000,,63.49,,
1550057114000,,974.75,,
1550160727000,,838.82,,
1550264379000,,78.99,,
1550367666000,,13257.38,,
1550471025000,,22735.31,,
1550573262000,,1242.60,,
1550675116000,,825.08,,
1550776436000,,3252.47,,
1550878296000,,1000.16,,
1550978228000,,5798.80,,
1551078586000,,1817.57,,
1551181750000,,4471.57,,
1551281880000,,25491.19,,
1551383524000,,8998.71,,
1551459490000,,1208.12,,
1551527005000,,3325.45,,
1551595407000,,636.29,,
1551662535000,,426.83,,
1551730739000,,1552.50,,
1551798808000,,4861.54,,
1551865512000,,3336.71,,
1551932302000,,595.09,,
1551999434000,,1336.54,,
1552066766000,,3529.74,,
1552134613000,,5964.55,,
1552201544000,,4511.65,,
1552268725000,,1223.92,,
1552336045000,,3659.06,,
1552403003000,,7872.76,,
1552470545000,,524.62,,
1552537130000,,2051.73,,
1552605435000,,6475.37,,
1552671597000,,1077.59,,
1552738081000,,2816.06,,
1552805598000,,6476.83,,
1552872817000,,4300.55,,
1552940619000,,1453.06,,
1553008742000,,680.46,,
1553075047000,,586.33,,
1553142018000,,214.07,,
1553209653000,,1047.54,,
1553277395000,,390.96,,
1553344849000,,,,
1553411888000,,,,
1553478679000,,701.22,,
1553546051000,,1460.85,,
1553614241000,,1678.08,,
1553681868000,,10639.89,,
1553749152000,,138.13,,
1553816450000,,1491.34,,
1553884334000,,2633.62,,
1553953102000,,4594.21,,
1554019932000,,531.44,,
1554086578000,,811.71,,
1554153946000,,191.82,,
1554222678000,,4042.79,,
1554290288000,,3697.70,,
1554358137000,,4577.80,,
1554425436000,,1095.90,,
1554493384000,,522.42,,
1554559454000,,384.85,,
1554626505000,,1244.33,,
1554693632000,,1611.38,,
1554760411000,,641.14,,
1554827345000,,2362.79,,
1554894627000,,3637.04,,
1554961787000,,1067.33,,
1555029655000,,2406.47,,
1555096914000,,883.84,,
1555163830000,,,,
1555230712000,,3276.43,,
1555297496000,,1159.52,,
1555364629000,,1628.73,,
1555431616000,,721.03,,
1555500111000,,1041.38,,
1555566912000,,38735.66,,
1555634415000,,602.44,,
1555701653000,,804.53,,
1555769476000,,2630.67,,
1555837014000,,15.94,,
1555904097000,,24.59,,
1555970540000,,525.09,,
1556038531000,,1086.54,,
1556107407000,,1506.37,,
1556173928000,,4800.38,,
1556241200000,,235.40,,
1556308450000,,1092.28,,
1556374991000,,2465.12,,
1556442410000,,802.92,,
1556509346000,,477.16,,
1556576806000,,1404.43,,
1556643967000,,402.40,,
1556711534000,,2035.76,,
1556778136000,,2344.80,,
1556845234000,,6255.61,,
1556913235000,,1098.38,,
1556979262000,,2098.82,,
1557047080000,,560.25,,
1557114439000,,,,
1557182260000,,899.94,,
1557249608000,,2432.77,,
1557318081000,,421.39,,
1557385675000,,1841.04,,
1557453624000,,3184.26,,
1557521031000,,6934.90,,
1557588222000,,3518.67,,
1557655069000,,4490.96,,
1557722567000,,43958.01,,
1557790675000,,11049.45,,
1557857642000,,11837.23,,
1557924398000,,3245.68,,
1557992058000,,10385.77,,
1558059268000,,8575.24,,
1558126732000,,2223.69,,
1558194179000,,1366.50,,
1558262228000,,2226.48,,
1558329711000,,2053.09,,
1558397321000,,1202.97,,
1558466162000,,5040.55,,
1558533192000,,3280.98,,
1558601405000,,7723.79,,
1558669169000,,3308.73,,
1558736680000,,2489.24,,
1558803191000,,962.89,,
1558871016000,,1102.88,,
1558937464000,,4408.13,,
1559004601000,,879.70,,
1559072957000,,90.96,,
1559139434000,,531.50,,
1559206701000,,8207.61,,
1559274975000,,13208.56,,
1559341699000,,25933.60,,
1559409902000,,4765.11,,
1559477256000,,2052.27,,
1559545066000,,181.48,,
1559613008000,,895.44,,
1559680478000,,1759.06,,
1559748180000,,227.81,,
1559815480000,,547.04,,
1559882780000,,588.93,,
1559950737000,,1940.44,,
1560018665000,,727.42,,
1560086804000,,1008.12,,
1560153643000,,1943.19,,
1560221421000,,1225.48,,
1560289199000,,2012.31,,
1560356878000,,516.60,,
1560423930000,,821.38,,
1560491307000,,4977.47,,
1560558991000,,1947.25,,
