timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1532485297000,,,,,,
1532558514000,,,,,793.83,
1532632522000,,,,,477.18,
1532706031000,,,,,2934.93,
1532778335000,,,,,,
1532849626000,,,,,,
1532921962000,,,,,,
1532994160000,,,,,353.03,
1533067467000,,,,,1595.09,
1533141286000,,,,,764.77,
1533214941000,,,,,0.00,
1533288091000,,,,,1296.83,
1533360489000,,,,,833.99,
1533432998000,,,,,1770.50,
1533505953000,,,,,,
1533578575000,,,,,942.21,
1533651925000,,,,,237.39,
1533724916000,,,,,1569.88,
1533797508000,,,,,,
1533870537000,,,,,,
1533943288000,,,,,1179.39,
1534016212000,,,,,805.66,
1534090711000,,,,,774.47,
1534163628000,,,,,7992.82,
1534236905000,,,,,6848.13,
1534309134000,,,,,3944.32,
1534381971000,,,,,1354.71,
1534454722000,,,,,184.76,
1534527690000,,,,,850.91,
1534602524000,,,,,976.00,
1534675224000,,,,,6272.90,
1534747701000,,,,,8167.43,
1534820720000,,,,,1601.90,
1534892931000,,,,,546.73,
1534965694000,,,,,262.70,
1535039951000,,,,,2129.07,
1535112747000,,,,,536.61,
1535185292000,,,,,2157.57,
1535257864000,,,,,122.76,
1535331135000,,,,,119.00,
1535403660000,,,,,,
1535477339000,,,,,,
1535550907000,,,,,,
1535623054000,,,,,744.64,
1535695540000,,,,,834.35,
1535768227000,,,,,358.54,
1535842094000,,,,,,
1535914482000,,,,,380.28,
1535987210000,,,,,11.88,
1536059758000,,,,,,
1536132247000,,,,,168.22,
1536204432000,,,,,3809.20,
1536276091000,,,,,9101.47,
1536348963000,,,,,1049.94,
1536421628000,,,,,476.86,
1536495403000,,,,,580.85,
1536568351000,,,,,162.58,
1536639507000,,,,,1002.21,
1536711510000,,,,,1856.00,
1536783125000,,,,,,
1536854753000,,,,,1392.53,
1536925887000,,,,,2617.74,
1536997175000,,,,,11784.04,
1537069009000,,,,,1841.16,
1537139381000,,,,,,
1537210708000,,,,,522.76,
1537282705000,,,,,751.04,
1537353835000,,,,,,
1537424834000,,,,,1194.65,
1537497361000,,,,,600.13,
1537568218000,,,,,,
1537639728000,,,,,3599.36,
1537710354000,,,,,1764.54,
1537781366000,,,,,1301.52,
1537852317000,,,,,,
1537922897000,,,,,,
1537993834000,,,,,,
1538065170000,,,,,152.26,
1538135659000,,,,,610.55,
1538207020000,,,,,1522.68,
1538277094000,,,,,346.37,
1538348235000,,,,,871.77,
1538418856000,,,,,722.98,
1538489640000,,,,,,
1538560179000,,,,,150.48,
1538631256000,,,,,,
1538700722000,,,,,,
1538771727000,,,,,303.96,
1538841320000,,,,,2216.26,
1538911026000,,,,,8666.99,
1538980216000,,,,,3704.86,
1539049430000,,,,,909.73,
1539120813000,,,,,,
1539190730000,,,,,303.15,
