timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,Other
1529385239000,,,,,
1529459855000,,,,431.83,
1529534480000,,,,1983.65,
1529607759000,,,,2639.51,
1529682434000,,,,1092.25,
1529756296000,,,,628.50,
1529828276000,,,,91.36,
1529902416000,,,,420.44,
1529979078000,,,,246.92,
1530054421000,,,,843.87,
1530128282000,,,,24.83,
1530203197000,,,,801.32,
1530278431000,,,,7542.38,
1530351013000,,,,1808.14,
1530426268000,,,,600.40,
1530499615000,,,,,
1530572217000,,,,4473.02,
1530646642000,,,,1348.96,
1530720604000,,,,,
1530794550000,,,,,
1530868977000,,,,,
1530942968000,,,,,
1531017892000,,,,,
1531093254000,,,,368.66,
1531167486000,,,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,,2171.94,
1531459813000,,,,900.44,
1531532086000,,,,140.03,
1531603912000,,,,989.64,
1531675397000,,,,,
1531748307000,,,,,
1531822417000,,,,1241.90,
1531896343000,,,,9605.75,
1531971151000,,,,336.59,
1532045631000,,,,496.58,
1532118564000,,,,684.66,
1532191928000,,,,101.28,
1532264894000,,,,,
1532336677000,,,,34.36,
1532411124000,,,,600.38,
1532485297000,,,,701.75,
1532558514000,,,,3175.98,
1532632522000,,,,,
1532706031000,,,,114.82,
1532778335000,,,,,
1532849626000,,,,,
1532921962000,,,,,
1532994160000,,,,2.78,
1533067467000,,,,99.14,
1533141286000,,,,10.03,
1533214941000,,,,,
1533288091000,,,,,
1533360489000,,,,,
1533432998000,,,,3049.05,
1533505953000,,,,322.40,
1533578575000,,,,1037.63,
1533651925000,,,,11.28,
1533724916000,,,,,
1533797508000,,,,1966.70,
1533870537000,,,,774.82,
1533943288000,,,,1170.36,
1534016212000,,,,846.52,
1534090711000,,,,138.96,
1534163628000,,,,137.50,
1534236905000,,,,494.25,
1534309134000,,,,195.18,
1534381971000,,,,354.90,
1534454722000,,,,97.04,
1534527690000,,,,,
1534602524000,,,,,
1534675224000,,,,54.39,
1534747701000,,,,377.82,
1534820720000,,,,272.54,
1534892931000,,,,1050.36,
1534965694000,,,,1216.98,
1535039951000,,,,243.76,
1535112747000,,,,,
1535185292000,,,,0.37,
1535257864000,,,,226.51,
1535331135000,,,,192.18,
1535403660000,,,,12.90,
1535477339000,,,,32.45,
1535550907000,,,,63.43,
1535623054000,,,,1173.79,
1535695540000,,,,12586.24,
1535768227000,,,,5800.37,
1535842094000,,,,1703.57,
1535914482000,,,,2671.73,
1535987210000,,,,497.48,
1536059758000,,,,,
1536132247000,,,,722.34,
1536204432000,,,,1575.56,
1536276091000,,,,3587.39,
1536348963000,,,,3407.29,
1536421628000,,,,455.54,
1536495403000,,,,327.46,
1536568351000,,,,1444.36,
1536639507000,,,,7001.62,
1536711510000,,,,1455.25,
1536783125000,,,,3683.50,
1536854753000,,,,282.68,
1536925887000,,,,2185.74,
1536997175000,,,,2148.15,
1537069009000,,,,1637.82,
1537139381000,,,,1881.14,
1537210708000,,,,2137.99,
1537282705000,,,,9721.56,
1537353835000,,,,2001.28,
1537424834000,,,,1648.04,
1537497361000,,,,13039.62,
1537568218000,,,,1116.73,
1537639728000,,,,157.60,
1537710354000,,,,697.73,
1537781366000,,,,806.62,
1537852317000,,,,,
1537922897000,,,,418.56,
1537993834000,,,,651.09,
1538065170000,,,,106.62,
1538135659000,,,,307.17,
1538207020000,,,,820.96,
1538277094000,,,,80.41,
1538348235000,,,,310.39,
1538418856000,,,,169.72,
1538489640000,,,,329.42,
1538560179000,,,,79.49,
1538631256000,,,,1320.65,
1538700722000,,,,0.09,
1538771727000,,,,436.52,
1538841320000,,,,124.11,
1538911026000,,,,204.75,
1538980216000,,,,305.38,
1539049430000,,,,,
1539120813000,,,,30.49,
1539190730000,,,,313.45,
1539260859000,,,,142.25,
1539330275000,,,,1.34,
1539400992000,,,,,
1539470509000,,,,,
1539541019000,,,,21.85,
1539611779000,,,,158.36,
1539682267000,,,,214.76,
1539752649000,,,,405.58,
1539822973000,,,,1341.67,
1539893301000,,,,141.07,
1539964665000,,,,0.02,
1540035461000,,,,986.95,
1540105380000,,,,1188.03,
1540175783000,,,,433.29,
1540247628000,,,,2663.84,
1540317582000,,,,424.26,
1540388140000,,,,,
1540458691000,,,,1305.88,
1540528530000,,,,446.28,
1540599331000,,,,399.86,
1540669979000,,,,80.28,
1540740577000,,,,1653.70,
1540812281000,,,,534.01,
1540882459000,,,,1705.26,
1540953530000,,,,33.04,
1541023512000,,,,1170.47,
1541094934000,,,,1440.91,
1541166376000,,,,891.37,
1541237446000,,,,,
1541307140000,,,,,
1541378245000,,,,,
1541449770000,,,,216.07,
1541521033000,,,,152.63,
1541592294000,,,,3247.21,
