timestamp,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1529385239000,,,,,,
1529459855000,,,4025.37,,,
1529534480000,,,966.44,,,
1529607759000,,,166.48,,,
1529682434000,,,378.55,,,
1529756296000,,,2350.74,,,
1529828276000,,,192.25,,,
1529902416000,,,682.97,,,
1529979078000,,,,,,
1530054421000,,,4.06,,,
1530128282000,,,,,,
1530203197000,,,,,,
1530278431000,,,205.58,,,
1530351013000,,,109.81,,,
1530426268000,,,,,,
1530499615000,,,,,,
1530572217000,,,,,,
1530646642000,,,916.81,,,
1530720604000,,,5427.64,,,
1530794550000,,,2865.24,,,
1530868977000,,,,,,
1530942968000,,,,,,
1531017892000,,,,,,
1531093254000,,,1.54,,,
1531167486000,,,,,,
1531241905000,,,,,,
1531316279000,,,,,,
1531387780000,,,4319.34,,,
1531459813000,,,,,,
1531532086000,,,,,,
1531603912000,,,,,,
1531675397000,,,5.10,,,
1531748307000,,,3777.97,,,
1531822417000,,,,,,
1531896343000,,,2797.79,,,
1531971151000,,,1853.46,,,
1532045631000,,,1247.61,,,
1532118564000,,,2197.57,,,
1532191928000,,,3950.84,,,
1532264894000,,,661.51,,,
1532336677000,,,1252.27,,,
1532411124000,,,785.79,,,
1532485297000,,,287.09,,,
1532558514000,,,1899.78,,,
1532632522000,,,2302.84,,,
1532706031000,,,4932.76,,,
1532778335000,,,345.65,,,
1532849626000,,,250.48,,,
1532921962000,,,2163.89,,,
1532994160000,,,11547.85,,,
1533067467000,,,9757.70,,,
1533141286000,,,1054.45,,,
1533214941000,,,3674.49,,,
1533288091000,,,144.22,,,
1533360489000,,,46.05,,,
1533432998000,,,215.62,,,
1533505953000,,,,,,
1533578575000,,,1656.23,,,
1533651925000,,,0.20,,,
1533724916000,,,300.64,,,
1533797508000,,,,,,
1533870537000,,,3475.59,,,
1533943288000,,,,,,
1534016212000,,,612.76,,,
1534090711000,,,,,,
1534163628000,,,2913.12,,,
1534236905000,,,7239.77,,,
1534309134000,,,2710.74,,,
1534381971000,,,3044.05,,,
1534454722000,,,,,,
1534527690000,,,447.17,,,
1534602524000,,,1695.77,,,
1534675224000,,,2.00,,,
1534747701000,,,,,,
1534820720000,,,2977.51,,,
1534892931000,,,526.56,,,
1534965694000,,,2350.13,,,
1535039951000,,,1146.50,,,
1535112747000,,,3199.30,,,
1535185292000,,,,,,
1535257864000,,,1825.72,,,
1535331135000,,,,,,
1535403660000,,,,,,
1535477339000,,,2195.70,,,
1535550907000,,,547.27,,,
1535623054000,,,121.55,,,
1535695540000,,,233.11,,,
1535768227000,,,1031.42,,,
1535842094000,,,,,,
1535914482000,,,,,,
1535987210000,,,,,,
1536059758000,,,361.63,,,
1536132247000,,,,,,
1536204432000,,,4184.44,,,
1536276091000,,,1181.50,,,
1536348963000,,,120.78,,,
1536421628000,,,82.40,,,
1536495403000,,,2711.68,,,
1536568351000,,,163.57,,,
1536639507000,,,204.87,,,
1536711510000,,,160.33,,,
1536783125000,,,,,,
1536854753000,,,1003.74,,,
1536925887000,,,164.30,,,
1536997175000,,,,,,
1537069009000,,,,,,
1537139381000,,,,,,
1537210708000,,,,,,
1537282705000,,,,,,
1537353835000,,,,,,
1537424834000,,,2195.87,,,
1537497361000,,,6381.19,,,
1537568218000,,,1398.83,,,
1537639728000,,,,,,
1537710354000,,,147.08,,,
1537781366000,,,932.07,,,
1537852317000,,,68.83,,,
1537922897000,,,1151.31,,,
1537993834000,,,2780.24,,,
1538065170000,,,299.03,,,
1538135659000,,,833.24,,,
1538207020000,,,,,,
1538277094000,,,,,,
1538348235000,,,1332.30,,,
1538418856000,,,,,,
1538489640000,,,717.04,,,
1538560179000,,,3860.05,,,
1538631256000,,,91.10,,,
1538700722000,,,,,,
1538771727000,,,349.85,,,
1538841320000,,,337.37,,,
1538911026000,,,301.58,,,
1538980216000,,,1106.20,,,
1539049430000,,,780.24,,,
1539120813000,,,,,,
1539190730000,,,167.70,,,
1539260859000,,,1360.71,,,
1539330275000,,,757.30,,,
1539400992000,,,1744.63,,,
1539470509000,,,,,,
1539541019000,,,,,,
1539611779000,,,,,,
1539682267000,,,4481.79,,,
1539752649000,,,10771.36,,,
1539822973000,,,3871.29,,,
1539893301000,,,2935.25,,,
1539964665000,,,9643.83,,,
1540035461000,,,3783.33,,,
1540105380000,,,20.00,,,
1540175783000,,,19.96,,,
1540247628000,,,,,,
1540317582000,,,,,,
1540388140000,,,,,,
1540458691000,,,,,,
1540528530000,,,360.92,,,
1540599331000,,,3596.60,,,
1540669979000,,,6706.67,,,
1540740577000,,,2618.46,,,
1540812281000,,,21.62,,,
1540882459000,,,55.52,,,
1540953530000,,,8190.44,,,
1541023512000,,,120.46,,,
1541094934000,,,995.97,,,
1541166376000,,,1941.97,,,
1541237446000,,,850.69,,,
1541307140000,,,74.94,,,
1541378245000,,,,,,
1541449770000,,,1928.46,,,
1541521033000,,,2214.56,,,
1541592294000,,,2443.40,,,
1541662439000,,,,,,
1541733218000,,,,,,
1541804044000,,,390.82,,,
1541874538000,,,,,,
1541945087000,,,,,,
1542016384000,,,,,,
1542085646000,,,221.46,,,
1542156560000,,,,,,
1542228035000,,,7729.76,,,
1542298725000,,,99.70,,,
1542368660000,,,,,,
1542440006000,,,1174.16,,,
1542510859000,,,,,,
1542580287000,,,3769.94,,,
1542652239000,,,1469.22,,,
1542723747000,,,1691.76,,,
1542795271000,,,4847.83,,,
1542866477000,,,2190.89,,,
1542936877000,,,11750.54,,,
1543007269000,,,3304.13,,,
1543077801000,,,303.79,,,
1543148698000,,,,,,
1543218413000,,,5243.91,,,
1543289948000,,,2744.43,,,
1543362296000,,,1.48,,,
1543434172000,,,,,,
1543504581000,,,,,,
1543575859000,,,,,,
1543646812000,,,200.34,,,
1543718667000,,,746.83,,,
1543789997000,,,,,,
1543862329000,,,,,,
1543932926000,,,4627.33,,,
1544005220000,,,,,,
1544076879000,,,866.03,,,
1544148198000,,,,,,
1544220287000,,,6952.40,,,
1544291964000,,,1915.08,,,
1544363331000,,,1750.27,,,
1544433268000,,,6509.82,,,
1544503865000,,,,,,
1544576147000,,,,,,
1544647316000,,,3301.29,,,
1544718309000,,,,,,
1544789693000,,,,,,
1544860802000,,,,,,
1544931651000,,,,,,
1545003100000,,,460.30,,,
1545076575000,,,3662.14,,,
1545151038000,,,234.16,,,
1545224266000,,,1271.31,,,
1545298309000,,,1.94,,,
1545371765000,,,,,,
1545444975000,,,,,,
1545518580000,,,,,,
1545592165000,,,203.07,,,
1545664945000,,,,,,
1545737520000,,,,,,
1545810031000,,,,,,
1545883479000,,,,,,
1545956158000,,,3508.94,,,
1546029906000,,,3770.73,,,
1546103201000,,,,,,
1546175667000,,,3078.30,,,
1546247915000,,,,,,
1546320878000,,,3145.04,,,
1546394518000,,,979.23,,,
1546466952000,,,2296.06,,,
1546544000000,,,1282.40,,,
1546622719000,,,3686.75,,,
1546699391000,,,1796.08,,,
1546776424000,,,,,,
1546854270000,,,432.92,,,
1546931422000,,,184.50,,,
1547008514000,,,8.60,,,
1547086233000,,,,,,
1547163262000,,,,,,
1547240860000,,,3458.32,,,
1547318473000,,,10723.06,,,
1547396030000,,,3072.77,,,
1547472692000,,,15379.85,,,
1547549533000,,,,,,
1547626847000,,,,,,
1547704633000,,,,,,
1547781728000,,,,,,
1547859045000,,,,,,
1547934719000,,,,,,
1548012002000,,,2056.32,,,
1548095978000,,,2013.55,,,
1548180548000,,,19.67,,,
1548266597000,,,,,,
1548351788000,,,,,,
1548436981000,,,434.65,,,
1548521909000,,,846.79,,,
1548607305000,,,818.06,,,
1548695090000,9845.32,,,,,
1548784331000,,,,,,
1548872168000,,1665.84,,,,
1548959406000,,,,,,
1549048111000,,,,,,
1549136870000,,,,,,
1549225465000,,,,,,
1549312025000,,,,,,
1549400397000,,,,,,
1549488758000,,5917.75,,,,
1549576572000,,1848.55,,,,
1549664587000,,,,,,
1549752194000,,1843.20,,,,
1549853106000,,,,,,
1549954624000,,2637.79,,,,
1550057114000,,375.96,,,,
1550160727000,,2.43,,,,
1550264379000,,,,,,
1550367666000,,479.80,,,,
1550471025000,,,,,,
1550573262000,,11448.30,,,,
1550675116000,,2556.19,,,,
1550776436000,,,,,,
1550878296000,,,,,,
1550978228000,,,,,,
1551078586000,,,,,,
1551181750000,,,,,,
1551281880000,,,,,,
1551383524000,,,,,,
1551459490000,,144.42,,,,
1551527005000,,,,,,
1551595407000,,,,,,
1551662535000,,,,,,
1551730739000,,,,,,
1551798808000,,37281.13,,,,
1551865512000,,,,,,
1551932302000,,3885.63,,,,
1551999434000,,1653.78,,,,
1552066766000,,888.95,,,,
1552134613000,,978.54,,,,
1552201544000,,174.42,,,,
1552268725000,,,,,,
1552336045000,,107.95,,,,
1552403003000,,,,,,
1552470545000,,,,,,
1552537130000,,,,,,
1552605435000,,233.55,,,,
1552671597000,,5501.77,,,,
1552738081000,,,,,,
1552805598000,,,,,,
1552872817000,,,,,,
1552940619000,,181.23,,,,
1553008742000,,,,,,
1553075047000,,,,,,
1553142018000,,,,,,
1553209653000,,,,,,
1553277395000,,,,,,
1553344849000,,82.71,,,,
1553411888000,,,,,,
1553478679000,,,,,,
1553546051000,,,,,,
1553614241000,,,,,,
1553681868000,,,,,,
1553749152000,,,,,,
1553816450000,,51.24,,,,
1553884334000,,,,,,
1553953102000,,,,,,
1554019932000,,,,,,
1554086578000,,,,,,
1554153946000,,,,,,
1554222678000,,3926.34,,,,
1554290288000,,689.85,,,,
1554358137000,,,,,,
1554425436000,,8612.16,,,,
1554493384000,,3.00,,,,
1554559454000,,1990.10,,,,
1554626505000,,,,,,
1554693632000,,5186.78,,,,
1554760411000,,,,,,
1554827345000,,2497.20,,,,
1554894627000,,1102.77,,,,
1554961787000,,149.51,,,,
1555029655000,,2673.33,,,,
1555096914000,,1260.14,,,,
1555163830000,,,,,,
1555230712000,,,,,,
1555297496000,,,,,,
1555364629000,,,,,,
1555431616000,,12.40,,,,
1555500111000,,1421.61,,,,
1555566912000,,6.00,,,,
1555634415000,,,,,,
1555701653000,,,,,,
1555769476000,,,,,,
1555837014000,,,,,,
1555904097000,,,,,,
1555970540000,,,,,,
1556038531000,,1096.94,,,,
1556107407000,,,,,,
1556173928000,,419.95,,,,
1556241200000,,,,,,
1556308450000,,3060.88,,,,
1556374991000,,,,,,
1556442410000,,,,,,
1556509346000,,1297.90,,,,
1556576806000,,3937.88,,,,
1556643967000,,1850.23,,,,
1556711534000,,,,,,
1556778136000,,893.89,,,,
1556845234000,,,,,,
1556913235000,,825.68,,,,
1556979262000,,2.65,,,,
1557047080000,,549.92,,,,
1557114439000,,,,,,
1557182260000,,1449.02,,,,
1557249608000,,,,,,
1557318081000,,,,,,
1557385675000,,,,,,
1557453624000,,,,,,
1557521031000,,,,,,
1557588222000,,,,,,
1557655069000,,,,,,
1557722567000,,,,,,
1557790675000,,1338.74,,,,
1557857642000,,343.33,,,,
1557924398000,,962.88,,,,
1557992058000,,,,,,
1558059268000,,,,,,
1558126732000,,,,,,
1558194179000,,,,,,
1558262228000,,1344.54,,,,
1558329711000,,,,,,
1558397321000,,,,,,
1558466162000,,,,,,
1558533192000,,,,,,
1558601405000,,,,,,
1558669169000,,,,,,
1558736680000,,,,,,
1558803191000,,,,,,
1558871016000,,,,,,
1558937464000,,,,,,
1559004601000,,,,,,
1559072957000,,,,,,
1559139434000,,,,,,
1559206701000,,,,,,
1559274975000,,,,,,
1559341699000,,,,,,
1559409902000,,,,,,
1559477256000,,,,,,
1559545066000,,,,,,
1559613008000,,,,,,
1559680478000,,,,,,
1559748180000,,,,,,
1559815480000,,,,,,
1559882780000,,,,,,
1559950737000,,,,,,
1560018665000,,,,,,
1560086804000,,,,,,
1560153643000,,,,,,
1560221421000,,,,,,
1560289199000,,,,,,
1560356878000,,2031.78,,,,
1560423930000,,,,,,
1560491307000,,,,,,
1560558991000,,,,,,
1560626789000,,,,,,
1560694377000,,,,,,
1560761916000,,,,,,
1560829590000,,,,,,
1560897457000,,,,,,
1560964413000,,,,,,
1561032579000,,,,,,
1561100149000,,,,,,
1561168282000,,,,,,
1561234762000,,99.20,,,,
1561302398000,,,,,,
1561369418000,,7941.88,,,,
1561436953000,,7061.22,,,,
1561504004000,,,,,,
1561570799000,,2580.40,,,,
1561638755000,,16.34,,,,
1561706755000,,,,,,
1561774045000,,,,,,
1561840989000,,,,,,
1561907952000,,,,,,
1561975491000,,,,,,
1562042620000,,,,,,
1562110262000,,,,,,
1562178137000,,16.31,,,,
1562245083000,,,,,,
1562312263000,,,,,,
1562380043000,,,,,,
1562446275000,,1279.54,,,,
1562513829000,,4.98,,,,
1562580710000,,,,,,
1562647935000,,469.72,,,,
1562714668000,,,,,,
1562782053000,,,,,,
1562848961000,,,,,,
1562916876000,,,,,,
1562984792000,,,,,,
1563051887000,,,,,,
1563118325000,,19050.59,,,,
1563185341000,,16498.90,,,,
1563253666000,,1990.90,,,,
1563322130000,,2967.86,,,,
1563390506000,,10131.88,,,,
1563456683000,,,,,,
1563524083000,,,,,,
1563591824000,,,,,,
1563657984000,,,,,,
1563725454000,,,,,,
1563792449000,,,,,,
1563858874000,,,,,,
1563925785000,,,,,,
1563992752000,,,,,,
1564060720000,,,,,,
1564128623000,,,,,,
1564194770000,,,,3713.33,,
1564261351000,,,,1580.03,,
1564329190000,,,,,,
1564395991000,,,,332.70,,
1564463477000,,,,218.46,,
1564530020000,,,,,,
1564597821000,,,,,,
1564665039000,,,,153.20,,
1564732022000,,,,,,
1564799107000,,,,,,
1564865751000,,,,,,
1564932781000,,,,,,
1564999286000,,,,,,
1565066439000,,,,,,
1565133760000,,,,10215.35,,
1565200774000,,,,,,
1565267861000,,,,,,
1565334762000,,,,281.99,,
1565401917000,,,,1965.11,,
1565468754000,,,,729.48,,
1565536629000,,,,,,
1565603145000,,,,503.01,,
1565669720000,,,,1421.37,,
1565737101000,,,,10951.95,,
1565803734000,,,,6547.01,,
1565871010000,,,,6724.34,,
1565938594000,,,,,,
1566005643000,,,,,,
1566071734000,,,,,,
1566139968000,,,,2398.22,,
1566206924000,,,,,,
1566273958000,,,,,,
1566340899000,,,,,,
1566408719000,,,,,,
1566474986000,,,,37.49,,
1566542876000,,,,,,
1566609532000,,,,,,
1566677699000,,,,,,
1566744845000,,,,,,
1566811311000,,,,,,
1566879172000,,,,15211.55,,
1566946162000,,,,1310.47,,
1567013670000,,,,,,
1567080503000,,,,,,
1567147214000,,,,1158.01,,
1567214663000,,,,,,
1567281961000,,,,,,
1567349460000,,,,,,
1567416716000,,,,,,
1567484031000,,,,3213.16,,
1567551463000,,,,401.56,,
1567619231000,,,,,,
1567685589000,,,,,,
1567753902000,,,,,,
1567820847000,,,,304.31,,
1567887785000,,,,,,
1567955110000,,,,,,
1568023141000,,,,298.85,,
1568089878000,,,,,,
1568157833000,,,,,,
1568225074000,,,,,,
1568292523000,,,,,,
1568360055000,,,,,,
1568427970000,,,,,,
1568495114000,,,,,,
1568562808000,,,,,,
1568630407000,,,,,,
1568696458000,,,,,,
1568764187000,,,,,,
1568830698000,,,,,,
1568898597000,,,,,,
1568967137000,,,,671.83,,
1569034094000,,,,,,
1569100750000,,,,,,
1569168482000,,,,,,
1569236030000,,,,60.27,,
1569303544000,,,,,,
1569371996000,,,,,,
1569439704000,,,,,,
1569507924000,,,,,,
1569575662000,,,,,890.71,
1569642495000,,,,,,
1569709939000,,,,,,
1569777994000,,,,,,
1569845721000,,,,,,
1569912741000,,,,,,
1569979950000,,,,,461.68,
1570047984000,,,,,,
1570116154000,,,,,,
