timestamp,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,Other
1566677699000,,,
1566744845000,,4392.67,
1566811311000,,724.54,
1566879172000,,291.51,
1566946162000,,1345.66,
1567013670000,,1524.82,
1567080503000,,3310.61,
1567147214000,,,
1567214663000,,73.09,
1567281961000,,283.94,
1567349460000,,836.18,
1567416716000,,,
1567484031000,,3675.45,
1567551463000,,4083.80,
1567619231000,,3034.86,
1567685589000,,92.59,
1567753902000,,6154.57,
1567820847000,,2636.77,
1567887785000,,1787.88,
1567955110000,,1061.91,
1568023141000,,349.29,
1568089878000,,2.46,
1568157833000,,,
1568225074000,,792.94,
1568292523000,,2700.22,
1568360055000,,524.36,
1568427970000,,889.36,
1568495114000,,933.24,
1568562808000,,3072.66,
1568630407000,,493.35,
1568696458000,,,
1568764187000,,545.45,
1568830698000,,,
1568898597000,,1107.61,
1568967137000,,,
1569034094000,,,
1569100750000,,375.76,
1569168482000,,,
1569236030000,,251.88,
1569303544000,,4021.68,
1569371996000,,1444.45,
1569439704000,,,
1569507924000,,1.17,
1569575662000,,,
1569642495000,,,
1569709939000,362.44,,
1569777994000,89.28,,
1569845721000,312.00,,
1569912741000,344.72,,
1569979950000,,,
1570047984000,221.15,,
1570116154000,379.17,,
