timestamp,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,Other
1529385239000,,,,
1529459855000,7.09,,,
1529534480000,228.05,,,
1529607759000,128.77,,,
1529682434000,3737.02,,,
1529756296000,1272.32,,,
1529828276000,504.76,,,
1529902416000,784.00,,,
1529979078000,78.69,,,
1530054421000,948.09,,,
1530128282000,371.14,,,
1530203197000,2273.47,,,
1530278431000,188.12,,,
1530351013000,1805.45,,,
1530426268000,329.00,,,
1530499615000,624.49,,,
1530572217000,36.12,,,
1530646642000,3.82,,,
1530720604000,2518.13,,,
1530794550000,1123.52,,,
1530868977000,,,,
1530942968000,313.48,,,
1531017892000,309.55,,,
1531093254000,559.82,,,
1531167486000,,,,
1531241905000,,,,
1531316279000,,,,
1531387780000,1.11,,,
1531459813000,162.57,,,
1531532086000,250.75,,,
1531603912000,,,,
1531675397000,108.27,,,
1531748307000,234.03,,,
1531822417000,3641.84,,,
1531896343000,2467.69,,,
1531971151000,2512.94,,,
1532045631000,6215.76,,,
1532118564000,2266.61,,,
1532191928000,913.89,,,
1532264894000,107.57,,,
1532336677000,395.64,,,
1532411124000,6148.00,,,
1532485297000,1014.73,,,
1532558514000,1576.56,,,
1532632522000,1033.71,,,
1532706031000,301.50,,,
1532778335000,,,,
1532849626000,1346.20,,,
1532921962000,665.79,,,
1532994160000,253.32,,,
1533067467000,183.86,,,
1533141286000,69.04,,,
1533214941000,269.60,,,
1533288091000,961.95,,,
1533360489000,,,,
1533432998000,,,,
1533505953000,207.95,,,
1533578575000,635.51,,,
1533651925000,,,,
1533724916000,,,,
1533797508000,,,,
1533870537000,100.99,,,
1533943288000,,,,
1534016212000,388.73,,,
1534090711000,413.31,,,
1534163628000,313.62,,,
1534236905000,975.59,,,
1534309134000,657.09,,,
1534381971000,,,,
1534454722000,,,,
1534527690000,1610.40,,,
1534602524000,425.06,,,
1534675224000,474.73,,,
1534747701000,575.35,,,
1534820720000,58.46,,,
1534892931000,274.84,,,
1534965694000,305.06,,,
1535039951000,99.49,,,
1535112747000,288.31,,,
1535185292000,176.14,,,
1535257864000,,,,
1535331135000,381.21,,,
1535403660000,29.62,,,
1535477339000,,,,
1535550907000,,,,
1535623054000,159.03,,,
1535695540000,753.44,,,
1535768227000,252.13,,,
1535842094000,,,,
1535914482000,,,,
1535987210000,,,,
1536059758000,179.89,,,
1536132247000,278.91,,,
1536204432000,53.45,,,
1536276091000,,,,
1536348963000,166.11,,,
1536421628000,1144.97,,,
1536495403000,433.98,,,
1536568351000,,,,
1536639507000,200.39,,,
1536711510000,,,,
1536783125000,375.80,,,
1536854753000,129.23,,,
1536925887000,369.66,,,
1536997175000,264.95,,,
1537069009000,1434.76,,,
1537139381000,763.61,,,
1537210708000,1540.95,,,
1537282705000,836.77,,,
1537353835000,,,,
1537424834000,2289.64,,,
1537497361000,1925.55,,,
1537568218000,128.64,,,
1537639728000,315.94,,,
1537710354000,,,,
1537781366000,314.54,,,
1537852317000,79.89,,,
1537922897000,2915.21,,,
1537993834000,253.90,,,
1538065170000,,,,
1538135659000,1702.58,,,
1538207020000,198.65,,,
1538277094000,661.08,,,
1538348235000,79.96,,,
1538418856000,,,,
1538489640000,,,,
1538560179000,432.07,,,
1538631256000,,,,
1538700722000,460.04,,,
1538771727000,1205.75,,,
1538841320000,576.09,,,
1538911026000,800.00,,,
1538980216000,135.76,,,
1539049430000,360.05,,,
1539120813000,6.10,,,
1539190730000,469.62,,,
1539260859000,2893.40,,,
1539330275000,1357.40,,,
1539400992000,1503.13,,,
1539470509000,547.69,,,
1539541019000,381.25,,,
1539611779000,3562.63,,,
1539682267000,5517.24,,,
1539752649000,12051.03,,,
1539822973000,16438.25,,,
1539893301000,15330.92,,,
1539964665000,5877.53,,,
1540035461000,4455.88,,,
1540105380000,4459.13,,,
1540175783000,43090.27,,,
1540247628000,50945.57,,,
1540317582000,46701.75,,,
1540388140000,28899.64,,,
1540458691000,18932.39,,,
1540528530000,21639.57,,,
1540599331000,7169.71,,,
1540669979000,17680.85,,,
1540740577000,12511.19,,,
1540812281000,22564.53,,,
1540882459000,14577.79,,,
1540953530000,12728.67,,,
1541023512000,7409.85,,,
1541094934000,2590.43,,,
1541166376000,2536.98,,,
1541237446000,1176.58,,,
1541307140000,3177.52,,,
1541378245000,7101.68,,,
1541449770000,9596.88,,,
1541521033000,13880.26,,,
1541592294000,16928.68,,,
1541662439000,36805.93,,,
1541733218000,22582.63,,,
1541804044000,37458.94,,,
1541874538000,5248.82,,,
1541945087000,7718.19,,,
1542016384000,7113.91,,,
1542085646000,41110.20,,,
1542156560000,19655.96,,,
1542228035000,11448.79,,,
1542298725000,11087.75,,,
1542368660000,9346.29,,,
1542440006000,5159.44,,,
1542510859000,4006.66,,,
1542580287000,3291.87,,,
1542652239000,10785.17,,,
1542723747000,6788.22,,,
