timestamp,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x0e936B11c2e7b601055e58c7E32417187aF4de4a,Other
1556913235000,,,,
1556979262000,8901.61,,,
1557047080000,3254.35,,,
1557114439000,876.55,,,
1557182260000,1175.84,,,
1557249608000,347.38,,,
1557318081000,1472.44,,,
1557385675000,1468.66,,,
1557453624000,800.94,,,
1557521031000,442.50,,,
1557588222000,776.01,,,
1557655069000,1234.46,,,
1557722567000,233.45,,,
1557790675000,1448.64,,,
1557857642000,2082.77,,,
1557924398000,1444.91,,,
1557992058000,3528.45,,,
1558059268000,4843.37,,,
1558126732000,2734.03,,,
1558194179000,1986.81,,,
1558262228000,1093.53,,,
1558329711000,3276.60,,,
1558397321000,271.73,,,
1558466162000,2565.45,,,
1558533192000,1395.55,,,
1558601405000,4945.24,,,
1558669169000,2738.73,,,
1558736680000,700.70,,,
1558803191000,,,,
1558871016000,,,,
1558937464000,705.17,,,
1559004601000,1443.04,,,
1559072957000,,,,
1559139434000,71.89,,,
1559206701000,,,,
1559274975000,2749.81,,,
1559341699000,4304.76,,,
1559409902000,960.36,,,
1559477256000,904.59,,,
1559545066000,1040.83,,,
1559613008000,156.68,,,
1559680478000,10101.67,,,
1559748180000,2648.89,,,
1559815480000,713.66,,,
1559882780000,104.61,,,
1559950737000,1414.43,,,
1560018665000,246.14,,,
1560086804000,3955.24,,,
1560153643000,5187.45,,,
1560221421000,5527.04,,,
1560289199000,1056.07,,,
1560356878000,2636.22,,,
1560423930000,525.38,,,
1560491307000,2825.35,,,
1560558991000,6541.00,,,
1560626789000,246.26,,,
1560694377000,163.59,,,
1560761916000,807.86,,,
1560829590000,1631.06,,,
1560897457000,130.27,,,
1560964413000,310.08,,,
1561032579000,1300.02,,,
1561100149000,2263.46,,,
1561168282000,4936.86,,,
1561234762000,1797.38,,,
1561302398000,1703.31,,,
1561369418000,8573.44,,,
1561436953000,4227.56,,,
1561504004000,4490.36,,,
1561570799000,11587.48,,,
1561638755000,2832.86,,,
1561706755000,4822.39,,,
1561774045000,4172.96,,,
1561840989000,744.94,,,
1561907952000,1501.14,,,
1561975491000,833.98,,,
1562042620000,2146.09,,,
1562110262000,1963.84,,,
1562178137000,1040.60,,,
1562245083000,1189.67,,,
1562312263000,361.21,,,
1562380043000,656.58,,,
1562446275000,3381.76,,,
1562513829000,356.08,,,
1562580710000,170.30,,,
1562647935000,858.64,,,
1562714668000,968.76,,,
1562782053000,1146.97,,,
1562848961000,378.81,,,
1562916876000,2697.35,,,
1562984792000,282.62,,,
1563051887000,553.23,,,
1563118325000,781.44,,,
1563185341000,1091.03,,,
1563253666000,170.85,,,
1563322130000,291.68,,,
1563390506000,247.19,,,
1563456683000,,,,
1563524083000,370.72,,,
1563591824000,,,,
1563657984000,2447.03,,,
1563725454000,1767.28,,,
1563792449000,307.80,,,
1563858874000,2406.54,,,
1563925785000,,122.64,,
1563992752000,,1084.38,,
1564060720000,,48.70,,
1564128623000,,278.77,,
1564194770000,,266.50,,
1564261351000,,332.65,,
1564329190000,,311.06,,
1564395991000,,65.76,,
1564463477000,,309.61,,
1564530020000,,209.66,,
1564597821000,,97.12,,
1564665039000,,481.22,,
1564732022000,,402.92,,
1564799107000,,1075.20,,
1564865751000,,204.55,,
1564932781000,,396.04,,
1564999286000,,247.85,,
1565066439000,,586.66,,
1565133760000,,485.28,,
1565200774000,,1080.19,,
1565267861000,,197.78,,
1565334762000,,344.38,,
1565401917000,,226.71,,
1565468754000,,1589.73,,
1565536629000,,1306.29,,
1565603145000,,,,
1565669720000,,474.72,,
1565737101000,,378.60,,
1565803734000,,104.70,,
1565871010000,,473.33,,
1565938594000,,676.05,,
1566005643000,,481.66,,
1566071734000,,176.29,,
1566139968000,,,,
1566206924000,,223.39,,
1566273958000,,1587.56,,
1566340899000,,575.72,,
1566408719000,,187.27,,
1566474986000,,1202.17,,
1566542876000,,445.76,,
1566609532000,,1000.46,,
1566677699000,,,,
1566744845000,,205.01,,
1566811311000,,117.34,,
1566879172000,,72.92,,
1566946162000,,,,
1567013670000,,463.41,,
1567080503000,,5589.68,,
1567147214000,,4260.89,,
1567214663000,,321.78,,
1567281961000,,2143.88,,
1567349460000,,1323.34,,
1567416716000,,583.99,,
1567484031000,,1154.12,,
1567551463000,,334.99,,
1567619231000,,184.51,,
1567685589000,,438.17,,
1567753902000,,558.62,,
1567820847000,,151.85,,
1567887785000,,766.99,,
1567955110000,,324.62,,
1568023141000,,1514.73,,
1568089878000,,,,
1568157833000,,695.48,,
1568225074000,,1164.72,,
1568292523000,,1178.28,,
1568360055000,,497.38,,
1568427970000,,620.92,,
1568495114000,,,,
1568562808000,,87.96,,
1568630407000,,123.82,,
1568696458000,,70.84,,
1568764187000,,464.29,,
1568830698000,,67.88,,
1568898597000,,,,
1568967137000,,155.30,,
1569034094000,,138.09,,
1569100750000,,,,
1569168482000,,64.71,,
1569236030000,,303.05,,
1569303544000,,3914.11,,
1569371996000,,185.58,,
1569439704000,,1999.56,,
1569507924000,,158.45,,
1569575662000,,,2691.58,
1569642495000,,,534.97,
1569709939000,,,,
1569777994000,,,136.19,
1569845721000,,,79.26,
1569912741000,,,339.89,
1569979950000,,,56.49,
1570047984000,,,1645.65,
