timestamp,​0xEee90e509a639E95E3BB502B17A0eEd6E014BFc0,​0x6690819Cb98c1211A8e38790d6cD48316Ed518Db,​0xF20b9e713A33F61fA38792d2aFaF1cD30339126A,​0x2c5E6F3A75b4d0fCdeeaD0fE3C3b32ae8E9B263f,Other
1529385239000,,,,,
1529459855000,,,1852.23,,
1529534480000,,,1621.81,,
1529607759000,,,166.17,,
1529682434000,,,1685.31,,
1529756296000,,,255.25,,
1529828276000,,,6.90,,
1529902416000,,,152.04,,
1529979078000,,,1657.60,,
1530054421000,,,2674.43,,
1530128282000,,,2332.08,,
1530203197000,,,3640.88,,
1530278431000,,,2443.71,,
1530351013000,,,1074.09,,
1530426268000,,,533.37,,
1530499615000,,,185.01,,
1530572217000,,,303.96,,
1530646642000,,,2816.58,,
1530720604000,,,4.12,,
1530794550000,,,220.13,,
1530868977000,,,264.47,,
1530942968000,,,,,
1531017892000,,,972.74,,
1531093254000,,,562.59,,
1531167486000,,,,,
1531241905000,,,,,
1531316279000,,,,,
1531387780000,,,123.28,,
1531459813000,,,2866.07,,
1531532086000,,,86.02,,
1531603912000,,,443.59,,
1531675397000,,,274.39,,
1531748307000,,,1109.86,,
1531822417000,,,909.69,,
1531896343000,,,434.60,,
1531971151000,,,130.64,,
1532045631000,,,5141.32,,
1532118564000,,,400.00,,
1532191928000,,,170.09,,
1532264894000,,,528.17,,
1532336677000,,,741.60,,
1532411124000,,,577.39,,
1532485297000,,,946.67,,
1532558514000,,,69.70,,
1532632522000,,,415.51,,
1532706031000,,,171.68,,
1532778335000,,,68.78,,
1532849626000,,,24.27,,
1532921962000,,,1760.12,,
1532994160000,,,2730.20,,
1533067467000,,,672.61,,
1533141286000,,,1771.27,,
1533214941000,,,2462.26,,
1533288091000,,,0.15,,
1533360489000,,,,,
1533432998000,,,33.48,,
1533505953000,,,736.60,,
1533578575000,,,,,
1533651925000,,,255.65,,
1533724916000,,,,,
1533797508000,,,695.81,,
1533870537000,,,770.24,,
1533943288000,,,973.59,,
1534016212000,,,846.24,,
1534090711000,,,519.55,,
1534163628000,,,1127.43,,
1534236905000,,,5840.72,,
1534309134000,,,2687.53,,
1534381971000,,,1623.91,,
1534454722000,,,701.37,,
1534527690000,,,675.13,,
1534602524000,,,917.67,,
