timestamp,ETHBNT,NPXSBNT,BATBNT,DAIBNT,ENJBNT,LOCBNT,KNCBNT,RCNBNT,BNBBNT,EURSBNT,MKRBNT,ANTBNT,POWRBNT,TKNBNT,GNOBNT,POABNT,OMGBNT,ELFBNT,VIBBNT,DGDBNT,REMBNT,NMRBNT,USDB / BNT,GTOBNT,XDCEBNT,RLCBNT,REQBNT,MFTBNT,AGRIBNT,MDTBNT,MTLBNT,RDNBNT,WBTC,SANBNT,MADBNT,SNTBNT,pBTCBNT,TIXBNT,J8TBNT,PLRBNT,FXCBNT,ELETBNT,DATABNT,REALBNT,MRPHBNT,DRGNBNT,MFGBNT,FLIXXBNT,UPBNT,MYBBNT,SRNBNT,BNT-USD,RVTBNT,HEDGBNT,MNTPBNT,CEEKBNT,ABXBNT,FTXBNT,UPTBNT,XBPBNT,USDQBNT,AMPLBNT,DTRCBNT,MRGBNT,Other
1529459855000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,9707.88,0.56,0.00,0.00,0.00,771.64,0.00,0.00,0.00,0.00,0.00,473.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1666.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1324.31,0.00,0.00,0.00,0.00,859.61,0.00,2508.48,0.00,0.00,3207.59,4025.37,14571.67
1529534480000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5546.23,77.94,0.00,0.00,0.00,772.42,0.00,0.00,0.00,0.00,0.00,992.85,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,949.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1973.96,0.00,0.00,0.00,0.00,979.56,0.00,5753.11,0.00,0.00,7004.94,966.44,19062.45
1529607759000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,296.44,310.18,0.00,0.00,0.00,191.55,0.00,0.00,0.00,0.00,0.00,2532.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,27806.47,0.00,0.00,0.00,0.00,241.24,0.00,0.00,0.00,0.00,1992.08,0.00,0.00,0.00,0.00,112.82,0.00,3218.29,0.00,0.00,2272.70,166.48,28518.26
1529682434000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,254.00,631.00,0.00,0.00,0.00,1699.79,0.00,0.00,0.00,0.00,0.00,2921.57,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3968.75,0.00,0.00,0.00,0.00,1177.53,0.00,0.00,0.00,0.00,1058.79,0.00,0.00,0.00,0.00,550.09,0.00,6059.57,0.00,0.00,1729.51,378.55,8583.06
1529756296000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.24,15.14,0.00,0.00,0.00,151.67,0.00,0.00,0.00,0.00,0.00,5799.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4302.49,0.00,0.00,0.00,0.00,256.54,0.00,0.00,0.00,0.00,1923.25,0.00,0.00,0.00,0.00,1168.32,0.00,2510.51,0.00,0.00,10301.96,2350.74,5733.02
1529828276000,0.00,54467.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,906.84,3995.04,0.00,0.00,0.00,1372.98,0.00,0.00,0.00,0.00,0.00,6719.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1284.99,0.00,0.00,0.00,0.00,303.20,0.00,0.00,0.00,0.00,989.36,0.00,0.00,0.00,0.00,317.80,0.00,3392.25,0.00,0.00,3234.82,192.25,14098.68
1529902416000,0.00,152206.84,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,498.11,320.40,0.00,0.00,0.00,1354.95,0.00,0.00,0.00,0.00,0.00,7662.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.76,0.00,0.00,0.00,0.00,1279.90,0.00,0.00,0.00,0.00,1850.79,0.00,0.00,0.00,0.00,273.77,0.00,496.19,0.00,0.00,820.92,682.97,19566.24
1529979078000,0.00,217531.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,511.06,1242.17,0.00,0.00,0.00,2678.25,0.00,0.00,0.00,0.00,0.00,7947.52,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2303.52,0.00,0.00,0.00,0.00,777.96,0.00,0.00,0.00,0.00,425.97,0.00,0.00,0.00,0.00,532.31,0.00,1158.31,0.00,0.00,1206.14,0.00,9499.57
1530054421000,0.00,29288.35,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3631.65,156.70,0.00,0.00,0.00,573.68,0.00,0.00,0.00,0.00,0.00,1948.92,0.00,0.00,0.00,0.00,0.00,3067.78,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,425.14,0.00,0.00,0.00,0.00,1128.37,0.00,0.00,0.00,0.00,1058.68,0.00,0.00,0.00,0.00,568.99,0.00,4336.19,0.00,0.00,2561.56,4.06,23199.37
1530128282000,0.00,97591.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2868.08,0.00,0.00,0.00,0.00,1086.44,0.00,0.00,0.00,0.00,0.00,9894.59,0.00,0.00,0.00,0.00,0.00,1313.94,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,252.60,0.00,0.00,0.00,0.00,569.49,0.00,0.00,0.00,0.00,79.83,0.00,0.00,0.00,0.00,172.89,0.00,223.27,0.00,0.00,9424.76,0.00,4593.23
