timestamp,ROI,Token Price,Trade Volume
1602825913000,1.001256265720286,9.647680065588877e-15,3267.98
1602892022000,1.000059533026805,8.594651326923666e-15,72.54
1602958258000,1.0,8.594651326923666e-15,0.00
1603025653000,1.0,8.594651326923666e-15,0.00
1603091367000,1.000054722534394,9.56001151617229e-15,66.96
1603157253000,1.0,9.56001151617229e-15,0.00
1603223269000,1.0000625653600415,8.45735861495172e-15,77.41
1603289620000,1.0,8.45735861495172e-15,0.00
1603356256000,1.0000394777462314,7.827930614641027e-15,51.35
1603422122000,1.0,7.827930614641027e-15,0.00
1603488794000,1.0,7.827930614641027e-15,0.00
1603554785000,1.0,7.827930614641027e-15,0.00
1603621272000,1.0000537916017014,7.0499470893572675e-15,72.75
1603687807000,1.0,7.0499470893572675e-15,0.00
1603754471000,1.0,7.0499470893572675e-15,0.00
1603820015000,1.0,7.0499470893572675e-15,0.00
1603886641000,1.0000738850001203,6.11399881843954e-15,105.32
1603952469000,1.0000627078591495,5.414055230134853e-15,96.03
1604018693000,1.0,5.414055230134853e-15,0.00
1604085381000,1.0001307965028363,4.20349612764915e-15,219.66
1604151986000,1.0,4.20349612764915e-15,0.00
1604218490000,1.0,4.20349612764915e-15,0.00
1604284735000,1.0,4.20349612764915e-15,0.00
1604351268000,1.0,4.20349612764915e-15,0.00
1604417434000,1.0,4.20349612764915e-15,0.00
1604483789000,1.0000447997175377,3.851239714396392e-15,82.67
1604549893000,1.0000648184210863,3.3969345802781134e-15,125.07
1604616056000,1.0,3.3969345802781134e-15,0.00
1604681732000,1.0,3.3969345802781134e-15,0.00
