timestamp,METUSDB,PEGUSDB,JRTUSDB,GRIGUSDB,NEXOUSDB,ZRXUSDB,ETHUSDB,pBTCUSDB,MLNUSDB,LOOMUSDB,DAIUSDB,ENJUSDB,TBCUSDB,USDTUSDB,OMGUSDB,EMIT1USDB,FCOUSDB,BUSDUSDB,KNCUSDB,BATUSDB,sUSDUSDB,NMRUSDB,XIOUSDB,REPUSDB,MKRUSDB,TUSDUSDB,DZARUSDB,RLCUSDB,POWRUSDB,USDCUSDB,CEEKUSDB,Other
1576239700000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576321528000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576406301000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576490294000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576575615000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576662474000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576747583000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576834546000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1576920016000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577006250000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577092313000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.46,0.00,0.00,130.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577178688000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,130.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577264678000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,130.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577350680000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,130.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577436691000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,130.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577522505000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,133.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577608077000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,133.22,0.00,0.00,0.00,0.00,0.00,0.00,115.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
1577694534000,0.00,0.00,0.00,0.00,116.08,0.00,0.00,0.00,6.46,0.00,0.00,133.22,0.00,0.00,0.00,0.00,0.00,0.00,115.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1015.55,0.00,0.00,0.00,0.00,0.00
1577780675000,5.17,0.00,0.00,0.00,110.13,0.00,0.00,0.00,6.46,0.00,0.00,133.22,0.00,0.00,0.00,0.00,0.00,0.00,115.11,132.89,0.00,0.00,0.00,0.00,0.00,0.00,2029.78,0.00,0.00,0.00,0.00,0.00
1577867606000,10727.69,0.00,83.67,0.00,120.33,0.00,0.00,0.00,6.46,0.00,0.00,133.22,0.00,0.00,0.00,0.00,0.00,0.00,115.15,121.74,0.00,0.00,0.00,0.00,102.00,0.00,3001.31,0.00,0.00,0.00,0.00,0.00
1577953849000,10727.69,0.00,72.23,0.00,120.33,193.86,0.00,0.00,6.46,0.00,0.00,133.90,0.00,0.00,0.00,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,98.70,102.00,0.00,3001.31,0.00,0.00,0.00,0.00,0.00
1578024307000,10329.42,0.00,52.23,0.00,120.33,193.86,0.00,0.00,6.46,0.00,0.00,133.90,0.00,0.00,122.92,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,98.70,95.44,0.00,4001.31,0.00,0.00,0.00,0.00,0.00
1578089567000,10329.42,0.00,207.61,0.00,126.98,193.86,0.00,0.00,6.46,0.00,0.00,133.90,0.00,0.00,122.92,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,98.70,95.44,0.00,4468.24,0.00,0.00,0.00,0.00,0.00
1578155702000,10329.42,0.00,256.16,0.00,126.98,193.86,0.00,0.00,6.46,124.46,0.00,133.90,0.00,0.00,122.92,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,98.70,95.44,0.00,4879.57,0.00,0.00,0.00,0.00,0.00
1578222155000,10329.42,0.00,140.89,0.00,126.98,193.86,0.00,0.00,6.46,124.46,0.00,133.90,0.00,0.00,123.54,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,100.68,95.44,0.00,5451.23,0.00,0.00,0.00,0.00,2.22
1578289002000,10469.08,0.00,139.23,0.00,136.35,193.86,0.00,0.00,6.46,124.46,0.00,133.90,0.00,0.00,133.59,0.00,0.00,0.00,115.11,121.74,0.00,0.00,0.00,100.68,95.44,0.00,5290.05,0.00,0.00,0.00,0.00,2.22
1578353909000,10610.12,0.00,145.34,0.00,136.35,200.85,0.00,0.00,6.46,124.46,0.00,133.90,0.00,0.00,137.48,0.00,0.00,0.00,131.87,121.74,0.00,0.00,0.00,100.68,102.47,0.00,5244.43,0.00,0.00,0.00,0.00,2.22
1578419979000,10614.41,0.00,129.05,0.00,136.35,200.85,0.00,0.00,6.46,124.46,0.00,133.90,12.78,0.00,144.53,0.00,0.00,0.00,131.87,121.74,0.00,0.00,0.00,100.68,102.47,0.00,5344.40,0.00,0.00,0.00,0.00,2.22
1578486541000,10614.41,0.00,129.05,0.00,136.35,200.85,0.00,0.00,6.46,124.46,0.00,133.90,12.78,0.00,144.53,0.00,0.00,0.00,131.87,121.74,0.00,0.00,0.00,103.52,102.47,0.00,5320.60,0.00,0.00,0.00,0.00,2.22
1578552930000,10614.41,0.00,129.05,0.00,136.35,214.82,0.00,0.00,6.46,124.46,0.00,133.90,27.81,0.00,144.53,0.00,0.00,0.00,131.87,121.74,7438.77,0.00,0.00,103.76,102.47,0.00,5319.36,0.00,0.00,0.00,0.00,0.00
1578619287000,10614.41,0.00,657.59,0.00,136.35,214.82,0.00,0.00,6.46,120.73,9836.00,124.51,27.81,0.00,144.53,0.00,0.00,0.00,116.75,121.74,7451.62,0.00,0.00,103.76,102.47,110.48,5333.84,0.00,0.00,0.00,0.00,0.00
