provider,bnt
​0xdE63aef60307655405835DA74BA02CE4dB1a42Fb,254055.31
​0x8114C8dc814C88f60ae061DEE2D6D4777A4E6eBb,4297.12
​0xFfF5d028AC458E0F579571A4d83F3b8972905c37,3100.24
Other,3585.85
