timestamp,ROI,Token Price,Trade Volume
1544334704000,1.0000882175772172,9.01459610829694e-09,0.58
1544405011000,1.0,9.01459610829694e-09,0.00
1544475718000,1.0,9.01459610829694e-09,0.00
1544547488000,1.0,9.01459610829694e-09,0.00
1544618822000,1.0000399155455388,9.51342165771718e-09,0.25
1544689901000,1.0,9.51342165771718e-09,0.00
1544761330000,1.0,9.51342165771718e-09,0.00
1544832405000,1.0,9.51342165771718e-09,0.00
1544903281000,1.0,9.51342165771718e-09,0.00
1544974705000,1.0,9.51342165771718e-09,0.00
1545047794000,1.0,9.51342165771718e-09,0.00
1545121062000,1.0,9.51342165771718e-09,0.00
1545194042000,1.0000409966480655,1.0054710614832689e-08,0.25
1545268401000,1.0,1.0054710614832689e-08,0.00
1545342023000,1.0,1.0054710614832689e-08,0.00
1545415730000,1.0003117495817375,1.2008443838877414e-08,1.75
1545489450000,1.000044414547076,1.1308889789908268e-08,0.25
1545562634000,1.0,1.1308889789908268e-08,0.00
1545636119000,1.0,1.1308889789908268e-08,0.00
1545708423000,1.0,1.1308889789908268e-08,0.00
1545781311000,1.0,1.1308889789908268e-08,0.00
1545853370000,1.0,1.1308889789908268e-08,0.00
1545927395000,1.0,1.1308889789908268e-08,0.00
1546000562000,1.0,1.1308889789908268e-08,0.00
1546073485000,1.0000446868891868,1.2012931612078473e-08,0.25
1546145827000,1.0000921108929213,1.3633481457605195e-08,0.50
1546218595000,1.0000473085898076,1.2788337496342298e-08,0.25
1546292150000,1.0,1.2788337496342298e-08,0.00
1546365675000,1.0,1.2788337496342298e-08,0.00
1546438572000,1.0000721673369817,1.4111544468604902e-08,0.38
1546513937000,1.0,1.4111544468604902e-08,0.00
1546591053000,1.0,1.4111544468604902e-08,0.00
1546669576000,1.0,1.4111544468604902e-08,0.00
1546745738000,1.0,1.4111544468604902e-08,0.00
1546823093000,1.0,1.4111544468604902e-08,0.00
1546899613000,1.0,1.4111544468604902e-08,0.00
1546978150000,1.0,1.4111544468604902e-08,0.00
1547055036000,1.0000933235163074,1.2412795758444626e-08,0.50
1547132534000,1.0,1.2412795758444626e-08,0.00
1547210059000,1.0,1.2412795758444626e-08,0.00
1547287230000,1.0,1.2412795758444626e-08,0.00
1547364620000,1.0,1.2412795758444626e-08,0.00
1547441816000,1.0,1.2412795758444626e-08,0.00
1547518339000,1.0,1.2412795758444626e-08,0.00
1547595530000,1.0,1.2412795758444626e-08,0.00
1547673644000,1.0,1.2412795758444626e-08,0.00
1547751054000,1.0,1.2412795758444626e-08,0.00
1547828619000,1.0000219858476707,1.2052129781171549e-08,0.12
1547904215000,1.0,1.2052129781171549e-08,0.00
1547981162000,1.0,1.2052129781171549e-08,0.00
1548061637000,1.0000220573863259,1.1700812328596229e-08,0.12
1548146240000,1.0,1.1700812328596229e-08,0.00
1548232784000,1.0,1.1700812328596229e-08,0.00
1548317720000,1.0,1.1700812328596229e-08,0.00
1548402864000,1.0,1.1700812328596229e-08,0.00
1548487485000,1.0000192831481103,1.1402356365670715e-08,0.11
1548573526000,1.0001490532388073,1.0788669189908681e-08,0.84
1548660153000,1.0000565220600968,1.094330808676429e-08,0.33
1548748418000,1.0,1.094330808676429e-08,0.00
1548837025000,1.0,1.094330808676429e-08,0.00
1548924193000,1.0,1.094330808676429e-08,0.00
1549012454000,1.0,1.094330808676429e-08,0.00
1549101725000,1.0,1.094330808676429e-08,0.00
1549189411000,1.0000608498065962,1.1886738256158569e-08,0.35
1549277128000,1.0007053309813123,1.0221663677101539e-08,4.56
1549364548000,1.0001109146731333,1.1882980474419349e-08,0.64
1549452970000,1.0,1.1882980474419349e-08,0.00
1549541642000,1.000251945253187,1.139020566629787e-08,1.42
1549628950000,1.0,1.139020566629787e-08,0.00
1549717506000,1.0,1.139020566629787e-08,0.00
1549810793000,1.0000716243438008,1.2559209804497574e-08,0.40
1549913781000,1.0000648320462124,1.3706453611030843e-08,0.34
1550015706000,1.0000060130904649,1.359694753929683e-08,0.03
1550119035000,1.000106751271208,1.4962289750473357e-08,0.54
1550223641000,1.0000774651336803,1.3459042457417742e-08,0.40
1550326685000,1.0000516671645665,1.3349327825697454e-08,0.27
1550429585000,1.0002485834681556,1.4911940633862034e-08,1.29
1550532875000,1.000059506057786,1.5264754968594244e-08,0.29
1550633598000,1.0,1.526475496870133e-08,0.00
1550735511000,1.0000095320283173,1.507165609397689e-08,0.05
1550837309000,1.0,1.507165609397689e-08,0.00
1550937834000,1.0001063297228998,1.739992542687715e-08,0.51
1551038450000,1.0,1.739992542687715e-08,0.00
1551140412000,1.0,1.739992542687715e-08,0.00
1551242071000,1.0,1.739992542687715e-08,0.00
1551342768000,1.0,1.739992542687715e-08,0.00
1551431102000,1.0000198103256275,1.6944047567080744e-08,0.09
1551500225000,1.0000315795508317,1.6239169233173187e-08,0.15
1551568203000,1.0001618953168125,1.3703353240232017e-08,0.80
1551635562000,1.0000526824535607,1.3898151952864903e-08,0.27
1551703372000,1.0001292320118462,1.2877888951375647e-08,0.70
1551770679000,1.0000594493899642,1.395100806643346e-08,0.31
1551838168000,1.0,1.395100806643346e-08,0.00
1551905102000,1.000047548124672,1.3081872216091677e-08,0.25
1551973041000,1.0,1.3081872216091677e-08,0.00
1552039745000,1.0,1.3081872216091677e-08,0.00
1552108151000,1.0002576613581047,1.1558424717910306e-08,1.48
1552175208000,1.0000435586813796,1.090241182053649e-08,0.25
1552241652000,1.0000798354912797,1.2133954239791187e-08,0.45
1552309136000,1.0000369200035364,1.2749143335248197e-08,0.20
