timestamp,ROI,Token Price,Trade Volume
1595604570000,1.0005770363490722,9.561642310917505e-09,2.69
1595672114000,1.0000261625497533,9.525547231765956e-09,0.10
1595738927000,1.0,9.525547231765956e-09,0.00
1595805432000,1.0,9.525547231765956e-09,0.00
1595872747000,1.0001560247323096,7.653517672517995e-09,0.63
1595939151000,1.0000754610811966,6.913424962354484e-09,0.32
1596006108000,1.0006324888292013,3.5488831263953793e-09,3.73
1596072129000,1.000015999942669,3.607299536962556e-09,0.10
1596140024000,1.0001165523500022,3.720335435563462e-09,0.71
1596207016000,1.0005260865534864,3.4708248706593442e-09,3.66
1596273444000,1.0000728932489027,3.833841333071114e-09,0.44
1596339947000,1.0002527367989102,3.716417086780916e-09,1.59
1596406368000,1.0003008460259315,3.2273240223381717e-09,1.97
1596473308000,1.0,3.2273240223381717e-09,0.00
1596540683000,1.0004964622672525,4.052760240377226e-09,3.24
1596606713000,1.0,4.052760240377226e-09,0.00
1596674074000,1.000144515450811,3.6990801325475045e-09,0.86
1596740019000,1.0003068808798414,5.182506256100261e-09,1.66
1596807570000,1.000502019067209,1.0724466350010756e-08,2.26
1596874169000,1.0001758341120655,1.0893180339892353e-08,0.63
1596940389000,1.0000341464199025,1.1224727298895979e-08,0.12
1597006979000,1.000235766697293,1.579217101594493e-08,0.79
1597073639000,1.000267213635496,2.318982275342844e-08,0.74
1597140607000,1.0,2.318982275342844e-08,0.00
1597207222000,1.0,2.318982275342844e-08,0.00
1597273425000,1.0,2.318982275342844e-08,0.00
1597340255000,1.0,2.318982275342844e-08,0.00
1597406581000,1.000018527187093,2.2621358232053123e-08,0.04
1597472334000,1.0,2.2621358232053123e-08,0.00
1597539439000,1.0001906936126772,2.830507212808461e-08,0.45
1597606146000,1.0000575363490893,3.0604413706514585e-08,0.12
1597673119000,1.0,3.0604413706514585e-08,0.00
1597740778000,1.0,3.0604413706514585e-08,0.00
1597805915000,1.0,3.0604413706514585e-08,0.00
1597872975000,1.0,3.0604413706514585e-08,0.00
1597939059000,1.0005459792050542,6.194585541394539e-08,0.99
1598005285000,1.0008925416150904,2.2230324654841616e-07,1.16
1598071853000,1.0,2.2230324654841616e-07,0.00
1598138530000,1.0,2.2230324654841616e-07,0.00
1598204486000,1.0,2.2230324654841616e-07,0.00
1598271030000,1.0,2.2230324654841616e-07,0.00
1598337535000,1.0,2.2230324654841616e-07,0.00
1598404244000,1.0,2.2230324654841616e-07,0.00
1598469678000,1.0,2.2230324654841616e-07,0.00
1598536356000,1.0,2.2230324654841616e-07,0.00
1598602302000,1.0,2.2230324654841616e-07,0.00
1598668615000,1.0,2.2230324654841616e-07,0.00
1598734918000,1.0,2.2230324654841616e-07,0.00
1598801522000,1.0,2.2230324654841616e-07,0.00
1598867833000,1.0,2.2230324654841616e-07,0.00
1598932763000,1.0,2.2230324654841616e-07,0.00
1598998765000,1.0,2.2230324654841616e-07,0.00
1599065306000,1.0,2.2230324654841616e-07,0.00
1599131830000,1.0,2.2230324654841616e-07,0.00
1599197725000,1.0,2.2230324654841616e-07,0.00
1599263811000,1.0,2.2230324654841616e-07,0.00
1599330041000,1.0,2.2230324654841616e-07,0.00
1599395453000,1.0,2.2230324654841616e-07,0.00
1599461746000,1.0,2.2230324654841616e-07,0.00
1599528172000,1.0,2.2230324654841616e-07,0.00
1599594452000,1.0,2.2230324654841616e-07,0.00
1599661253000,1.0,2.2230324654841616e-07,0.00
1599727959000,1.0,2.2230324654841616e-07,0.00
1599793183000,1.0,2.2230324654841616e-07,0.00
1599859185000,1.0,2.2230324654841616e-07,0.00
1599925296000,1.0,2.2230324654841616e-07,0.00
1599991924000,1.0,2.2230324654841616e-07,0.00
1600057881000,1.0,2.2230324654841616e-07,0.00
1600125024000,1.0,2.2230324654841616e-07,0.00
1600190832000,1.0,2.2230324654841616e-07,0.00
1600257235000,1.0,2.2230324654841616e-07,0.00
1600323285000,1.0,2.2230324654841616e-07,0.00
1600389220000,1.0,2.2230324654841616e-07,0.00
1600456406000,1.0,2.2230324654841616e-07,0.00
1600522839000,1.0,2.2230324654841616e-07,0.00
1600589122000,1.0,2.2230324654841616e-07,0.00
1600654235000,1.0,2.2230324654841616e-07,0.00
1600719844000,1.0,2.2230324654841616e-07,0.00
1600786926000,1.0,2.2230324654841616e-07,0.00
1600852525000,1.0,2.2230324654841616e-07,0.00
1600920149000,1.0,2.2230324654841616e-07,0.00
1600986137000,1.0,2.2230324654841616e-07,0.00
1601053079000,1.0,2.2230324654841616e-07,0.00
1601120014000,1.0,2.2230324654841616e-07,0.00
1601187908000,1.0,2.2230324654841616e-07,0.00
1601255204000,1.0,2.2230324654841616e-07,0.00
1601323528000,1.0,2.2230324654841616e-07,0.00
1601390741000,1.0,2.2230324654841616e-07,0.00
1601459154000,1.0,2.2230324654841616e-07,0.00
1601525869000,1.0,2.2230324654841616e-07,0.00
1601592730000,1.0,2.2230324654841616e-07,0.00
1601660827000,1.0,2.2230324654841616e-07,0.00
1601728631000,1.0,2.2230324654841616e-07,0.00
1601796104000,1.0,2.2230324654841616e-07,0.00
1601863935000,1.0,2.2230324654841616e-07,0.00
1601931072000,1.0,2.2230324654841616e-07,0.00
1601998104000,1.0,2.2230324654841616e-07,0.00
1602065856000,1.0,2.2230324654841616e-07,0.00
1602133843000,1.0,2.2230324654841616e-07,0.00
1602202095000,1.0,2.2230324654841616e-07,0.00
1602270387000,1.0,2.2230324654841616e-07,0.00
1602337276000,1.0,2.2230324654841616e-07,0.00
1602403481000,1.0,2.2230324654841616e-07,0.00
