timestamp,BMCBNT,NPXSBNT,BATBNT,DAIBNT,ENJBNT,BNT-USD,POEBNT,DBETBNT,TKNBNT,BNBBNT,EURSBNT,RCNBNT,POA20BNT,MKRBNT,VIBBNT,OMGBNT,GNOBNT,NEXOBNT,ANTBNT,ELIBNT,REMBNT,TIOBNT,ELFBNT,POWRBNT,LOCBNT,KNCBNT,CHXBNT,GTOBNT,MDTBNT,XDCEBNT,ELETBNT,SANBNT,MTLBNT,MFTBNT,REQBNT,RDNBNT,MADBNT,AGRIBNT,ULTBNT,WBTC,DGDBNT,J8TBNT,MRPHBNT,RVTBNT,REALBNT,SNTBNT,RLCBNT,FTRBNT,XBPBNT,MNTPBNT,UPBNT,FKXBNT,PLRBNT,USDBBNT,X8XBNT,FLIXXBNT,HOTBNT,TAASBNT,MRGBNT,DATABNT,DTRCBNT,CEEKBNT,DRGNBNT,MYBBNT,SIGBNT,VEEBNT,ABXBNT,FTXBNT,SRNBNT,XNKBNT,LDCBNT,WINGSBNT,BOXXBNT,MFGBNT,CANBNT,LOCIBNT,QDAOBNT,EMCOBNT,SVDBNT,RBLXBNT,JOYBNT,CMCTBNT,FXCBNT,AMNBNT,ZIPTBNT,SPDBNT,AMPLBNT,SWMBNT,WANDBNT,HEDGBNT,GOLDBNT,SCLBNT,TBXBNT,Other
1529385239000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,193360.20,0.00,0.00,0.00,40937.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23425.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17351.83,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61221.94
1529459855000,0.00,0.00,87894.37,66260.08,0.00,0.00,130734.01,189870.46,90259.70,35606.96,0.00,40274.63,122098.78,0.00,58544.24,89047.07,54793.88,0.00,0.00,0.00,0.00,0.00,75264.97,54223.90,0.00,51765.82,12709.07,74354.97,42229.29,36086.20,0.00,0.00,0.00,0.00,53116.54,0.00,65833.97,0.00,0.00,0.00,0.00,54569.44,0.00,213572.71,0.00,0.00,21279.32,41272.98,26423.48,0.00,35737.92,31447.73,25269.12,0.00,15425.54,0.00,22696.63,17145.86,29321.17,19659.74,22170.88,29151.17,21198.82,0.00,41116.29,21960.80,0.00,14477.66,24968.54,28535.71,41242.79,14113.80,37983.72,17798.82,12141.08,0.00,0.00,0.00,0.00,19575.25,17330.52,0.00,0.00,9503.72,20531.70,0.00,0.00,13025.69,15191.91,0.00,0.00,16446.95,0.00,195379.96
1529534480000,0.00,0.00,90243.53,65196.64,0.00,0.00,127876.18,187812.65,92229.23,34617.94,0.00,39839.98,119027.36,0.00,57773.35,88478.02,54815.67,0.00,0.00,29022.60,0.00,0.00,75424.48,53109.19,0.00,51422.66,12577.04,72648.36,41667.33,35954.97,0.00,0.00,0.00,0.00,51429.59,0.00,65390.84,0.00,0.00,0.00,0.00,53612.91,0.00,211647.70,0.00,0.00,20758.39,41313.56,24494.26,0.00,35153.49,30371.17,25889.12,0.00,15444.79,0.00,21298.90,17186.83,30258.73,19622.71,21376.92,28786.50,21450.63,0.00,39419.43,21881.60,0.00,13500.05,24680.42,28269.31,40568.37,13678.69,37983.72,17725.32,12216.82,0.00,0.00,0.00,0.00,19489.25,17330.24,0.00,0.00,9102.33,19477.38,0.00,0.00,13309.79,13819.38,0.00,0.00,16442.77,0.00,191345.78
1529607759000,0.00,0.00,94520.31,66214.75,0.00,0.00,125455.04,185891.27,92347.54,35988.86,0.00,39405.91,118117.42,0.00,57964.91,88399.34,55125.85,0.00,0.00,29022.60,0.00,0.00,74412.83,52779.60,0.00,51320.13,12599.70,71838.63,41323.47,36296.52,0.00,0.00,0.00,0.00,52278.19,0.00,64127.94,0.00,0.00,0.00,0.00,53359.93,0.00,209659.59,0.00,0.00,20410.62,41344.19,24114.87,0.00,35042.41,29468.45,25634.80,0.00,15019.10,29062.23,20378.23,16877.83,30092.58,22859.81,21180.42,28577.65,20852.43,0.00,41540.25,21915.46,0.00,13599.25,24550.50,28312.66,40734.55,13678.69,37842.04,17316.25,12372.68,0.00,0.00,0.00,0.00,19239.56,17343.63,0.00,0.00,9036.88,19098.23,0.00,0.00,13795.75,12637.05,0.00,0.00,16442.77,0.00,186435.80
1529682434000,0.00,0.00,96036.48,69597.13,0.00,0.00,124673.66,187753.89,92601.55,37099.70,0.00,38704.15,116296.02,0.00,56268.51,89855.72,55756.85,0.00,0.00,27902.84,0.00,0.00,71495.96,52104.85,0.00,50974.43,13470.37,70703.46,39843.82,35932.20,0.00,0.00,0.00,0.00,51367.82,0.00,63928.14,0.00,0.00,0.00,0.00,56427.38,0.00,208603.22,0.00,0.00,20407.82,41344.19,21735.98,0.00,34348.46,29688.93,24922.33,0.00,15168.04,29066.62,20378.23,17433.81,30471.14,22640.89,20983.98,30113.64,20618.88,0.00,41349.16,21841.08,0.00,13201.34,24387.33,28320.07,41045.19,13822.90,37842.04,16233.88,12294.35,0.00,0.00,0.00,0.00,19069.34,17332.98,0.00,0.00,8921.12,18457.58,0.00,0.00,13525.12,12637.05,0.00,0.00,16791.77,0.00,185071.82
1529756296000,0.00,0.00,98322.15,69941.23,0.00,0.00,123838.32,186992.05,92565.38,36916.73,0.00,38704.15,112011.70,0.00,56420.18,89677.99,55771.98,0.00,0.00,28203.04,0.00,0.00,71101.57,51064.70,0.00,50302.43,13693.72,69323.92,39666.42,35736.02,0.00,0.00,0.00,0.00,51322.34,0.00,59342.61,0.00,0.00,0.00,0.00,53823.20,0.00,206683.81,0.00,0.00,21293.39,41236.21,20982.93,0.00,35601.56,29974.47,25036.14,0.00,15345.49,29113.38,19744.26,16151.83,32821.88,22576.34,20870.85,27892.33,20814.85,0.00,40951.09,22836.29,0.00,12734.13,24449.47,28282.68,40790.45,13822.90,37982.12,15931.61,12446.02,0.00,0.00,0.00,0.00,19164.24,16769.65,0.00,0.00,8829.34,21704.57,0.00,0.00,11804.12,12389.56,0.00,0.00,16791.77,0.00,183882.34
1529828276000,0.00,399050.02,95840.72,72907.38,0.00,0.00,121411.80,186476.35,91709.65,36037.32,0.00,37626.25,108340.44,0.00,55049.94,88070.30,55154.68,0.00,0.00,28210.89,0.00,0.00,68553.47,49278.26,0.00,50192.78,13532.26,67072.34,33920.13,35046.26,0.00,0.00,0.00,0.00,51728.46,0.00,59527.42,0.00,0.00,0.00,0.00,53098.87,0.00,205712.94,0.00,0.00,20661.50,41286.79,22557.59,0.00,34364.61,29883.29,25770.10,0.00,15359.14,29416.57,21540.69,16027.46,32630.01,22084.83,20223.58,27898.62,20143.99,0.00,40198.83,22276.69,0.00,12583.41,23849.88,28106.19,40783.56,13964.95,43672.02,16238.26,12704.49,0.00,0.00,0.00,0.00,19164.24,16769.65,0.00,0.00,9313.12,21967.95,0.00,0.00,11999.99,12406.80,0.00,0.00,16791.77,0.00,181704.64
1529902416000,0.00,399577.88,96535.63,71134.61,0.00,0.00,122383.47,180334.64,91972.42,35728.63,0.00,37945.96,112698.09,0.00,54914.29,88864.16,55170.91,0.00,0.00,28158.54,0.00,0.00,69968.37,49841.91,0.00,50081.55,12749.83,68220.92,36235.88,36002.83,0.00,0.00,0.00,0.00,50955.72,0.00,59428.64,0.00,0.00,0.00,0.00,55062.76,0.00,203879.88,0.00,0.00,19862.15,41285.32,22062.39,0.00,33119.88,29768.22,25430.13,0.00,15406.32,29840.70,20807.61,15968.57,33312.98,22108.12,20265.54,28642.94,20317.77,0.00,40190.77,22718.29,0.00,12857.18,23975.07,27941.99,40775.43,14010.50,41535.11,15973.14,12856.80,0.00,0.00,0.00,0.00,19164.24,16769.65,0.00,0.00,9166.23,20784.51,0.00,0.00,12939.44,12413.88,0.00,0.00,16791.77,0.00,182481.98
1529979078000,0.00,391409.18,95189.32,70984.77,0.00,0.00,126524.01,176704.40,92483.48,36427.42,0.00,39499.97,116186.34,0.00,56227.49,88987.09,55150.31,0.00,0.00,27880.54,0.00,0.00,71355.53,49754.38,0.00,52849.57,12671.29,69401.46,35238.36,35097.80,0.00,0.00,0.00,0.00,51029.40,0.00,60867.49,0.00,0.00,0.00,0.00,55198.61,0.00,203760.03,0.00,0.00,20230.32,41285.32,22526.86,0.00,33151.61,29521.79,24537.68,0.00,15541.06,29064.29,20389.97,16289.07,33312.98,21719.80,20562.38,27720.76,20459.96,0.00,39960.61,22588.95,0.00,12587.98,24309.63,27713.98,41040.30,13718.76,41542.17,16081.78,12917.49,0.00,0.00,0.00,0.00,19164.24,16789.21,0.00,0.00,8945.66,20979.46,0.00,0.00,13438.71,12414.03,0.00,0.00,17096.89,0.00,180773.27
1530054421000,0.00,391788.41,93886.54,72572.98,0.00,0.00,125381.57,188231.17,94180.84,36217.27,0.00,38932.36,115969.75,0.00,56263.15,87967.49,55306.90,0.00,0.00,27934.31,0.00,0.00,74508.15,50973.95,0.00,53311.32,12814.44,69925.34,35602.02,35646.46,0.00,0.00,34341.94,0.00,50974.70,0.00,60868.07,0.00,0.00,0.00,0.00,56347.63,0.00,202703.46,0.00,0.00,20051.78,41285.32,24263.19,0.00,33151.61,29999.71,25320.19,0.00,16527.72,27999.79,20851.62,16289.77,33308.93,21798.17,21174.96,27013.45,20360.76,0.00,38716.99,22572.64,0.00,12603.07,24905.12,27625.09,41308.48,13718.83,41542.17,15931.86,13066.71,0.00,0.00,0.00,0.00,18947.81,16787.15,0.00,0.00,9028.65,20384.60,0.00,0.00,14076.21,11490.84,0.00,0.00,17096.89,0.00,179941.70
