timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x975793c7A6a077221aCa4E4FB9B7f9A46378463a,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,Other
1613746375000,,0.10,0.51,0.54,
1613812701000,0.97,,,3.53,
1613880066000,0.83,,,0.09,
1613945917000,0.10,,,0.21,
