timestamp,​0x3C57CB6C743b190cec13CD804afD753531B94ea8,​0x11111254369792b2Ca5d084aB5eEA397cA8fa48B,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x5048b9d01097498Fd72F3F14bC9Bc74A5aAc8fA7,Other
1583103301000,,0.13,0.05,,
1583168974000,0.68,0.28,0.14,,
1583235956000,0.25,0.22,,,
1583302077000,,,,0.15,
