timestamp,​0x0000000000009480cdED7B47d438E73EDF0F67e5,​0xE33C8e3A0d14a81F0dD7E174830089E82F65FC85,​0xa41792606F34a25B7BccbDD468003948f1672c22,​0xbaCE1e5F9cb38F56fA8B096E3fe940D9c34d189D,​0x7658Ac28e62923d8ca0274f34458AcB62FB8770f,​0x94f939704e811d9E65Fc57D11C836C4809CD116c,​0x19Ac63521615455415a716F5dcbb49D065AE8092,​0xCE70417C152fF081B8042E8060c3E31A06C3e243,​0x3F25D13e9eFb7af99a9Bc11D8151c329c021a606,​0xFE69FB531698B534a2Bc895940C5d37876b04Db3,​0xC3746825f13c07Dcd7e6fDb9C0c80A9aFFb18952,​0xb7f78106935607d2003aC997894C8271173EBFeB,​0x37B2199f06Ce7C100bB2A4C45BFC0BD895Bd5c00,​0x08e47122F5bc6Cf8F661481FC001F2bfC082443F,​0xeE3cF8612456E5289F98e649453D279E88817d18,​0xC231a91aaEe31ec4A6570D41c4513bDe116ccb10,​0x7d035A5Fb6ac29fdC28c973C5048A98e02AC5fE2,​0x8d9f46510152be0147FA8b2C92eec099e42EA66c,​0x9C82052572D2D6Ed0052740d3072098C565A83F9,​0x01b23f8cc7FBF107b0F39AA0Ba7C17eBAFb5D618,​0xC58c2e8ec5bEB885C843D492a54959105aB055f7,​0xBb60F9F245505F3d132974169BE1c01Aa68F66f7,​0xcaA7e4656f6A2B59f5f99c745F91AB26D1210DCe,​0x339fF09680b65FcD81D38A11Be4E75F34c8966Fc,​0xFb219617Fd741a1df5292225Aad7269223e2f7b7,​0x42a60D2f2FfA2150C568010A8D425f0AAD284fd2,​0x6648EFfA532F0Fe6972286273193fD049C1b1738,​0x94C6BDFD78D7fe0A9D53F7876DF9c0C63B72f9aF,​0xfd7A73E6AECA1ffA331Cc6d21FC1FeF100f8BE2B,​0x80e66f826C5e9f74A2d5D6D2Cc32efeAa73037AD,​0x2D5c570645F1D76526850994d10802C634A35969,​0xeC6b4C4829A6eA4B450da790a3CCeACA03C6c88f,​0x068994fDC513F4C61DEa5D52602c823bf5301FA3,​0xB0c6b8C41C6d969e9E9f9feA486629C4a8E113C8,​0xe8D33722480712c945614048b4C4CbCd74C820a2,​0x2f6174929f8AcE7AFFbe2d75FB8170D37B22bD10,​0xBf527bc1Afe7ea6266698988851055ac123EA4Bf,​0xd693340a27908fC73C14739CF36ED2541446275d,Other
1600986137000,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601053079000,,,0.27,0.06,,,,0.87,0.05,,0.35,,1.67,0.50,,1.38,,,,0.20,,,,0.33,,,,,,0.11,0.10,,2.92,0.43,0.12,,0.14,,0.01
1601120014000,,,,,,,,0.28,,0.20,,0.03,,,,,0.03,,,,0.43,,0.15,,,,,,,,,,,,,,,,
1601187908000,,,0.20,,,,,,,0.14,,,,,,,,,,0.14,,,,,,,,,0.06,,,,,,,,,0.69,
1601255204000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.20,,,,,,,,,,,0.69,
1601323528000,,,,,,,,,,,,,,,,,,,,,,0.31,0.15,,,0.31,,,,,,0.08,,,0.12,,,,
1601390741000,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601525869000,,,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,0.02
1601660827000,,,,,,0.15,,,,,,,,,,,,,,,0.81,,,,,0.10,,,,,,,,,,,,,
1601863935000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,
1601931072000,,,,,,,,,,,,,0.16,,,,,,,,,,,,0.05,0.08,0.12,,,,,,,,,,,,
1602065856000,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602133843000,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,
1602202095000,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,
1602469107000,0.11,0.26,,,,,0.08,,,,,,,,1.00,,,0.70,0.44,,,,,,,0.11,,0.06,0.04,,,,,,,0.02,,,
1602535471000,,0.09,,,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,0.12,,,,,,,
