timestamp,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0x649b729D939ffD45416D987EB3D4Efe36BBC69ae,​0x4161574d054c35C17023E3B87210EA6dA129dE9f,​0x69C4EfE68F4eaBdFAa614a8E682B1391802F4913,Other
1585239172000,0.08,0.02,,,
1587836062000,,,,,0.00
1587969951000,,,0.02,,
1589375621000,0.13,,,0.00,
1589442351000,0.19,,,0.63,
1591725334000,,,,0.46,
