timestamp,​0x97deC872013f6B5fB443861090ad931542878126,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1607708371000,,1.47,,
1607774843000,,0.41,,
1607840923000,,0.33,,
1608039974000,,0.39,,
1608172715000,,0.30,,
1608437899000,,0.25,,
1608504061000,,0.14,,
1608569893000,,0.09,,
1608636545000,,0.05,,
1608702922000,,0.05,,
1608768583000,,0.01,,
1608902154000,0.14,1.67,,
1608968406000,0.01,1.64,,
1609034138000,0.00,0.84,0.01,
1609100774000,,0.57,,
1609165810000,0.14,1.23,,
