timestamp,​0x9373E1136f9a19855b7742257d48Daa9E2d5c01e,​0x687954dF8A45D06158CA52A83247Fd0c32680a2C,​0xe8E61C8e2de2b5BE3c59Ac5696Be03a5631ad243,​0x97deC872013f6B5fB443861090ad931542878126,​0x15BF933251Db72cD0C62193fB36add62890AB7E3,Other
1579320115000,,,,,,0.00
1581310184000,,3.20,,,1.70,
1581375300000,,,39.11,,,
1581441429000,,,0.52,,,
1581574720000,,,,,,0.00
1581641265000,,,5.10,,,
1581907086000,,,10.03,,,
1581973926000,,1.02,,,0.50,
1582040665000,,,3.51,,,
1582240159000,,,3.91,,,
1582306851000,,,,,0.60,
1582970808000,,,,,0.10,
1583502285000,,,,,0.05,
1586368858000,,0.50,,,,
1587099968000,,1.00,,,,
1587368133000,,1.90,,,,
1587701744000,,1.10,,,,
1589980117000,0.80,,,1.86,,
1590047677000,1.06,,,,,
