timestamp,​0x0000000000C90bc353314b6911180ED7E06019A9,​0x0EeE7bcE7D0A676794fb8186AF5DBe7b6713806a,​0xb146907392eD12031F7715B0376833E3f7C5b98c,​0x0bc7355686A264DEDDc239dD30D4D201612aEB8B,​0x85C5c26DC2aF5546341Fc1988B9d178148b4838B,​0x96FE94c07Ee88fC2A4B3E978D875202fD113e654,​0x82da82DBe384736e4Dd95615D8036Cc472773F5A,​0xef764BAC8a438E7E498c2E5fcCf0f174c3E3F8dB,​0xD8595ac2836B7a8040f046E751B42088436B6365,​0x54bc3fE4E8C377246aCd5b4c25705c1b4324e859,​0x2C4Bd064b998838076fa341A83d007FC2FA50957,​0x8c2fD1F3Ae6162FD3CB3157222DC3979B42E699e,​0xB958a8f59AC6145851729F73c7A6968311d8B633,​0x5D154c145Db2ca90B8aB5e8Fe3E716AfA4AB7Ff0,​0xF79Af034a5E41d70C90Bf5fFa1A79B3AC65Da72F,​0x13032DeB2d37556cf49301f713E9d7e1d1A8b169,​0x9BA6c9D09dB964771cB4D526188F6AF81e9bCF9e,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x8018280076d7fA2cAa1147e441352E8a89e1DDbe,​0x2AF14b279C08d3627D34A5d8734c2eD771F3eF41,​0x57Ef012861c4937A76B5D6061bE800199A2b9100,​0x618b00849b3B0D42F05f7B4A64ae373B93e3d98F,​0x31fA3643F5CEF78C1790d494d7E3F2a59E2ad0c4,​0xa57Bd00134B2850B2a1c55860c9e9ea100fDd6CF,​0x040F0c01b45Dfed88A397f9C3f00E48953d61490,​0x006004fFA18E3cf78fA3b50393ec44C1ab89cF6c,​0x0087366b4a4e44FCB96b7D0897d68C3dAf45780a,​0x2608E261b8df00025a6f69e13B1a4165Adf294c1,​0x74740c72e7b667344084772D2fdBB4646099c705,​0x09cabEC1eAd1c0Ba254B09efb3EE13841712bE14,​0x747797665F5016895682EF40513A5EDD51261B89,​0x90079aABC47b5BeA2dFC358d7114Ade57Ee39209,​0x05BB2C35cB56E149c310c5c1447d382eEda3A80d,​0xe1723E41058cb01859E9826022a390DC68a9AB71,​0xA2345C7DB212Ab9c478B1C206fB9b14C0E7c11C7,​0x074976a8D5F07dA5DADa1Eb248AD369a764bB373,​0x00B8FE7C85998bbAB5e71D2378e927B554b6d78f,Other
1553856960000,,,,10.00,,,,,,,,26.52,,97.29,,,,,,,,,,,,7.25,2.03,,,,,57.20,,,,,,
1553924945000,,,,5.02,,,,,,,,35.78,,58.26,,,,,,,,,,,,,1.00,,,,,30.31,,,,,,
1553992486000,,,,,,,,,,,,38.58,,75.26,,,,,,,,,,,,,1.02,,,,,4.03,,,,,,
1554060309000,,,,,,,,,,,,10.63,,50.43,,,,,,,,,,,,,1.20,,,,,,,,,,,23.47
1554127394000,,,,32.80,,,,,,,,37.72,,166.22,,,,,,,,,,,,,1.23,,,,,62.35,,,,,,
1554195576000,,,,,,,,,,,,69.15,,139.87,,,,,,0.02,,,,,,,1.99,,,,,29.24,,,,,,
1554262735000,,,,43.61,,,,,,,,136.30,,244.19,,,,,,,,,,,,,8.27,,,,,107.50,,,,,,26.65
1554331280000,,,,35.97,,,,,,20.20,,142.87,,518.39,,,,,,,,,,,,,21.97,,,,,60.63,,,,,,30.19
1554398543000,,,,10.03,,,,22.60,,5.09,,150.06,,214.47,,,,,,,,,,,,,17.53,,,,,,,,,,,5.36
1554466199000,,,,35.46,,,,,,,,69.04,,121.63,,,,,,,,,,,,,4.64,,,,,15.01,,,,,,
1554532618000,,,,20.00,,,,,,,,37.73,,51.45,,,,,,0.07,,,,,,,4.77,,,,,,,,,,,
1554599495000,,,,,,,,,,,,85.51,,53.16,,,,,,,,,,,,,8.92,,,,,,,,,,,1.11
1554666574000,,,,20.06,,,,,,,,55.52,,90.44,,,,,,,,,,,,,4.01,,,,4.01,,,,,,,
1554733845000,,,,30.03,,,,5.04,,3.03,,131.29,,235.65,,,,,,,,,,,,,20.61,,,,14.98,16.68,24.06,,,,,3.34
1554800647000,,,,,,,,,,3.07,,68.83,,17.26,,,,,,1.94,,,,,,,2.01,,,18.65,,,11.09,,,,,3.01
1554867921000,,,,,,,,,,,,37.59,,137.88,,,,,,,,,,,,5.00,3.20,,,,,16.38,9.03,,,,,
1554934968000,,,,,,,,,,,,45.84,10.03,158.61,,,,,,0.02,,,,,,3.00,6.72,,,,,27.40,40.04,,,,,
1555002718000,,,,15.00,,,,,,,,75.70,10.05,294.47,,,,,,,,,,,,,10.71,,,,,10.14,49.72,,,,,
1555070200000,,,,,,,,,,,,126.45,,1036.21,,,,,,,,,,,,,4.79,,,0.83,13.20,,,163.34,,,12.24,
1555136518000,,,,,,,,,,0.01,,25.09,,23.09,,,,,,,,,,,,,3.61,,,,12.00,,,,,,,
1555203091000,,,,,,,,,,,,12.98,,23.70,,,,,,,,,,,,,1.67,,,,,,,,,,,
1555270669000,,,,,,,,,,,,7.84,,9.16,,,,,,,,,,,,,2.01,,,,,,,,,,,9.79
1555337473000,,,,,,,,,,,,32.68,,31.72,,,,,,,,,,,,,,,,,,,,,,,,1.48
1555405471000,,,,38.94,,,,,,,,40.32,10.05,192.80,,,,,,,,,,,,,4.09,,,,21.61,,,,,,,0.97
1555472795000,,,,10.03,,,,,,,,58.55,,80.54,,,,,,,,,,,,1.39,,,,2.99,8.86,13.46,,,,,,0.28
1555539993000,,,,,,,,,,,,17.27,,29.02,,,,,,,,,,,,,,,,1.17,,,,,,,,
