timestamp,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x0AE62cCDb17f4f8C1eec2c823400E2AC8EdB9Acb,Other
1603462512000,,4.67,,,,
1603528247000,,2.15,0.52,,,
1603594450000,,2.01,,,,
1603661160000,1.20,2.76,0.02,,,
1603728251000,0.97,4.71,,,,
1603793902000,,3.20,,0.50,,
1603860005000,,3.48,,,,
1603925650000,0.61,3.05,,,0.58,
1603992067000,0.61,1.95,,,,
1604059142000,,3.39,,,,
1604125251000,0.77,7.56,,,,
1604191395000,0.52,4.53,,,,
1604257692000,,0.00,,,,
