timestamp,​0x4Fe95C36bB9B3A81F278569525162f91615E77d7,​0xA2881A90Bf33F03E7a3f803765Cd2ED5c8928dFb,​0x6C0844F2737bB5986E3c95e89CcC2928bAc4702A,​0xE996dcd8B993826B471321A29b9c25195D75496c,​0x7d4Ba61DF007Ff68A89281E918CC502Ae1a18403,​0xd4D221aD5b753a6fcBB58a6C7b6b92605CA5325F,​0xFAB3DFa4188794cd81A5Fdc118B6B5CA874b24ab,​0x9fA3cC07d724501cF6CeEBE28D9639939f1804a9,​0xe3ED26C5eEdD8b6A8DC779E0bD1C8DbE53655291,​0xd3092810BfC5CC9393068840450c1dBCd42038ae,​0xF173214C720f58E03e194085B1DB28B50aCDeeaD,​0xf1BEaCd26FD9873Fc79E814810eda5F555A5b93A,​0xE5E4188f3aCA617aE0c40634bDf168da328a838F,​0xdf388A9338AA924587BF91437760F02ecF425cbF,​0x536956Fab86774fb55CfaAcF496BC25E4d2B435C,​0xe932B28a59Ac2847e9c681210a5A9448556B2A22,​0xAF4774798b5a9c6f831CAE5e56d8B12d25Ae3972,​0xF4DDf881f1F2a98A33791cCae1D0A9dE9D583490,​0xF3592d3B21027c5AeA86f2398C4B049478D4C3dF,​0xD6925C970d8f63C1CC490d81aC6A8c4dE5BDbAA0,​0xaDC514b090c4d4c1355051Bc9Bf414573d5A60a1,​0x0ebAe7539d5B60e9c9c2863818B0261eE8a9CE1D,​0x21c24F502e59e5FC84906039a78adD341FD4C70C,​0xe9Cf7887b93150D4F2Da7dFc6D502B216438F244,​0xfC7F623Bc12DBEb984A9D618e9B07693fF35283f,​0xdA56a88175D4c8707C51DF845f838cF3fE070870,​0x2F5B009d42917452f4F057B0998DfaD4d84C7662,​0x4676a9576315287659d0f9902D288bdfe49604ab,​0x80324Ec8d64425B37f8603A97097dA7D493dbc79,​0x3b0535C602078a22A9954209B3556549C4E5E987,​0x6080C872300062A5B1a9eea1C5081238D1ac6D7F,​0x0a98019447660c875cce6d82D90d69933C6455B9,​0x71685158f300b30Ecf564870ea3F8c35abA5bc77,​0x2DCDf77e4F12BFb9E153833D0F69c55061282Ae5,​0xdE7670354fE2110fbF3A2ca269096647fc955924,​0x49318b3970C8a82275B440900bE45f27bf682108,​0xc385FAb6554b51c8E87020ABBe8D7bA4507dD1F5,​0xFBa1271d4F8c8676557d8afE1C68694Ba668cD48,Other
1566986635000,1.00,,,,,,,,,,,,,0.13,,0.50,,1.49,0.03,,,0.61,,,,,0.14,,,,,0.09,,0.14,,,,,
1567054177000,,,,0.50,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,,,,,
1567120257000,0.28,,,0.50,,0.40,,,,,,,0.15,0.80,,,,,,,,,,,,,0.03,,,,,,,0.25,,,,,
1567187642000,0.21,,,,,,0.17,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1567255013000,0.18,,,,,,0.20,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.23,,,,,
1567321929000,0.19,,,,,,0.21,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,
1567389294000,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,0.15,,,,0.05,,,0.12,,,,,
1567457291000,0.23,,,,,,0.17,,0.10,,,,,,,,,,,,,,,,,,0.01,,,0.56,0.02,,,,,0.18,0.99,,
1567524520000,,0.03,,,,,0.12,,,0.12,,,,,,,,,0.04,,,,,,,,0.02,,,,,,,,,0.19,,,
1567591445000,,,,,,,0.16,,,,,,,,0.16,,,,,,,,,,,,0.04,,,,,,,,,,,,
1567658685000,,,,,0.05,,0.18,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,0.40,0.02
1567726271000,,,,1.38,,,0.13,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1567794373000,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,,,,0.00
1567860872000,,,,,,,,,,,,,,,,,,1.00,,,1.45,,,,,,,,,,,,,,,,,,
1567928417000,,,,,,,,,,,,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,0.00
1568063465000,,,,,,,,,,,,,,,,,,,,,0.81,,,,,,,,,,,,,,,,,,
1568130759000,,,,,,,,,,,,,,,,,,,0.25,,1.13,,,,,,0.06,,,,,,,,,,,,
1568198340000,,,,,,,,,,,,,,,,,,,,,0.86,,,,,,,,,0.03,,,,,,,,,
1568266003000,,,,0.74,,,,,,,,,,0.31,0.36,,,0.50,,,,,,,,,,,,,,,0.55,,,,,,
1568332434000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,,,,,,,0.01,,,,,0.03
