timestamp,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1611420746000,0.75,0.00,
1611487072000,1.19,0.02,
1611553245000,1.79,,
1611685824000,0.10,,
1611752604000,0.76,,
1611819461000,0.00,,
1611952682000,0.28,,0.00
1612019067000,0.04,,
1612085911000,0.05,,
1612150933000,0.00,,
1612749886000,0.20,,
1613082589000,0.36,,
1613148664000,0.00,,
1613281191000,0.00,,
