timestamp,​0xCaFcd62114Cfc1d16298a1CFec409BCa139c899b,​0x8124b02b4967Bd7338a450420a572D574915Ff9C,​0x4C9D4a1310639DA40bd47B68553eD6Eb366db22C,​0x68d36DcBDD7Bbf206e27134F28103abE7cf972df,​0x1426E0DC259E1A6d0da470661ba54A21195aE3a6,​0xd00d1eEc7502d8A5a85FeEeE561352068B929a98,​0x97deC872013f6B5fB443861090ad931542878126,​0x51286013D10CF5781837a72a2f3959A93b3f9005,​0x886C0328b1392a48Ceb1F42d1f4892e959f40F8F,​0xA9938f3317e1A8010496B0EA93375B5B6F102F95,​0x3b2534b8EA1f9a8BF9D9915B91bae673d161F2A5,​0xB1F933A61dc4D1B30621E593F2fB4eE83063aB30,Other
1579320115000,,,,0.00,,,,,,,,,
1581574720000,,,,,,,,0.04,,,,,0.00
1581641265000,,,,,,,,,,0.00,,,
1581841298000,0.00,,,,,,,,,,,0.03,
1581907086000,,0.02,,,0.02,,,,,,,,
1581973926000,,0.01,,,,,,,,,,,
1582771019000,,0.00,,,,,,,,,,,
1582904573000,,,,,,0.01,,,,,0.03,,
1583567810000,,,0.02,,,,,,,,,,
1584168330000,,,,,,0.01,,,,,,,
1585306138000,,,,,,,0.71,,,,,,
1586036191000,,,,,,,,,0.00,,,,
