timestamp,​0x67668e84E7Ebfd5Aa92eE8ab2aDCc9BAf9698ccD,​0xbC4c1C6378293453412A976470bc8f4D4023806F,​0xCf0392412216b5bd66F160eDDbbB27FF143ac815,​0xA2C676f0b2aa6Ae1F9Eda407600EA0F5afA3fC30,​0xa05b2fe46f8D555b4ACc9a32Fcbf7EF8e73287CC,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,​0xe8F984835F9f088F43843BE0049B9a2Eb3eA9Eac,​0xC83d74a46319b1e3B3Af16215C0d2d698d7939F4,​0x6B532Ac6d1416d68d506448854d8B396aF7E1F23,​0x4777d0ca4bED8807152A2Bc3806DeFa226613a25,​0x7513CCa30aCa489E7e334a94293af456779695cb,​0xeC780f8d84F98fd79bBa4948Ad1663AB126E7565,​0x4226d971e995B5e8f49d5708174543F65474eeD6,​0x8DedaA1E1f2B61f5F7284aCDCa636b4629413D40,​0x001D85B3Da84AfA37e41046F09b44378174e1e75,​0xc08A0A35BFAEF372a34d7B80fFBEC2e2BF459D3F,​0x6321Fda0696c3b9717EeA60CEe7316Fff179ed1A,​0x237edBD1C791fecA8D803Ac99812A89a39b63699,​0xe3ce62389ea2CebBc4810a7f3EB861Badbd083Aa,​0x97deC872013f6B5fB443861090ad931542878126,​0xBA18B87BEfB79Fa0c67881d1e8300cE835548Fa2,​0x7638b7e1F14B226c579A84F63B891d8b7Cd3a923,​0x0f093ae766C83E3eeb72b72042f027F215E304F0,​0x42cCCaB0F3308fe54f5766c2A2d0B1F487cEbDa1,​0x7Cf50F0fC52916b2BE42B28a4655BF0F637C2246,​0xc1758EEa027f8D92e6ddd13d17e19E592845188a,​0x84113aAB43d7B64130D798d4C0D7309975969B30,​0x169B3Fa79290c949BA57c306b1340e05B8D01fF7,​0x6e48CBe2EA816966F0cb5073DD000EF70c0E9D61,​0xAA3b650Fa06b774E4BFF31a4Aa42Bc7bBE835aBf,​0x46FbD3873A3d333bCcEe6F6b73B18532Bbf1730D,​0xf63D15A9aE55E18f6d5143e1E98c566e6691B050,​0x23cc32A2f2Cf1477E7AA43774663f7f96e3B8F99,​0xbB74C7797a2C56B70b303Fd71338809dab303A92,​0xd28990B625D129B9eB077b555270CCF63DdF9AA3,​0x461F6Eb5f46F16801Dd383C376f16F817c7E92a3,​0x05e15f2B6e3BF8eF76d80F0398eB511c9C76f052,Other
1586236183000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10,,,,,0.00
1586434964000,,,,,,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,,,,0.00
1586501245000,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,0.74,,,,,,,,,
1586635021000,,,,,,0.03,,,,,,,,,,,,,,,0.02,,,0.35,,,,,,,,,,,,,,
1588638430000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1588972800000,,,,,,,,,,,,,,,,,,,,,0.05,,0.05,,,,,,,,,,,0.05,,,,
1589375621000,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,
1589442351000,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1590451139000,,,,,,,,2.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
1590517845000,,,,,,,,,,,0.37,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
1590786531000,,,,,,,,,,,,,,,,0.21,,,0.21,,,,,,,,,,,,,,,,,,,
1591189759000,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1591389945000,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,,,,
1593866326000,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1594000010000,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,0.27,,
1594133831000,,,,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29,,,,,,,
1594199176000,,,,,,,,,,,,0.83,,,,,0.34,,,,,,,,,,,,,,,,,,0.61,,0.85,
1595471028000,0.20,,,,,,,,,,,,,,2.00,,,,,,,,,,,,,,,,,,,,,,,
1595537940000,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.03,,,,,,,,
1595939151000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,
1596339947000,0.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1596473308000,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,,
1596674074000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,,,,,,,,
1599395453000,,,,,,,,,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1599461746000,,,,,0.49,,,,,,,,,,,,,,,,,,,,,,,,,0.26,,,,,,,,
1599594452000,,,,,,,,,0.78,,,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,
1599793183000,,,,,,,,,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601053079000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,0.00
1601998104000,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1602133843000,,,0.01,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
