timestamp,​0x61efDc88bb6Dc02A18DFB9a240800398599BAC64,​0x39246c4F3F6592C974EBC44F80bA6dC69b817c71,​0x97deC872013f6B5fB443861090ad931542878126,​0xA0BB038A8981fC526FecF3fCEA8701312D932e86,​0x2a1530C4C41db0B0b2bB646CB5Eb1A67b7158667,Other
1606380252000,,0.44,,,0.71,
1606446290000,0.71,0.88,,,,
1606513752000,,1.62,,,0.59,
1606579323000,0.42,0.76,,,,
1606644580000,,0.95,0.52,,,
1606711814000,,0.60,,,,
1606777403000,,0.01,,0.39,,
1606843839000,,0.15,,,,
1606911253000,,0.16,,,,
1606976748000,,0.27,,,,
1607043153000,,0.33,,,,
1607109266000,,0.11,,,,
1607176193000,,0.68,,,,
1607242529000,,0.40,,,,
1607375492000,,0.08,,,,
1607441996000,,0.10,,,,
1607508150000,,0.42,,,,
1607573702000,,0.13,0.08,,,
1607708371000,,0.05,,,,
1607774843000,,0.75,,,,
1608039974000,,0.05,,,,
1608172715000,,0.62,,,,
1608305426000,,0.14,,,,
1608569893000,,0.15,,,,
1608636545000,,0.55,,,,
1608702922000,,0.02,,,,
